stat, rank, value, (percentage) 
minecraft.used.soul_sand: #12, 296(1%)
minecraft.dropped.oak_fence: #12, 17(2%)
minecraft.used.oak_sapling: #12, 280(1%)
minecraft.killed.sheep: #12, 25(1%)
minecraft.picked_up.lilac: #12, 38(1%)
minecraft.used.netherrack: #12, 1652(1%)
minecraft.dropped.iron_chestplate: #12, 2(1%)
minecraft.picked_up.iron_nugget: #12, 37(1%)
minecraft.picked_up.black_wool: #12, 72(1%)
minecraft.mined.mossy_stone_bricks: #12, 17(1%)
minecraft.crafted.cooked_beef: #12, 130(1%)
minecraft.mined.lime_shulker_box: #12, 36(1%)
minecraft.used.lime_shulker_box: #12, 36(1%)
minecraft.picked_up.lime_shulker_box: #12, 36(1%)
minecraft.dropped.shield: #12, 1(1%)
minecraft.dropped.stone_sword: #12, 12(1%)
minecraft.crafted.bookshelf: #12, 92(1%)
minecraft.mined.sugar_cane: #12, 622(1%)
minecraft.mined.red_tulip: #12, 9(1%)
minecraft.dropped.stone_hoe: #12, 1(1%)
minecraft.picked_up.mossy_stone_bricks: #12, 16(1%)
minecraft.picked_up.melon_seeds: #12, 6(1%)
minecraft.mined.orange_stained_glass: #12, 3(1%)
minecraft.used.dark_prismarine: #12, 90(0%)
minecraft.used.stone_button: #12, 180(0%)
minecraft.dropped.seagrass: #12, 3(1%)
minecraft.used.oak_wood: #12, 28(0%)
minecraft.crafted.map: #12, 8(0%)
minecraft.dropped.cod: #12, 246(0%)
minecraft.picked_up.golden_sword: #12, 2(0%)
minecraft.mined.jungle_stairs: #12, 3(0%)
minecraft.dropped.acacia_log: #12, 3(0%)
minecraft.used.chiseled_stone_bricks: #12, 12(0%)
minecraft.dropped.dark_oak_stairs: #12, 2(0%)
minecraft.picked_up.green_stained_glass: #12, 4(0%)
minecraft.used.cooked_salmon: #12, 6(0%)
minecraft.dropped.sandstone_stairs: #12, 1(0%)
minecraft.crafted.white_terracotta: #12, 8(0%)
minecraft.mined.blue_stained_glass: #12, 3(0%)
minecraft.crafted.black_terracotta: #12, 16(0%)
minecraft.crafted.dark_prismarine: #12, 16(0%)
minecraft.crafted.red_terracotta: #12, 8(0%)
minecraft.killed.vindicator: #12, 9(0%)
minecraft.picked_up.leather_helmet: #13, 11(4%)
minecraft.used.iron_sword: #13, 546(3%)
minecraft.picked_up.leather_leggings: #13, 14(3%)
minecraft.picked_up.cod: #13, 2891(3%)
minecraft.picked_up.coal: #13, 9388(3%)
minecraft.picked_up.oak_slab: #13, 251(2%)
minecraft.crafted.diamond_block: #13, 187(2%)
minecraft.mined.ender_chest: #13, 284(2%)
minecraft.mined.gold_ore: #13, 495(2%)
minecraft.mined.player_wall_head: #13, 33(2%)
minecraft.picked_up.gold_ore: #13, 494(2%)
minecraft.used.ender_chest: #13, 291(2%)
minecraft.crafted.iron_hoe: #13, 2(3%)
