stat, rank, value, (percentage) 
minecraft.mined.gray_carpet: #2, 444(15%)
minecraft.dropped.cyan_glazed_terracotta: #1, 15(94%)
minecraft.picked_up.bamboo: #3, 18552(22%)
minecraft.used.oak_trapdoor: #2, 1340(12%)
minecraft.picked_up.minecart: #2, 662(13%)
minecraft.dropped.salmon: #2, 513(16%)
minecraft.dropped.birch_fence: #1, 15(26%)
minecraft.picked_up.spruce_boat: #3, 253(15%)
minecraft.used.ender_eye: #1, 18(37%)
minecraft.used.spruce_fence_gate: #2, 928(15%)
minecraft.mined.birch_sign: #2, 39(17%)
minecraft.dropped.cobblestone_stairs: #2, 274(16%)
minecraft.picked_up.light_blue_stained_glass_pane: #2, 152(20%)
minecraft.picked_up.detector_rail: #2, 87(15%)
minecraft.used.red_shulker_box: #2, 1171(13%)
minecraft.crafted.pink_wool: #2, 136(28%)
minecraft.used.cyan_stained_glass: #2, 10861(17%)
minecraft.mined.red_shulker_box: #2, 1143(13%)
minecraft.mined.chest: #2, 2140(11%)
minecraft.dropped.red_dye: #2, 152(21%)
minecraft.used.orange_bed: #2, 26(27%)
minecraft.dropped.tropical_fish_bucket: #1, 13(87%)
minecraft.picked_up.brown_concrete_powder: #2, 506(17%)
minecraft.dropped.prismarine_slab: #1, 122(43%)
minecraft.used.cooked_porkchop: #2, 95(14%)
minecraft.crafted.cooked_cod: #2, 1261(18%)
minecraft.dropped.mycelium: #1, 10804(84%)
minecraft.picked_up.yellow_concrete: #2, 2613(17%)
minecraft.used.chest: #2, 3665(10%)
minecraft.picked_up.iron_ingot: #3, 157732(15%)
minecraft.mined.birch_wall_sign: #2, 47(13%)
minecraft.dropped.black_concrete: #2, 451(20%)
minecraft.used.anvil: #2, 182(10%)
minecraft.killed.creeper: #2, 839(10%)
minecraft.dropped.heart_of_the_sea: #1, 2(40%)
minecraft.crafted.pink_glazed_terracotta: #1, 28(78%)
minecraft.mined.orange_bed: #2, 27(36%)
minecraft.crafted.gold_nugget: #3, 48596(18%)
minecraft.crafted.light_weighted_pressure_plate: #2, 32(25%)
minecraft.used.beacon: #2, 105(13%)
minecraft.picked_up.light_blue_stained_glass: #2, 2330(15%)
minecraft.mined.purpur_stairs: #2, 197(18%)
minecraft.dropped.stick: #2, 2475(11%)
minecraft.crafted.glowstone: #3, 3952(20%)
minecraft.used.lime_concrete_powder: #2, 1428(15%)
minecraft.picked_up.potato: #3, 16919(15%)
minecraft.dropped.dark_oak_stairs: #2, 182(21%)
minecraft.picked_up.bone_block: #2, 1952(11%)
