stat, rank, value, (percentage) 
minecraft.dropped.snow: #6, 411(5%)
minecraft.used.orange_terracotta: #6, 803(4%)
minecraft.dropped.green_banner: #6, 1(11%)
minecraft.used.acacia_boat: #6, 13(4%)
minecraft.mined.iron_trapdoor: #6, 247(4%)
minecraft.picked_up.mutton: #6, 160(3%)
minecraft.crafted.purple_stained_glass_pane: #6, 144(6%)
minecraft.broken.leather_boots: #6, 1(12%)
minecraft.dropped.egg: #6, 303(3%)
minecraft.picked_up.charcoal: #6, 17(4%)
minecraft.used.white_banner: #6, 43(3%)
minecraft.used.beef: #6, 4(8%)
minecraft.used.birch_stairs: #6, 587(4%)
minecraft.dropped.spruce_door: #6, 6(5%)
minecraft.mined.green_wall_banner: #6, 1(11%)
minecraft.dropped.bread: #6, 137(4%)
minecraft.dropped.coal_block: #6, 41(5%)
minecraft.crafted.wheat: #6, 1152(6%)
minecraft.used.orange_tulip: #6, 10(4%)
minecraft.picked_up.wheat: #7, 5119(7%)
minecraft.picked_up.iron_trapdoor: #6, 251(3%)
minecraft.picked_up.acacia_boat: #6, 9(3%)
minecraft.picked_up.purple_shulker_box: #6, 67(3%)
minecraft.picked_up.pumpkin: #6, 912(3%)
minecraft.dropped.green_dye: #6, 1551(3%)
minecraft.used.purple_shulker_box: #6, 63(3%)
minecraft.used.black_terracotta: #6, 673(4%)
minecraft.mined.purple_shulker_box: #6, 66(3%)
minecraft.picked_up.carrot_on_a_stick: #6, 1(7%)
minecraft.mined.chorus_flower: #6, 71(3%)
minecraft.used.green_concrete: #6, 332(3%)
minecraft.dropped.spruce_pressure_plate: #6, 3(5%)
minecraft.dropped.writable_book: #6, 3(3%)
minecraft.used.dark_oak_planks: #7, 1582(7%)
minecraft.used.grindstone: #6, 27(3%)
minecraft.dropped.dark_oak_trapdoor: #6, 10(4%)
