stat, rank, value, (percentage) 
minecraft.used.acacia_trapdoor: #10, 14(0%)
minecraft.picked_up.cyan_concrete_powder: #10, 2(0%)
minecraft.used.podzol: #10, 8(0%)
minecraft.picked_up.lime_concrete_powder: #10, 3(0%)
minecraft.mined.bubble_coral: #10, 1(0%)
minecraft.dropped.sea_pickle: #10, 3(0%)
minecraft.dropped.black_stained_glass: #10, 1(0%)
minecraft.mined.brain_coral_wall_fan: #10, 1(0%)
minecraft.dropped.jungle_log: #10, 2(0%)
minecraft.picked_up.spruce_trapdoor: #11, 353(4%)
minecraft.used.firework_rocket: #11, 491(3%)
minecraft.used.quartz_block: #11, 507(3%)
minecraft.crafted.cobblestone_wall: #11, 558(3%)
minecraft.mined.emerald_ore: #11, 23(4%)
minecraft.used.vine: #11, 81(3%)
minecraft.crafted.spruce_fence: #11, 495(3%)
minecraft.picked_up.apple: #11, 131(2%)
minecraft.picked_up.golden_carrot: #11, 663(2%)
minecraft.mined.piston: #11, 95(2%)
minecraft.used.shears: #11, 5207(2%)
minecraft.dropped.lever: #11, 19(3%)
minecraft.custom.interact_with_lectern: #11, 60(2%)
minecraft.used.campfire: #11, 36(3%)
minecraft.mined.campfire: #11, 19(3%)
minecraft.crafted.iron_nugget: #11, 2007(2%)
minecraft.used.oak_leaves: #11, 1340(2%)
minecraft.broken.diamond_pickaxe: #11, 2(2%)
minecraft.crafted.lantern: #11, 188(2%)
minecraft.picked_up.stripped_spruce_log: #11, 47(2%)
minecraft.picked_up.iron_axe: #11, 8(2%)
minecraft.mined.stripped_dark_oak_log: #11, 96(2%)
minecraft.used.rose_bush: #11, 18(1%)
minecraft.mined.birch_pressure_plate: #11, 3(2%)
minecraft.picked_up.diamond_block: #11, 78(1%)
minecraft.mined.stripped_spruce_log: #11, 35(1%)
minecraft.dropped.iron_block: #11, 78(2%)
minecraft.picked_up.glass_pane: #11, 57(1%)
minecraft.mined.black_banner: #11, 1(2%)
minecraft.dropped.hopper: #11, 12(2%)
minecraft.picked_up.quartz_pillar: #11, 111(1%)
minecraft.picked_up.polished_diorite: #11, 67(1%)
minecraft.crafted.tripwire_hook: #11, 40(1%)
minecraft.used.acacia_log: #11, 335(1%)
minecraft.dropped.iron_trapdoor: #11, 6(1%)
minecraft.crafted.brown_carpet: #11, 54(1%)
minecraft.picked_up.cornflower: #11, 37(1%)
minecraft.picked_up.music_disc_cat: #11, 1(1%)
minecraft.picked_up.brown_concrete_powder: #11, 17(1%)
minecraft.mined.blast_furnace: #11, 2(1%)
minecraft.picked_up.green_concrete_powder: #11, 21(1%)
minecraft.dropped.dark_oak_slab: #11, 8(1%)
minecraft.killed_by.zombie: #11, 2(0%)
minecraft.used.brown_concrete_powder: #11, 28(0%)
minecraft.crafted.brown_concrete_powder: #11, 32(0%)
minecraft.picked_up.emerald_ore: #11, 1(0%)
minecraft.mined.pink_wool: #11, 1(0%)
minecraft.dropped.mossy_cobblestone: #11, 1(0%)
minecraft.mined.smooth_quartz_slab: #11, 6(0%)
minecraft.picked_up.fire_coral: #11, 1(0%)
minecraft.dropped.vine: #11, 3(0%)
minecraft.used.andesite_stairs: #11, 1(0%)
minecraft.mined.andesite_slab: #11, 1(0%)
