stat, rank, value, (percentage) 
minecraft.used.cobblestone: #23, 1187(0%)
minecraft.crafted.crafting_table: #23, 11(0%)
minecraft.custom.interact_with_furnace: #23, 293(0%)
minecraft.custom.jump: #23, 19263(0%)
minecraft.picked_up.iron_boots: #23, 1(0%)
minecraft.mined.furnace: #23, 15(0%)
minecraft.picked_up.furnace: #23, 15(0%)
minecraft.crafted.anvil: #23, 4(0%)
minecraft.mined.oak_leaves: #23, 461(0%)
minecraft.picked_up.iron_leggings: #23, 1(0%)
minecraft.custom.interact_with_crafting_table: #23, 217(0%)
minecraft.used.anvil: #23, 5(0%)
minecraft.picked_up.iron_helmet: #23, 1(0%)
minecraft.used.diamond_pickaxe: #23, 27136(0%)
minecraft.crafted.oak_planks: #23, 772(0%)
minecraft.crafted.spruce_planks: #23, 1024(0%)
minecraft.used.crafting_table: #23, 21(0%)
minecraft.custom.drop: #23, 315(0%)
minecraft.killed.spider: #23, 9(0%)
minecraft.mined.crafting_table: #23, 17(0%)
minecraft.mined.wall_torch: #23, 44(0%)
minecraft.mined.torch: #23, 103(0%)
minecraft.picked_up.crafting_table: #23, 17(0%)
minecraft.custom.damage_taken: #23, 11051(0%)
minecraft.picked_up.torch: #23, 319(0%)
minecraft.picked_up.bone_meal: #23, 64(0%)
minecraft.picked_up.baked_potato: #23, 19(0%)
minecraft.crafted.furnace: #23, 15(0%)
minecraft.custom.fall_one_cm: #23, 283993(0%)
minecraft.picked_up.arrow: #23, 93(0%)
minecraft.picked_up.birch_log: #23, 110(0%)
minecraft.used.diamond_sword: #23, 438(0%)
minecraft.mined.gravel: #23, 1043(0%)
minecraft.mined.spruce_leaves: #23, 150(0%)
minecraft.picked_up.bone: #23, 96(0%)
minecraft.mined.chest: #23, 26(0%)
minecraft.crafted.birch_planks: #23, 176(0%)
minecraft.used.diamond_shovel: #23, 5551(0%)
minecraft.picked_up.chest: #23, 26(0%)
minecraft.crafted.iron_ingot: #23, 399(0%)
minecraft.used.andesite: #23, 51(0%)
minecraft.custom.mob_kills: #23, 1626(0%)
minecraft.picked_up.gravel: #23, 593(0%)
minecraft.picked_up.pufferfish: #23, 2(0%)
minecraft.picked_up.diamond_axe: #23, 1(0%)
minecraft.picked_up.stone_sword: #23, 1(0%)
minecraft.broken.shears: #23, 1(0%)
minecraft.mined.kelp: #23, 12(0%)
minecraft.picked_up.birch_planks: #23, 6(0%)
minecraft.used.birch_boat: #23, 1(0%)
minecraft.picked_up.brown_mushroom: #23, 2(0%)
minecraft.used.stone: #23, 256(0%)
minecraft.mined.oak_planks: #23, 5(0%)
minecraft.mined.oak_slab: #23, 2(0%)
minecraft.picked_up.quartz: #23, 87(0%)
minecraft.crafted.lever: #23, 1(0%)
minecraft.crafted.stone_brick_slab: #23, 18(0%)
minecraft.mined.rail: #23, 6(0%)
minecraft.dropped.arrow: #23, 4(0%)
minecraft.picked_up.rail: #23, 7(0%)
minecraft.picked_up.iron_ingot: #23, 81(0%)
minecraft.crafted.iron_block: #23, 13(0%)
minecraft.used.netherrack: #23, 9(0%)
minecraft.crafted.piston: #23, 1(0%)
minecraft.picked_up.grass_block: #23, 13(0%)
minecraft.killed.zombie: #24, 52(0%)
minecraft.picked_up.leather_chestplate: #24, 1(0%)
minecraft.custom.crouch_one_cm: #24, 361557(0%)
minecraft.custom.damage_dealt: #24, 35794(0%)
minecraft.used.furnace: #24, 19(0%)
minecraft.mined.poppy: #24, 11(0%)
minecraft.crafted.stick: #24, 624(0%)
minecraft.picked_up.oak_log: #24, 232(0%)
minecraft.mined.oak_log: #24, 207(0%)
minecraft.mined.cobblestone: #24, 163(0%)
minecraft.picked_up.apple: #24, 10(0%)
minecraft.used.diamond_axe: #24, 1555(0%)
minecraft.custom.time_since_rest: #24, 111949(0%)
minecraft.picked_up.water_bucket: #24, 1(0%)
minecraft.used.shears: #24, 258(0%)
minecraft.crafted.shears: #24, 3(0%)
minecraft.picked_up.player_head: #24, 7(0%)
minecraft.picked_up.ink_sac: #24, 8(0%)
minecraft.mined.kelp_plant: #24, 16(0%)
minecraft.used.oak_fence: #24, 4(0%)
minecraft.picked_up.kelp: #24, 145(0%)
minecraft.used.sea_lantern: #24, 24(0%)
minecraft.used.shulker_box: #24, 12(0%)
minecraft.picked_up.shulker_box: #24, 12(0%)
minecraft.dropped.rotten_flesh: #24, 14(0%)
minecraft.used.firework_rocket: #24, 4(0%)
minecraft.mined.shulker_box: #24, 9(0%)
minecraft.crafted.quartz_block: #24, 21(0%)
minecraft.picked_up.oak_slab: #24, 2(0%)
minecraft.killed.drowned: #24, 2(0%)
minecraft.used.stone_bricks: #24, 34(0%)
minecraft.mined.stone_bricks: #24, 13(0%)
minecraft.picked_up.stone_bricks: #24, 13(0%)
minecraft.custom.inspect_hopper: #24, 3(0%)
minecraft.used.grass_block: #24, 13(0%)
minecraft.picked_up.iron_chestplate: #25, 1(0%)
