stat, rank, value, (percentage) 
minecraft.picked_up.spruce_sapling: #25, 4(0%)
minecraft.picked_up.granite: #25, 49(0%)
minecraft.mined.cobblestone: #25, 18(0%)
minecraft.mined.spruce_slab: #25, 3(0%)
minecraft.mined.granite: #25, 42(0%)
minecraft.picked_up.spruce_stairs: #25, 2(0%)
minecraft.mined.wall_torch: #25, 3(0%)
minecraft.picked_up.string: #25, 6(0%)
minecraft.crafted.stone_bricks: #25, 60(0%)
minecraft.crafted.dark_oak_planks: #25, 20(0%)
minecraft.used.diamond_pickaxe: #25, 1014(0%)
minecraft.custom.mob_kills: #25, 184(0%)
minecraft.used.spruce_planks: #25, 4(0%)
minecraft.used.andesite: #25, 3(0%)
minecraft.crafted.iron_chestplate: #26, 1(0%)
minecraft.crafted.iron_helmet: #26, 1(0%)
minecraft.crafted.iron_sword: #26, 1(0%)
minecraft.crafted.oak_planks: #26, 428(0%)
minecraft.picked_up.crafting_table: #26, 6(0%)
minecraft.crafted.stick: #26, 224(0%)
minecraft.crafted.birch_planks: #26, 88(0%)
minecraft.custom.damage_taken: #26, 2514(0%)
minecraft.custom.crouch_one_cm: #26, 60182(0%)
minecraft.picked_up.bone: #26, 20(0%)
minecraft.picked_up.leather: #26, 7(0%)
minecraft.picked_up.spruce_slab: #26, 3(0%)
minecraft.killed.skeleton: #26, 10(0%)
minecraft.dropped.rotten_flesh: #26, 4(0%)
minecraft.custom.talked_to_villager: #26, 1(0%)
minecraft.mined.grass: #27, 151(0%)
minecraft.picked_up.rotten_flesh: #27, 43(0%)
minecraft.crafted.spruce_planks: #27, 108(0%)
minecraft.picked_up.player_head: #27, 1(0%)
minecraft.custom.walk_on_water_one_cm: #29, 322527(0%)
minecraft.custom.drop: #30, 36(0%)
minecraft.custom.walk_under_water_one_cm: #35, 332550(0%)
minecraft.custom.open_shulker_box: #35, 2(0%)
minecraft.custom.sneak_time: #36, 24335(0%)
minecraft.custom.play_one_minute: #38, 1476218(0%)
minecraft.custom.leave_game: #39, 40(0%)
minecraft.custom.fly_one_cm: #40, 1908710(0%)
minecraft.custom.time_since_rest: #51, 1548(0%)
