stat, rank, value, (percentage) 
minecraft.crafted.iron_door: #5, 45(5%)
minecraft.dropped.experience_bottle: #4, 1(0%)
minecraft.dropped.pink_terracotta: #4, 5(0%)
minecraft.crafted.experience_bottle: #4, 1(0%)
minecraft.dropped.music_disc_cat: #5, 1(20%)
minecraft.picked_up.light_blue_stained_glass: #5, 903(6%)
minecraft.dropped.apple: #5, 79(6%)
minecraft.used.birch_door: #5, 11(6%)
minecraft.crafted.firework_rocket: #5, 39708(5%)
minecraft.mined.white_wool: #5, 118(4%)
minecraft.picked_up.purpur_block: #5, 410(7%)
minecraft.used.green_concrete_powder: #5, 1803(5%)
minecraft.dropped.coarse_dirt: #5, 109(6%)
minecraft.used.purple_banner: #5, 9(9%)
minecraft.dropped.end_stone_bricks: #5, 78(7%)
minecraft.picked_up.smooth_stone: #5, 1336(4%)
minecraft.picked_up.cactus: #5, 1854(4%)
minecraft.custom.play_one_minute: #7, 97332176(5%)
minecraft.dropped.cod: #5, 3245(4%)
minecraft.crafted.comparator: #5, 334(4%)
minecraft.crafted.diamond_hoe: #5, 4(6%)
minecraft.dropped.green_banner: #5, 1(11%)
minecraft.used.orange_stained_glass: #5, 133(5%)
minecraft.used.tnt: #5, 385(5%)
minecraft.dropped.comparator: #5, 50(6%)
minecraft.used.dead_fire_coral_fan: #5, 17(8%)
minecraft.custom.sneak_time: #7, 4217163(5%)
minecraft.broken.stone_hoe: #5, 2(7%)
minecraft.dropped.stone_pressure_plate: #5, 54(5%)
minecraft.used.dead_brain_coral_fan: #5, 20(10%)
minecraft.mined.brown_terracotta: #5, 1417(4%)
minecraft.picked_up.light_blue_terracotta: #5, 124(4%)
minecraft.picked_up.brown_terracotta: #5, 1402(4%)
minecraft.mined.green_wall_banner: #5, 1(11%)
minecraft.picked_up.sandstone_stairs: #6, 247(8%)
minecraft.used.oak_sapling: #6, 1485(6%)
minecraft.crafted.white_bed: #6, 31(7%)
minecraft.used.orange_wool: #5, 94(5%)
minecraft.picked_up.brick_stairs: #5, 63(5%)
minecraft.crafted.acacia_door: #5, 12(7%)
minecraft.killed.skeleton_horse: #5, 2(11%)
minecraft.used.light_gray_concrete: #6, 3704(8%)
minecraft.picked_up.quartz_stairs: #6, 892(8%)
minecraft.picked_up.snow_block: #6, 908(9%)
minecraft.mined.blue_terracotta: #5, 69(4%)
minecraft.used.brown_concrete: #5, 97(5%)
minecraft.used.bricks: #5, 1041(4%)
minecraft.used.light_blue_concrete: #5, 371(3%)
minecraft.dropped.white_terracotta: #5, 110(4%)
minecraft.used.wither_skeleton_skull: #5, 45(3%)
minecraft.used.purpur_pillar: #5, 53(4%)
minecraft.mined.iron_block: #6, 2523(7%)
minecraft.dropped.piston: #5, 28(4%)
minecraft.killed.wither: #5, 12(3%)
minecraft.dropped.stone_bricks: #5, 542(2%)
minecraft.crafted.pumpkin_pie: #5, 129(3%)
minecraft.mined.gravel: #6, 42365(6%)
minecraft.dropped.diorite: #6, 5010(6%)
minecraft.crafted.composter: #5, 32(2%)
minecraft.dropped.sunflower: #5, 11(4%)
minecraft.dropped.light_gray_stained_glass_pane: #5, 81(4%)
minecraft.picked_up.iron_block: #6, 3257(6%)
minecraft.dropped.gold_ore: #5, 87(3%)
minecraft.mined.redstone_wall_torch: #6, 130(6%)
minecraft.used.trident: #6, 1951(6%)
minecraft.picked_up.furnace: #6, 253(5%)
minecraft.crafted.iron_axe: #6, 16(5%)
minecraft.crafted.melon: #5, 4628(4%)
minecraft.dropped.cobweb: #5, 8(6%)
minecraft.used.dropper: #6, 486(7%)
minecraft.picked_up.dead_bubble_coral_fan: #5, 31(6%)
minecraft.mined.quartz_stairs: #6, 572(6%)
minecraft.picked_up.diamond_hoe: #5, 1(7%)
minecraft.mined.pink_concrete: #6, 164(10%)
minecraft.crafted.redstone: #6, 13053(6%)
minecraft.crafted.cyan_glazed_terracotta: #5, 12(5%)
minecraft.crafted.lever: #6, 295(6%)
minecraft.dropped.granite: #6, 4029(5%)
minecraft.picked_up.gravel: #6, 38138(5%)
minecraft.crafted.diamond_sword: #6, 8(5%)
minecraft.mined.sea_lantern: #6, 532(5%)
minecraft.picked_up.fire_charge: #5, 33(5%)
minecraft.mined.end_rod: #6, 485(5%)
minecraft.crafted.magma_cream: #6, 31(12%)
minecraft.dropped.ladder: #6, 95(7%)
minecraft.dropped.acacia_fence: #5, 1(4%)
minecraft.used.redstone_lamp: #6, 316(6%)
minecraft.used.activator_rail: #6, 42(8%)
minecraft.dropped.compass: #5, 2(2%)
minecraft.crafted.glistering_melon_slice: #5, 6(1%)
minecraft.used.string: #6, 734(5%)
minecraft.custom.damage_absorbed: #6, 368(6%)
minecraft.mined.lily_pad: #6, 72(8%)
minecraft.mined.nether_bricks: #6, 1642(6%)
minecraft.picked_up.trident: #6, 42(5%)
minecraft.picked_up.oak_leaves: #6, 5193(4%)
minecraft.dropped.powered_rail: #6, 59(7%)
minecraft.crafted.purple_terracotta: #5, 55(1%)
minecraft.dropped.gray_concrete_powder: #5, 8(1%)
minecraft.picked_up.cyan_terracotta: #6, 3649(5%)
minecraft.dropped.wet_sponge: #5, 1(1%)
minecraft.mined.nether_quartz_ore: #6, 11028(5%)
minecraft.mined.cyan_terracotta: #6, 2553(5%)
minecraft.dropped.magenta_stained_glass: #5, 3(0%)
minecraft.picked_up.acacia_wood: #6, 109(9%)
minecraft.picked_up.orange_concrete: #6, 676(6%)
minecraft.dropped.flint_and_steel: #6, 8(8%)
minecraft.picked_up.birch_sapling: #6, 704(4%)
minecraft.crafted.cyan_terracotta: #6, 10277(6%)
minecraft.crafted.spectral_arrow: #5, 4(0%)
minecraft.crafted.fermented_spider_eye: #6, 35(6%)
minecraft.crafted.brick: #6, 2348(5%)
