stat, rank, value, (percentage) 
minecraft.crafted.globe_banner_pattern: #1, 6(67%)
minecraft.picked_up.gold_ingot: #3, 2220(19%)
minecraft.used.brick_stairs: #2, 1047(27%)
minecraft.mined.bricks: #2, 1063(20%)
minecraft.mined.black_concrete: #3, 20696(17%)
minecraft.dropped.blue_stained_glass_pane: #1, 65(98%)
minecraft.crafted.pink_banner: #1, 13(39%)
minecraft.picked_up.black_concrete_powder: #3, 17683(22%)
minecraft.picked_up.smooth_red_sandstone_stairs: #1, 95(65%)
minecraft.picked_up.end_stone_brick_stairs: #1, 129(65%)
minecraft.used.acacia_boat: #2, 50(17%)
minecraft.mined.smooth_red_sandstone_stairs: #1, 95(64%)
minecraft.used.cobblestone_wall: #2, 2075(13%)
minecraft.picked_up.birch_planks: #2, 1029(12%)
minecraft.crafted.jungle_trapdoor: #2, 1198(29%)
minecraft.picked_up.magenta_shulker_box: #2, 470(15%)
minecraft.crafted.cut_sandstone_slab: #1, 310(38%)
minecraft.mined.magenta_shulker_box: #2, 457(15%)
minecraft.used.jungle_button: #2, 118(29%)
minecraft.used.acacia_fence: #2, 380(19%)
minecraft.mined.lime_banner: #1, 7(27%)
minecraft.used.nether_brick_stairs: #2, 1167(22%)
minecraft.mined.smooth_red_sandstone: #1, 184(93%)
minecraft.crafted.brown_glazed_terracotta: #1, 200(93%)
minecraft.picked_up.oak_sign: #2, 1059(11%)
minecraft.dropped.brown_bed: #1, 10(91%)
minecraft.crafted.barrel: #2, 480(13%)
minecraft.used.pink_tulip: #2, 29(31%)
minecraft.crafted.light_blue_terracotta: #2, 8696(28%)
minecraft.mined.prismarine_bricks: #3, 7291(21%)
minecraft.crafted.brown_carpet: #2, 1059(22%)
minecraft.mined.piston: #2, 526(13%)
minecraft.used.spruce_trapdoor: #2, 3121(12%)
minecraft.crafted.light_gray_carpet: #2, 2349(14%)
minecraft.picked_up.acacia_fence: #2, 305(21%)
minecraft.crafted.acacia_trapdoor: #2, 1566(21%)
minecraft.used.red_stained_glass: #2, 3563(18%)
minecraft.mined.brown_concrete_powder: #2, 114(20%)
minecraft.picked_up.gray_concrete_powder: #3, 10274(21%)
minecraft.dropped.dirt: #2, 12354(11%)
minecraft.mined.cobblestone_wall: #2, 416(11%)
minecraft.mined.sea_lantern: #2, 1171(12%)
minecraft.mined.gray_concrete_powder: #2, 1100(15%)
