stat, rank, value, (percentage) 
minecraft.used.white_tulip: #9, 7(4%)
minecraft.used.yellow_concrete_powder: #9, 634(3%)
minecraft.crafted.book: #9, 152(2%)
minecraft.used.blue_concrete_powder: #9, 256(3%)
minecraft.used.end_stone_bricks: #9, 109(2%)
minecraft.crafted.golden_helmet: #9, 1(3%)
minecraft.crafted.blue_concrete_powder: #9, 256(2%)
minecraft.crafted.yellow_stained_glass: #9, 224(2%)
minecraft.used.horn_coral: #9, 7(2%)
minecraft.dropped.chainmail_boots: #9, 2(2%)
minecraft.used.orange_concrete: #9, 148(2%)
minecraft.picked_up.light_blue_stained_glass: #9, 260(2%)
minecraft.mined.lime_concrete: #9, 267(2%)
minecraft.used.spruce_leaves: #9, 679(1%)
minecraft.used.sunflower: #9, 2(2%)
minecraft.used.light_blue_concrete: #9, 160(1%)
minecraft.used.yellow_concrete: #9, 185(1%)
minecraft.dropped.quartz_slab: #9, 17(2%)
minecraft.crafted.painting: #9, 27(1%)
minecraft.killed.pufferfish: #9, 1(2%)
minecraft.killed.wither_skeleton: #9, 293(1%)
minecraft.crafted.light_blue_bed: #9, 1(2%)
minecraft.killed.wither: #9, 4(1%)
minecraft.mined.nether_brick_fence: #9, 9(1%)
minecraft.dropped.jungle_trapdoor: #9, 2(2%)
minecraft.dropped.magma_block: #9, 15(1%)
minecraft.mined.quartz_stairs: #10, 482(5%)
minecraft.picked_up.cracked_stone_bricks: #9, 104(1%)
minecraft.used.blue_stained_glass: #9, 117(1%)
minecraft.dropped.beetroot_seeds: #9, 4(1%)
minecraft.used.iron_sword: #10, 758(5%)
minecraft.used.azure_bluet: #9, 4(1%)
minecraft.picked_up.acacia_trapdoor: #9, 12(1%)
minecraft.used.acacia_wood: #9, 45(1%)
minecraft.picked_up.turtle_helmet: #9, 1(1%)
minecraft.crafted.nether_brick: #9, 256(1%)
minecraft.dropped.slime_block: #9, 10(1%)
minecraft.used.allium: #9, 1(1%)
minecraft.dropped.pumpkin_pie: #9, 4(1%)
minecraft.mined.tube_coral_block: #9, 24(0%)
minecraft.used.dark_oak_wood: #9, 30(0%)
minecraft.dropped.saddle: #9, 2(0%)
minecraft.crafted.yellow_terracotta: #9, 48(0%)
minecraft.mined.horn_coral_block: #9, 16(0%)
