stat, rank, value, (percentage) 
minecraft.mined.stripped_acacia_log: #3, 47(2%)
minecraft.dropped.light_gray_carpet: #3, 54(2%)
minecraft.picked_up.lime_shulker_box: #4, 230(7%)
minecraft.used.melon_slice: #3, 10(3%)
minecraft.dropped.dark_oak_leaves: #4, 64(9%)
minecraft.used.lime_shulker_box: #4, 227(7%)
minecraft.custom.interact_with_cartography_table: #4, 7(9%)
minecraft.mined.lime_shulker_box: #4, 220(7%)
minecraft.picked_up.spruce_fence: #5, 863(10%)
minecraft.dropped.furnace: #4, 33(6%)
minecraft.used.filled_map: #3, 10(3%)
minecraft.custom.walk_on_water_one_cm: #6, 12305248(6%)
minecraft.broken.iron_pickaxe: #4, 16(5%)
minecraft.mined.black_concrete: #5, 10958(9%)
minecraft.used.stripped_acacia_log: #3, 25(1%)
minecraft.crafted.brown_bed: #3, 1(2%)
minecraft.picked_up.lime_stained_glass: #4, 244(6%)
minecraft.dropped.enchanted_book: #4, 37(6%)
minecraft.dropped.lime_shulker_box: #3, 1(1%)
minecraft.mined.cobweb: #4, 659(5%)
minecraft.dropped.chainmail_boots: #4, 7(7%)
minecraft.crafted.cut_red_sandstone: #3, 4(0%)
minecraft.mined.oak_wall_sign: #5, 272(8%)
minecraft.crafted.smooth_red_sandstone: #3, 2(0%)
minecraft.picked_up.iron_boots: #5, 22(8%)
minecraft.picked_up.torch: #5, 12470(7%)
minecraft.picked_up.wooden_pickaxe: #4, 3(6%)
minecraft.mined.gray_wool: #4, 22(6%)
minecraft.picked_up.dead_tube_coral_block: #4, 75(9%)
minecraft.picked_up.rotten_flesh: #5, 6155(6%)
minecraft.mined.lime_carpet: #4, 34(7%)
minecraft.used.black_concrete: #5, 9931(9%)
minecraft.picked_up.glass: #4, 9771(4%)
minecraft.picked_up.bubble_coral_fan: #4, 241(8%)
minecraft.used.brain_coral_block: #4, 160(7%)
minecraft.killed.zombie_villager: #5, 29(8%)
minecraft.crafted.white_stained_glass: #5, 13960(10%)
minecraft.used.light_blue_carpet: #4, 101(8%)
minecraft.killed.ender_dragon: #4, 2(10%)
minecraft.used.carrot_on_a_stick: #4, 453(7%)
minecraft.used.diamond_sword: #5, 21550(6%)
minecraft.used.light_blue_concrete: #4, 561(5%)
minecraft.picked_up.prismarine_stairs: #4, 41(12%)
minecraft.dropped.string: #5, 791(8%)
minecraft.used.dead_horn_coral_block: #4, 27(12%)
minecraft.crafted.light_blue_dye: #5, 1675(8%)
minecraft.used.dragon_head: #4, 6(6%)
minecraft.picked_up.carved_pumpkin: #4, 475(5%)
minecraft.crafted.golden_helmet: #4, 2(7%)
minecraft.broken.stone_hoe: #4, 2(7%)
minecraft.picked_up.gray_stained_glass_pane: #4, 160(6%)
minecraft.dropped.splash_potion: #4, 6(6%)
minecraft.used.spruce_planks: #5, 3970(7%)
minecraft.used.water_bucket: #5, 4646(7%)
minecraft.dropped.stone_bricks: #4, 805(3%)
minecraft.mined.infested_stone: #5, 120(10%)
minecraft.used.ladder: #5, 1229(8%)
