stat, rank, value, (percentage) 
minecraft.mined.stone: #11, 231648(4%)
minecraft.used.light_blue_concrete: #10, 133(1%)
minecraft.mined.lime_carpet: #10, 5(1%)
minecraft.mined.andesite: #11, 15508(5%)
minecraft.killed_by.zombie: #10, 3(1%)
minecraft.dropped.pumpkin_pie: #10, 4(1%)
minecraft.crafted.stone_bricks: #11, 20900(4%)
minecraft.mined.lime_concrete_powder: #10, 1(1%)
minecraft.crafted.crossbow: #10, 1(1%)
minecraft.mined.dried_kelp_block: #10, 3(0%)
minecraft.dropped.piston: #10, 2(0%)
minecraft.picked_up.pink_dye: #10, 1(0%)
minecraft.crafted.pink_wool: #10, 1(0%)
minecraft.picked_up.iron_ingot: #10, 841(0%)
minecraft.dropped.dried_kelp: #10, 9(0%)
minecraft.crafted.brown_wool: #10, 1(0%)
minecraft.used.nether_wart_block: #10, 1(0%)
minecraft.crafted.nether_wart_block: #10, 1(0%)
minecraft.mined.torch: #11, 1714(3%)
minecraft.killed_by.creeper: #11, 5(4%)
minecraft.mined.oak_fence: #11, 181(4%)
minecraft.used.stone_sword: #11, 81(4%)
minecraft.crafted.hopper: #11, 794(3%)
minecraft.used.minecart: #11, 131(4%)
minecraft.crafted.diamond_boots: #11, 5(3%)
minecraft.picked_up.detector_rail: #11, 19(3%)
minecraft.crafted.diamond: #11, 1512(3%)
minecraft.used.painting: #11, 91(3%)
minecraft.crafted.redstone: #11, 5517(2%)
minecraft.mined.magma_block: #11, 608(2%)
minecraft.custom.talked_to_villager: #11, 1078(2%)
minecraft.dropped.baked_potato: #11, 60(2%)
minecraft.mined.polished_andesite: #11, 511(2%)
minecraft.crafted.stone_axe: #11, 4(2%)
minecraft.crafted.glass_pane: #11, 256(2%)
minecraft.picked_up.mutton: #11, 75(2%)
minecraft.killed.sheep: #11, 29(1%)
minecraft.used.glass_pane: #11, 180(1%)
minecraft.crafted.spruce_pressure_plate: #11, 8(2%)
minecraft.mined.cauldron: #11, 9(2%)
minecraft.used.lead: #11, 1(3%)
minecraft.dropped.slime_ball: #11, 120(1%)
minecraft.picked_up.birch_pressure_plate: #11, 3(1%)
minecraft.mined.grindstone: #11, 8(2%)
minecraft.crafted.campfire: #11, 25(1%)
minecraft.used.oak_button: #11, 12(1%)
minecraft.crafted.lime_carpet: #11, 48(2%)
minecraft.picked_up.grindstone: #11, 8(1%)
minecraft.used.tropical_fish_bucket: #11, 5(1%)
minecraft.crafted.slime_block: #11, 156(1%)
minecraft.mined.dark_oak_fence_gate: #11, 4(1%)
minecraft.crafted.iron_block: #11, 967(1%)
minecraft.mined.stone_brick_wall: #11, 13(1%)
minecraft.crafted.heavy_weighted_pressure_plate: #11, 5(1%)
minecraft.picked_up.stone_brick_wall: #11, 13(1%)
minecraft.crafted.jungle_slab: #11, 48(1%)
minecraft.used.ice: #11, 266(0%)
minecraft.picked_up.dark_oak_fence_gate: #11, 4(1%)
minecraft.used.green_carpet: #11, 19(1%)
minecraft.picked_up.light_blue_banner: #11, 1(1%)
minecraft.crafted.stone_brick_wall: #11, 60(0%)
minecraft.used.dark_oak_pressure_plate: #11, 1(0%)
minecraft.picked_up.acacia_fence: #11, 3(0%)
minecraft.mined.acacia_fence: #11, 3(0%)
minecraft.picked_up.andesite_slab: #11, 1(0%)
minecraft.picked_up.magenta_wool: #11, 3(0%)
minecraft.used.andesite_slab: #11, 1(0%)
minecraft.picked_up.iron_pickaxe: #12, 9(4%)
minecraft.used.iron_axe: #12, 1085(4%)
minecraft.broken.iron_shovel: #12, 5(4%)
minecraft.crafted.lever: #12, 185(4%)
minecraft.used.iron_pickaxe: #12, 3256(3%)
minecraft.crafted.stick: #12, 9994(3%)
minecraft.mined.redstone_wire: #12, 521(3%)
minecraft.crafted.diamond_sword: #12, 4(2%)
