stat, rank, value, (percentage) 
minecraft.picked_up.blue_stained_glass_pane: #8, 13(1%)
minecraft.killed.villager: #8, 11(1%)
minecraft.picked_up.fern: #8, 40(1%)
minecraft.used.hopper: #9, 1477(5%)
minecraft.crafted.green_terracotta: #8, 384(1%)
minecraft.used.birch_wood: #8, 16(1%)
minecraft.crafted.cooked_mutton: #8, 12(0%)
minecraft.picked_up.spruce_sign: #9, 45(5%)
minecraft.crafted.birch_wood: #8, 15(1%)
minecraft.crafted.magenta_stained_glass_pane: #8, 16(1%)
minecraft.crafted.pink_carpet: #8, 6(1%)
minecraft.mined.pink_wool: #8, 2(0%)
minecraft.crafted.light_blue_carpet: #8, 6(1%)
minecraft.picked_up.magenta_wool: #8, 20(0%)
minecraft.used.lime_terracotta: #8, 320(0%)
minecraft.used.magenta_stained_glass_pane: #8, 5(0%)
minecraft.used.green_stained_glass_pane: #8, 3(0%)
minecraft.mined.birch_wood: #8, 1(0%)
minecraft.mined.kelp: #9, 710(4%)
minecraft.picked_up.birch_wood: #8, 1(0%)
minecraft.dropped.red_sand: #8, 1(0%)
minecraft.picked_up.horn_coral_fan: #8, 2(0%)
minecraft.mined.crafting_table: #9, 295(4%)
minecraft.used.spruce_slab: #9, 2468(4%)
minecraft.crafted.spruce_slab: #9, 2394(4%)
minecraft.mined.light_gray_concrete: #9, 2156(5%)
minecraft.mined.blue_shulker_box: #9, 130(5%)
minecraft.used.light_gray_concrete: #9, 2067(5%)
minecraft.crafted.glass_pane: #9, 640(4%)
minecraft.used.diamond_shovel: #9, 164485(3%)
minecraft.crafted.iron_axe: #9, 10(3%)
minecraft.mined.poppy: #9, 188(3%)
minecraft.mined.stone_brick_stairs: #9, 667(4%)
minecraft.picked_up.diamond_chestplate: #9, 9(4%)
minecraft.picked_up.mossy_cobblestone: #9, 140(4%)
minecraft.mined.furnace: #9, 135(3%)
minecraft.picked_up.spruce_sapling: #9, 643(3%)
minecraft.custom.enchant_item: #9, 160(3%)
minecraft.picked_up.grass_block: #9, 16298(3%)
minecraft.picked_up.quartz: #9, 13004(3%)
minecraft.picked_up.cod: #9, 3240(3%)
minecraft.dropped.grass: #9, 6(5%)
minecraft.crafted.quartz_slab: #9, 1686(3%)
minecraft.crafted.pink_dye: #9, 266(3%)
minecraft.used.spruce_fence: #9, 573(3%)
minecraft.used.birch_log: #9, 489(3%)
minecraft.crafted.gray_dye: #9, 1202(3%)
minecraft.picked_up.beef: #9, 713(2%)
minecraft.crafted.dark_oak_slab: #9, 1092(3%)
minecraft.mined.fern: #9, 72(3%)
minecraft.picked_up.white_concrete_powder: #9, 5314(3%)
minecraft.dropped.crafting_table: #9, 13(3%)
minecraft.used.cactus: #9, 68(2%)
minecraft.used.brown_concrete_powder: #9, 230(3%)
minecraft.used.grass: #9, 58(4%)
minecraft.used.cooked_cod: #9, 598(2%)
minecraft.mined.white_stained_glass_pane: #9, 136(2%)
minecraft.mined.gray_carpet: #9, 70(2%)
minecraft.used.terracotta: #9, 205(2%)
minecraft.used.chiseled_sandstone: #9, 15(3%)
minecraft.used.diamond_block: #9, 92(2%)
minecraft.used.nether_brick_stairs: #9, 159(3%)
minecraft.used.pink_concrete_powder: #9, 64(3%)
minecraft.mined.activator_rail: #9, 5(3%)
minecraft.mined.brown_concrete_powder: #9, 14(2%)
minecraft.crafted.nether_brick_stairs: #9, 160(3%)
minecraft.picked_up.purple_stained_glass_pane: #9, 13(2%)
