stat, rank, value, (percentage) 
minecraft.crafted.jungle_slab: #3, 858(11%)
minecraft.used.stripped_birch_log: #4, 980(18%)
minecraft.picked_up.prismarine_stairs: #3, 90(26%)
minecraft.used.lily_of_the_valley: #2, 4(16%)
minecraft.used.music_disc_11: #2, 2(13%)
minecraft.dropped.stripped_birch_wood: #2, 2(40%)
minecraft.used.yellow_banner: #3, 35(14%)
minecraft.mined.light_gray_banner: #2, 6(11%)
minecraft.used.gold_ore: #2, 130(5%)
minecraft.used.stone_axe: #3, 852(8%)
minecraft.crafted.stone_brick_slab: #4, 11310(12%)
minecraft.custom.swim_one_cm: #4, 24362268(9%)
minecraft.used.vine: #3, 256(9%)
minecraft.used.brown_banner: #2, 22(19%)
minecraft.used.yellow_glazed_terracotta: #2, 56(9%)
minecraft.crafted.cracked_stone_bricks: #2, 1170(5%)
minecraft.used.lever: #3, 500(8%)
minecraft.crafted.golden_boots: #3, 13(12%)
minecraft.mined.red_nether_brick_stairs: #2, 19(24%)
minecraft.mined.light_gray_terracotta: #3, 13746(10%)
minecraft.picked_up.birch_leaves: #3, 1592(9%)
minecraft.picked_up.player_head: #4, 1601(10%)
minecraft.used.cyan_concrete_powder: #3, 559(11%)
minecraft.crafted.smooth_sandstone_slab: #2, 510(9%)
minecraft.mined.dark_oak_sign: #3, 6(17%)
minecraft.custom.climb_one_cm: #4, 6688134(8%)
minecraft.used.magenta_terracotta: #3, 612(18%)
minecraft.crafted.birch_planks: #4, 15303(9%)
minecraft.used.magenta_concrete: #2, 150(6%)
minecraft.picked_up.orange_concrete_powder: #3, 517(16%)
minecraft.picked_up.stone_brick_slab: #4, 3755(11%)
minecraft.picked_up.stripped_oak_wood: #3, 112(17%)
minecraft.crafted.green_glazed_terracotta: #3, 64(31%)
