stat, rank, value, (percentage) 
minecraft.dropped.string: #3, 1032(10%)
minecraft.picked_up.smooth_quartz_stairs: #2, 232(12%)
minecraft.crafted.stone_button: #2, 3628(6%)
minecraft.picked_up.spruce_button: #3, 63(12%)
minecraft.dropped.spruce_door: #2, 12(10%)
minecraft.picked_up.stone_stairs: #3, 243(13%)
minecraft.custom.player_kills: #3, 9(14%)
minecraft.picked_up.brown_stained_glass_pane: #2, 27(33%)
minecraft.used.cornflower: #2, 27(10%)
minecraft.used.music_disc_far: #2, 13(22%)
minecraft.dropped.brown_stained_glass: #2, 714(43%)
minecraft.picked_up.paper: #3, 3398(10%)
minecraft.picked_up.magenta_bed: #2, 8(26%)
minecraft.used.torch: #3, 27477(8%)
minecraft.picked_up.diorite_slab: #2, 10(26%)
minecraft.used.cooked_mutton: #2, 203(7%)
minecraft.picked_up.lime_dye: #2, 363(12%)
minecraft.mined.spruce_fence_gate: #2, 67(8%)
minecraft.mined.nether_quartz_ore: #3, 23828(10%)
minecraft.used.acacia_planks: #3, 205(13%)
minecraft.crafted.gold_nugget: #4, 44372(16%)
minecraft.dropped.sponge: #2, 68(21%)
minecraft.mined.black_concrete_powder: #2, 253(7%)
minecraft.killed.wandering_trader: #3, 16(15%)
minecraft.mined.podzol: #3, 1550(12%)
minecraft.picked_up.white_carpet: #3, 478(9%)
minecraft.mined.pink_wool: #3, 82(20%)
minecraft.crafted.chest: #3, 4149(8%)
minecraft.crafted.gray_stained_glass_pane: #2, 1616(11%)
minecraft.used.stone_button: #2, 3009(5%)
minecraft.picked_up.purple_stained_glass_pane: #3, 90(17%)
minecraft.mined.bamboo: #3, 669(13%)
minecraft.crafted.oak_wood: #2, 432(7%)
minecraft.killed.cow: #4, 1263(12%)
minecraft.used.light_gray_concrete_powder: #3, 10571(11%)
minecraft.dropped.cocoa_beans: #2, 47(10%)
minecraft.picked_up.music_disc_strad: #2, 22(19%)
minecraft.picked_up.crossbow: #3, 111(11%)
minecraft.used.bubble_coral_fan: #3, 144(17%)
minecraft.picked_up.podzol: #3, 1554(14%)
minecraft.mined.glowstone: #3, 2183(10%)
minecraft.crafted.jukebox: #3, 12(19%)
minecraft.crafted.diamond_sword: #4, 20(12%)
minecraft.picked_up.tripwire_hook: #3, 177(10%)
minecraft.dropped.gray_dye: #2, 37(16%)
minecraft.dropped.cyan_banner: #2, 2(22%)
minecraft.dropped.cyan_dye: #2, 112(18%)
minecraft.dropped.repeater: #3, 139(15%)
minecraft.killed.trader_llama: #3, 30(15%)
minecraft.custom.pot_flower: #3, 129(10%)
minecraft.dropped.purple_shulker_box: #2, 6(21%)
minecraft.dropped.chiseled_sandstone: #2, 3(18%)
minecraft.picked_up.lime_concrete_powder: #3, 344(16%)
minecraft.dropped.cornflower: #3, 71(15%)
minecraft.used.brown_concrete_powder: #3, 961(13%)
minecraft.picked_up.beef: #4, 3513(12%)
minecraft.dropped.pink_stained_glass: #2, 691(34%)
minecraft.dropped.music_disc_ward: #2, 1(25%)
minecraft.killed_by.spider: #2, 1(25%)
minecraft.broken.diamond_boots: #2, 1(20%)
minecraft.broken.diamond_leggings: #2, 1(25%)
minecraft.crafted.cod_bucket: #2, 6(25%)
minecraft.dropped.red_mushroom: #2, 29(5%)
minecraft.broken.diamond_sword: #2, 1(33%)
minecraft.dropped.dead_bubble_coral_block: #2, 2(33%)
minecraft.used.gray_stained_glass_pane: #2, 1250(9%)
minecraft.crafted.pink_concrete_powder: #3, 424(13%)
minecraft.picked_up.dark_oak_slab: #3, 1165(9%)
minecraft.picked_up.lime_stained_glass_pane: #3, 154(13%)
minecraft.picked_up.polished_andesite_stairs: #3, 261(15%)
minecraft.picked_up.cobblestone: #4, 211588(10%)
minecraft.dropped.diamond_helmet: #3, 12(10%)
minecraft.dropped.pufferfish_bucket: #2, 3(16%)
minecraft.picked_up.terracotta: #3, 21764(9%)
minecraft.dropped.activator_rail: #2, 3(23%)
minecraft.dropped.oak_leaves: #3, 521(10%)
minecraft.picked_up.porkchop: #3, 149(8%)
minecraft.picked_up.oak_fence: #3, 480(8%)
minecraft.picked_up.music_disc_11: #2, 8(13%)
minecraft.crafted.light_gray_concrete_powder: #3, 9424(10%)
minecraft.crafted.light_gray_stained_glass_pane: #3, 2420(15%)
minecraft.dropped.white_dye: #2, 282(7%)
minecraft.picked_up.activator_rail: #3, 52(12%)
minecraft.dropped.tripwire_hook: #3, 58(12%)
minecraft.custom.walk_under_water_one_cm: #5, 38530692(8%)
minecraft.used.brain_coral_fan: #3, 122(13%)
minecraft.crafted.spruce_stairs: #3, 2136(7%)
minecraft.used.beetroot: #2, 25(17%)
minecraft.dropped.end_rod: #3, 295(12%)
minecraft.dropped.light_blue_bed: #2, 1(20%)
minecraft.dropped.wheat_seeds: #4, 6465(11%)
minecraft.used.splash_potion: #3, 42(10%)
minecraft.used.dragon_egg: #2, 1(25%)
minecraft.dropped.golden_boots: #3, 24(8%)
minecraft.dropped.dark_oak_slab: #3, 197(12%)
minecraft.mined.birch_wall_sign: #3, 31(9%)
minecraft.used.chicken: #2, 7(37%)
minecraft.killed_by.skeleton: #3, 9(11%)
minecraft.dropped.diamond_leggings: #3, 11(11%)
minecraft.dropped.diorite_slab: #2, 6(23%)
minecraft.dropped.writable_book: #3, 11(11%)
minecraft.used.fire_coral_fan: #3, 122(14%)
minecraft.mined.terracotta: #3, 18755(8%)
minecraft.dropped.conduit: #2, 1(33%)
minecraft.used.tube_coral_block: #3, 326(11%)
minecraft.crafted.cooked_rabbit: #2, 3(16%)
minecraft.dropped.dark_oak_stairs: #3, 117(13%)
minecraft.mined.dandelion: #4, 388(9%)
minecraft.crafted.redstone_torch: #3, 5531(7%)
minecraft.picked_up.light_gray_stained_glass: #4, 1160(16%)
minecraft.picked_up.sponge: #3, 169(12%)
minecraft.picked_up.stone_axe: #3, 5(10%)
minecraft.used.carrot: #4, 8175(11%)
minecraft.mined.polished_andesite_stairs: #3, 153(12%)
minecraft.picked_up.shield: #3, 29(7%)
minecraft.picked_up.music_disc_mellohi: #2, 9(9%)
minecraft.dropped.piston: #3, 88(14%)
minecraft.crafted.tnt_minecart: #2, 20(7%)
minecraft.crafted.crafting_table: #4, 278(9%)
minecraft.crafted.glass: #4, 14622(10%)
minecraft.picked_up.music_disc_stal: #2, 9(9%)
minecraft.mined.yellow_stained_glass: #4, 189(13%)
minecraft.picked_up.leather: #4, 2886(10%)
