stat, rank, value, (percentage) 
minecraft.picked_up.purple_banner: #1, 36(44%)
minecraft.mined.crafting_table: #1, 1594(20%)
minecraft.picked_up.chorus_flower: #1, 901(35%)
minecraft.used.white_wool: #1, 1650(24%)
minecraft.used.crafting_table: #1, 1806(19%)
minecraft.crafted.jungle_button: #1, 226(53%)
minecraft.crafted.sticky_piston: #1, 2218(23%)
minecraft.killed.creeper: #1, 1690(21%)
minecraft.mined.obsidian: #1, 6584(21%)
minecraft.custom.interact_with_crafting_table: #1, 14453(15%)
minecraft.picked_up.horn_coral_block: #1, 1928(44%)
minecraft.used.pumpkin_pie: #1, 1770(58%)
minecraft.crafted.light_blue_terracotta: #1, 16248(52%)
minecraft.mined.purple_shulker_box: #1, 686(33%)
minecraft.picked_up.clay_ball: #2, 17496(28%)
minecraft.mined.stripped_birch_log: #1, 2139(27%)
minecraft.used.pink_terracotta: #1, 1279(65%)
minecraft.mined.birch_sign: #1, 72(31%)
minecraft.mined.netherrack: #2, 356533(25%)
minecraft.used.chorus_flower: #1, 924(43%)
minecraft.picked_up.vine: #1, 4446(26%)
minecraft.picked_up.soul_sand: #1, 9392(22%)
minecraft.picked_up.iron_door: #1, 204(25%)
minecraft.dropped.sand: #2, 58904(25%)
minecraft.used.sandstone: #1, 14483(23%)
minecraft.used.andesite_slab: #1, 4078(47%)
minecraft.picked_up.stripped_birch_log: #1, 2178(27%)
minecraft.used.player_head: #1, 1498(20%)
minecraft.mined.dark_oak_button: #1, 48(51%)
minecraft.used.birch_sign: #1, 503(22%)
minecraft.crafted.spruce_pressure_plate: #1, 127(27%)
minecraft.mined.red_banner: #1, 100(46%)
minecraft.used.bamboo: #1, 3027(30%)
minecraft.used.black_wool: #1, 2975(32%)
minecraft.mined.yellow_glazed_terracotta: #1, 150(56%)
minecraft.picked_up.rabbit: #1, 48(42%)
minecraft.picked_up.dead_tube_coral_fan: #1, 333(63%)
minecraft.used.redstone_block: #1, 3444(24%)
minecraft.crafted.end_stone_bricks: #1, 5064(72%)
minecraft.dropped.iron_chestplate: #1, 40(28%)
minecraft.picked_up.stone_slab: #1, 2287(26%)
minecraft.crafted.flint_and_steel: #1, 98(22%)
minecraft.picked_up.birch_sapling: #2, 4127(25%)
minecraft.mined.fire_coral_fan: #1, 432(63%)
minecraft.used.birch_door: #1, 57(30%)
minecraft.mined.horn_coral: #1, 407(63%)
minecraft.picked_up.written_book: #1, 390(20%)
minecraft.used.salmon: #1, 50(56%)
minecraft.used.granite: #1, 2689(21%)
minecraft.picked_up.fire_coral_block: #1, 2612(45%)
minecraft.mined.purple_terracotta: #1, 477(55%)
minecraft.picked_up.red_carpet: #1, 932(26%)
minecraft.crafted.gray_stained_glass: #1, 23184(33%)
minecraft.used.bricks: #1, 9154(35%)
minecraft.crafted.fermented_spider_eye: #1, 172(31%)
minecraft.crafted.brick_slab: #1, 4285(55%)
minecraft.mined.shulker_box: #1, 7830(20%)
minecraft.picked_up.cyan_glazed_terracotta: #1, 1940(98%)
minecraft.crafted.polished_andesite: #1, 17888(22%)
minecraft.mined.soul_sand: #1, 9666(21%)
minecraft.used.brown_carpet: #1, 1639(33%)
minecraft.picked_up.black_concrete_powder: #1, 21909(27%)
minecraft.picked_up.pumpkin_seeds: #1, 8245(23%)
minecraft.crafted.acacia_planks: #1, 15278(22%)
minecraft.custom.sneak_time: #2, 8980272(11%)
minecraft.used.wet_sponge: #1, 65(44%)
minecraft.mined.cobblestone_wall: #1, 737(20%)
minecraft.mined.lapis_block: #1, 207(35%)
minecraft.used.brain_coral: #1, 97(40%)
minecraft.custom.open_chest: #1, 92551(12%)
minecraft.dropped.acacia_trapdoor: #1, 89(61%)
minecraft.picked_up.rail: #1, 13115(21%)
minecraft.used.fire_coral_fan: #1, 351(40%)
minecraft.dropped.stripped_acacia_log: #1, 24(53%)
minecraft.used.shulker_box: #1, 7785(20%)
minecraft.dropped.coarse_dirt: #1, 568(32%)
minecraft.crafted.bricks: #1, 21284(43%)
minecraft.mined.bricks: #1, 1705(32%)
minecraft.picked_up.light_gray_glazed_terracotta: #1, 1528(53%)
minecraft.mined.birch_log: #2, 14058(24%)
minecraft.picked_up.obsidian: #1, 6982(19%)
minecraft.mined.dead_bubble_coral_block: #1, 414(68%)
minecraft.used.scaffolding: #1, 25466(23%)
minecraft.killed.ravager: #1, 29(40%)
minecraft.crafted.green_shulker_box: #1, 53(30%)
minecraft.picked_up.bricks: #1, 2163(32%)
minecraft.picked_up.dead_bubble_coral_block: #1, 404(59%)
minecraft.picked_up.cake: #1, 60(39%)
minecraft.mined.jungle_leaves: #1, 5274(22%)
minecraft.crafted.wheat: #1, 8668(43%)
minecraft.picked_up.shulker_box: #1, 7952(20%)
minecraft.picked_up.brick_stairs: #1, 468(39%)
minecraft.picked_up.dark_oak_button: #1, 94(39%)
minecraft.crafted.blue_bed: #1, 54(59%)
minecraft.crafted.blue_banner: #1, 302(78%)
minecraft.picked_up.grass: #1, 611(22%)
minecraft.used.bubble_coral_fan: #1, 313(36%)
minecraft.mined.pink_tulip: #1, 129(26%)
minecraft.dropped.player_head: #1, 453(19%)
minecraft.crafted.iron_bars: #1, 6656(19%)
minecraft.mined.dead_horn_coral_block: #1, 270(58%)
minecraft.mined.dead_tube_coral_block: #1, 279(46%)
minecraft.picked_up.dead_brain_coral_fan: #1, 269(58%)
minecraft.used.orange_bed: #1, 44(46%)
minecraft.used.jungle_button: #1, 189(46%)
minecraft.crafted.map: #2, 662(31%)
minecraft.crafted.spectral_arrow: #1, 5546(92%)
minecraft.crafted.melon: #1, 54688(42%)
minecraft.picked_up.scaffolding: #1, 23735(22%)
minecraft.mined.brick_stairs: #1, 406(38%)
minecraft.custom.bell_ring: #1, 500(31%)
minecraft.mined.spruce_stairs: #1, 1512(18%)
minecraft.crafted.jungle_fence: #1, 852(38%)
minecraft.picked_up.brick_wall: #1, 365(91%)
minecraft.dropped.light_blue_wool: #1, 75(51%)
minecraft.used.bookshelf: #2, 2047(23%)
minecraft.picked_up.blue_glazed_terracotta: #1, 1733(91%)
minecraft.used.cyan_glazed_terracotta: #1, 516(91%)
minecraft.picked_up.glass: #2, 58236(23%)
minecraft.used.enchanting_table: #1, 27(24%)
minecraft.crafted.writable_book: #1, 159(21%)
minecraft.picked_up.oak_sign: #1, 1692(18%)
minecraft.crafted.gray_shulker_box: #1, 68(27%)
minecraft.mined.acacia_fence_gate: #1, 86(75%)
minecraft.crafted.sandstone_wall: #1, 2310(90%)
minecraft.crafted.firework_star: #1, 4946(38%)
minecraft.used.light_blue_wool: #1, 1056(27%)
minecraft.mined.brick_wall: #1, 327(90%)
minecraft.dropped.jungle_fence: #1, 75(75%)
minecraft.used.brick_stairs: #1, 1578(41%)
minecraft.crafted.apple: #1, 648(41%)
minecraft.used.diamond_axe: #2, 222652(20%)
minecraft.custom.talked_to_villager: #2, 12220(20%)
minecraft.crafted.glass_bottle: #1, 1155(21%)
minecraft.picked_up.purple_terracotta: #1, 462(50%)
minecraft.picked_up.dead_fire_coral_fan: #1, 307(50%)
minecraft.used.cod: #1, 188(32%)
minecraft.picked_up.jungle_fence: #2, 200(32%)
minecraft.custom.inspect_dispenser: #1, 3758(19%)
minecraft.mined.iron_trapdoor: #2, 1762(26%)
minecraft.used.sticky_piston: #1, 2607(19%)
minecraft.used.totem_of_undying: #1, 40(26%)
minecraft.crafted.jukebox: #1, 25(40%)
minecraft.picked_up.acacia_fence_gate: #1, 85(74%)
minecraft.picked_up.green_concrete_powder: #1, 1163(30%)
minecraft.picked_up.polished_granite: #1, 1758(23%)
minecraft.used.brick_wall: #1, 1066(88%)
minecraft.mined.green_wool: #1, 208(55%)
minecraft.used.white_glazed_terracotta: #1, 440(63%)
minecraft.picked_up.pink_glazed_terracotta: #1, 2174(88%)
minecraft.used.coal_ore: #1, 5605(20%)
minecraft.used.blue_banner: #1, 102(44%)
minecraft.custom.jump: #2, 1116833(12%)
minecraft.crafted.pink_shulker_box: #1, 33(34%)
minecraft.picked_up.lime_carpet: #1, 287(31%)
minecraft.mined.brown_carpet: #1, 251(29%)
minecraft.dropped.lime_shulker_box: #1, 58(72%)
minecraft.crafted.jungle_trapdoor: #1, 1788(43%)
minecraft.mined.stripped_jungle_wood: #1, 175(87%)
minecraft.mined.stone_brick_wall: #1, 418(29%)
minecraft.mined.bubble_coral_fan: #1, 392(62%)
minecraft.picked_up.spruce_pressure_plate: #1, 98(25%)
minecraft.picked_up.writable_book: #1, 116(22%)
minecraft.dropped.dark_prismarine_slab: #1, 53(62%)
minecraft.crafted.light_gray_terracotta: #1, 864(48%)
minecraft.mined.fern: #1, 538(20%)
minecraft.picked_up.shield: #2, 98(25%)
minecraft.picked_up.stripped_jungle_wood: #1, 163(86%)
minecraft.picked_up.red_shulker_box: #1, 1727(19%)
