stat, rank, value, (percentage) 
minecraft.crafted.stone_hoe: #9, 4(3%)
minecraft.broken.stone_pickaxe: #9, 3(3%)
minecraft.used.cooked_chicken: #9, 299(2%)
minecraft.mined.sandstone: #9, 6099(3%)
minecraft.crafted.sandstone_stairs: #9, 384(4%)
minecraft.mined.birch_trapdoor: #9, 24(3%)
minecraft.picked_up.diamond_horse_armor: #9, 1(6%)
minecraft.crafted.charcoal: #9, 69(2%)
minecraft.crafted.purple_dye: #9, 232(3%)
minecraft.picked_up.iron_horse_armor: #9, 1(5%)
minecraft.picked_up.chiseled_stone_bricks: #9, 56(3%)
minecraft.picked_up.sandstone_slab: #9, 258(2%)
minecraft.dropped.coal_block: #9, 29(4%)
