stat, rank, value, (percentage) 
minecraft.custom.interact_with_furnace: #2, 11140(14%)
minecraft.used.dark_oak_slab: #2, 6740(18%)
minecraft.crafted.dark_prismarine: #2, 7661(25%)
minecraft.dropped.mossy_cobblestone_stairs: #1, 65(90%)
minecraft.picked_up.oak_pressure_plate: #2, 82(19%)
minecraft.crafted.dark_prismarine_slab: #2, 6998(34%)
minecraft.mined.white_tulip: #2, 182(23%)
minecraft.used.mossy_cobblestone: #2, 701(22%)
minecraft.picked_up.beetroot_soup: #1, 26(90%)
minecraft.picked_up.red_mushroom: #2, 529(17%)
minecraft.picked_up.lily_of_the_valley: #1, 42(27%)
minecraft.crafted.dark_oak_planks: #2, 28948(15%)
minecraft.mined.yellow_stained_glass: #2, 272(19%)
minecraft.crafted.melon_seeds: #2, 1309(36%)
minecraft.crafted.jungle_planks: #3, 16246(18%)
minecraft.dropped.andesite_stairs: #1, 66(44%)
minecraft.mined.stripped_birch_log: #2, 1481(19%)
minecraft.used.yellow_concrete: #2, 3063(23%)
minecraft.dropped.lily_of_the_valley: #1, 13(65%)
minecraft.picked_up.oak_trapdoor: #2, 586(16%)
minecraft.dropped.white_concrete: #2, 1748(20%)
minecraft.dropped.light_blue_concrete: #1, 231(32%)
minecraft.crafted.black_shulker_box: #1, 26(18%)
minecraft.dropped.purple_stained_glass: #1, 1198(32%)
minecraft.dropped.dark_oak_trapdoor: #2, 82(29%)
minecraft.picked_up.lapis_block: #2, 468(19%)
minecraft.picked_up.stripped_birch_log: #2, 1495(19%)
minecraft.mined.birch_leaves: #2, 3592(14%)
minecraft.used.mossy_stone_brick_wall: #1, 142(50%)
minecraft.dropped.comparator: #2, 228(29%)
minecraft.dropped.pink_carpet: #1, 15(83%)
minecraft.crafted.spruce_pressure_plate: #2, 87(18%)
minecraft.dropped.jungle_leaves: #2, 395(27%)
minecraft.dropped.red_wool: #2, 133(23%)
minecraft.mined.pink_carpet: #2, 75(43%)
minecraft.dropped.cookie: #2, 778(23%)
minecraft.mined.white_concrete: #2, 55321(14%)
minecraft.mined.quartz_pillar: #2, 718(18%)
minecraft.crafted.white_stained_glass_pane: #2, 5864(17%)
minecraft.dropped.coarse_dirt: #2, 406(23%)
minecraft.used.pink_carpet: #2, 283(31%)
minecraft.picked_up.jungle_sapling: #2, 584(15%)
minecraft.dropped.light_gray_concrete: #2, 280(24%)
minecraft.picked_up.pink_stained_glass: #2, 1735(42%)
minecraft.crafted.dark_oak_slab: #2, 6360(15%)
minecraft.used.quartz_slab: #2, 8513(15%)
minecraft.picked_up.jungle_trapdoor: #2, 355(24%)
minecraft.used.birch_wood: #1, 408(26%)
minecraft.crafted.stone_slab: #2, 4860(14%)
minecraft.mined.potted_blue_orchid: #1, 4(57%)
minecraft.picked_up.coal: #2, 47528(13%)
minecraft.dropped.cooked_chicken: #2, 606(19%)
minecraft.dropped.dark_oak_slab: #2, 370(23%)
minecraft.picked_up.mossy_cobblestone_wall: #2, 37(33%)
minecraft.crafted.mossy_stone_brick_wall: #1, 90(45%)
minecraft.dropped.dark_oak_leaves: #2, 173(25%)
minecraft.mined.oak_pressure_plate: #2, 40(18%)
minecraft.used.white_concrete: #2, 51876(14%)
minecraft.picked_up.pink_carpet: #2, 99(40%)
minecraft.mined.white_stained_glass_pane: #2, 964(16%)
minecraft.crafted.wooden_axe: #1, 5(15%)
minecraft.crafted.chiseled_stone_bricks: #2, 2867(21%)
minecraft.dropped.smooth_quartz: #1, 70(31%)
minecraft.used.diamond_axe: #3, 169240(15%)
minecraft.mined.oak_leaves: #2, 17722(10%)
minecraft.crafted.mossy_stone_brick_stairs: #1, 480(54%)
minecraft.picked_up.lime_concrete_powder: #2, 529(24%)
minecraft.dropped.crafting_table: #2, 78(17%)
minecraft.picked_up.andesite: #2, 40942(12%)
minecraft.crafted.quartz_stairs: #2, 2960(14%)
minecraft.picked_up.birch_log: #3, 11515(17%)
minecraft.dropped.bone_meal: #2, 1410(14%)
minecraft.dropped.green_concrete: #1, 41(36%)
minecraft.mined.oak_stairs: #2, 560(14%)
minecraft.crafted.packed_ice: #2, 3623(22%)
minecraft.mined.spruce_pressure_plate: #2, 35(19%)
minecraft.custom.boat_one_cm: #2, 76393696(12%)
minecraft.custom.walk_under_water_one_cm: #3, 40659899(8%)
minecraft.picked_up.mossy_stone_brick_wall: #1, 30(53%)
minecraft.picked_up.jungle_log: #3, 10847(16%)
minecraft.mined.spruce_button: #2, 49(18%)
minecraft.used.blue_orchid: #2, 29(39%)
minecraft.dropped.lapis_lazuli: #2, 547(16%)
minecraft.crafted.spruce_trapdoor: #2, 3234(13%)
minecraft.dropped.diorite_slab: #1, 18(69%)
minecraft.used.red_nether_brick_stairs: #1, 491(69%)
minecraft.used.lantern: #2, 1365(15%)
minecraft.dropped.spruce_planks: #2, 732(15%)
minecraft.picked_up.granite: #2, 32426(12%)
minecraft.mined.jungle_log: #3, 10314(17%)
minecraft.picked_up.vine: #2, 2617(15%)
minecraft.dropped.light_blue_stained_glass: #2, 109(25%)
minecraft.dropped.torch: #2, 1531(13%)
minecraft.picked_up.birch_door: #2, 32(18%)
minecraft.picked_up.oak_log: #3, 19900(13%)
minecraft.dropped.damaged_anvil: #1, 3(33%)
minecraft.picked_up.green_carpet: #2, 116(20%)
minecraft.dropped.dark_prismarine_stairs: #1, 377(99%)
minecraft.used.spruce_planks: #2, 6861(11%)
minecraft.used.dark_oak_leaves: #2, 768(19%)
minecraft.crafted.birch_wood: #1, 408(22%)
minecraft.dropped.pink_stained_glass: #1, 1341(66%)
minecraft.dropped.red_nether_bricks: #1, 13(65%)
minecraft.dropped.nether_wart_block: #1, 78(98%)
minecraft.crafted.spruce_button: #2, 229(16%)
minecraft.picked_up.red_carpet: #2, 554(15%)
minecraft.picked_up.stone_bricks: #2, 18409(11%)
minecraft.mined.stone: #2, 551251(10%)
minecraft.picked_up.item_frame: #2, 851(13%)
minecraft.mined.oak_log: #3, 18040(13%)
minecraft.mined.spruce_wood: #2, 261(17%)
minecraft.crafted.baked_potato: #2, 1838(14%)
minecraft.crafted.red_stained_glass_pane: #2, 1360(19%)
