stat, rank, value, (percentage) 
minecraft.picked_up.yellow_stained_glass: #4, 332(9%)
minecraft.picked_up.stripped_jungle_log: #3, 108(5%)
minecraft.picked_up.bamboo: #4, 7708(9%)
minecraft.used.diorite_slab: #3, 37(15%)
minecraft.crafted.observer: #4, 1300(8%)
minecraft.picked_up.fermented_spider_eye: #3, 4(7%)
minecraft.used.sticky_piston: #5, 1506(11%)
minecraft.dropped.smooth_sandstone: #3, 128(5%)
minecraft.used.acacia_sapling: #4, 797(10%)
minecraft.used.stone_brick_stairs: #4, 4100(7%)
minecraft.dropped.leather_boots: #4, 33(7%)
minecraft.mined.hopper: #5, 1289(11%)
minecraft.picked_up.jungle_fence: #4, 55(9%)
minecraft.used.brick_slab: #3, 351(4%)
minecraft.killed.ghast: #4, 159(8%)
minecraft.mined.shulker_box: #4, 2365(6%)
minecraft.used.smooth_sandstone: #4, 5893(9%)
minecraft.dropped.dropper: #3, 29(5%)
minecraft.dropped.bone: #4, 1257(6%)
minecraft.crafted.birch_slab: #4, 3156(8%)
minecraft.used.diamond_hoe: #4, 2761(14%)
minecraft.picked_up.jack_o_lantern: #4, 78(9%)
minecraft.crafted.birch_stairs: #4, 992(8%)
minecraft.used.nether_bricks: #4, 2248(8%)
minecraft.picked_up.bone: #4, 3783(5%)
minecraft.custom.damage_dealt: #5, 1436207(6%)
minecraft.used.note_block: #5, 364(11%)
minecraft.custom.inspect_dispenser: #5, 1971(10%)
minecraft.crafted.quartz_pillar: #4, 1303(7%)
minecraft.used.composter: #4, 71(7%)
minecraft.crafted.polished_diorite_slab: #3, 126(5%)
minecraft.dropped.white_wool: #5, 192(12%)
minecraft.killed.shulker: #4, 533(9%)
minecraft.mined.jungle_pressure_plate: #3, 2(7%)
minecraft.mined.birch_slab: #4, 277(7%)
minecraft.used.oak_slab: #5, 2204(9%)
minecraft.crafted.bookshelf: #4, 618(6%)
minecraft.used.black_carpet: #5, 845(11%)
minecraft.crafted.white_banner: #4, 77(6%)
minecraft.mined.glass: #5, 2701(10%)
minecraft.picked_up.nether_brick: #3, 918(2%)
minecraft.dropped.birch_slab: #4, 64(12%)
minecraft.used.orange_terracotta: #4, 1207(6%)
minecraft.dropped.magenta_stained_glass: #3, 13(2%)
minecraft.crafted.black_banner: #4, 42(10%)
minecraft.crafted.polished_diorite: #4, 1192(7%)
minecraft.used.lime_banner: #4, 11(9%)
minecraft.mined.red_bed: #4, 42(8%)
minecraft.picked_up.oxeye_daisy: #4, 314(5%)
minecraft.used.jungle_planks: #4, 265(8%)
minecraft.picked_up.beetroot_soup: #3, 1(3%)
minecraft.dropped.light_blue_concrete: #4, 99(14%)
minecraft.used.birch_log: #5, 1645(10%)
minecraft.dropped.slime_ball: #4, 498(6%)
