Player Name,BadTimeWithScar,Biffa001,Biffa2001,Cub_Cam,Docm77,Etho,EvilXisuma,GoodTimeWithScar,ImpulseCam,Jessassin,Lechaion,Mumbo,MumboJumbo,PuddleduckGG,PythonGB,Renthedog,Tango,TangoCam,Tinfoilchef,VintageBeef,WFRTNews,WellsGlazes,WelsCam,Welsknight,Xisuma,ZombieCleo,cubfan135,falsesymmetry,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,monkeyfarm,truesymmetry,xBCrafted,xisumavoid,zueljin
stat.pickup.minecraft.iron_leggings,0,0,8,0,16,11,0,25,0,1,0,1,6,0,11,36,17,0,2,5,0,1,0,21,22,12,14,28,0,6,20,0,37,10,0,0,0,1,1
stat.pickup.minecraft.iron_nugget,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,398,0,0,0,0,0,0
stat.pickup.minecraft.iron_ore,0,0,921,0,992,1894,0,9973,0,260,0,643,1539,0,1354,5583,1592,0,15334,330,0,0,0,4935,6125,1148,3088,6351,25,3274,1768,0,7041,1186,0,0,332,0,102
stat.pickup.minecraft.iron_pickaxe,0,0,5,0,0,3,0,25,0,4,0,1,0,0,4,18,9,0,0,0,0,1,0,11,8,7,7,8,0,1,4,0,6,11,0,0,0,0,1
stat.pickup.minecraft.iron_shovel,0,0,7,0,8,10,0,34,0,1,0,2,4,0,5,35,19,0,10,1,0,0,0,22,10,4,20,15,0,7,6,0,15,10,0,0,0,0,0
stat.pickup.minecraft.iron_sword,0,0,5,0,1,2,0,46,0,4,0,0,2,0,6,36,23,0,9,0,0,1,0,24,21,2,9,22,0,7,7,0,24,8,0,0,0,0,1
stat.pickup.minecraft.iron_trapdoor,0,0,0,0,10,12,0,127,0,0,0,8,3,0,14,10,235,0,15,93,0,0,0,5,56,0,237,235,0,0,250,0,243,6,0,0,0,0,0
stat.pickup.minecraft.item_frame,0,0,87,0,2,0,0,305,0,0,0,1,79,0,185,324,115,0,101,16,0,0,0,53,210,67,389,551,0,125,108,0,273,38,0,0,0,0,0
stat.pickup.minecraft.jukebox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
stat.pickup.minecraft.jungle_boat,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,2,0,13,23,0,0,10,0,0,0,0,0,0,0,0
stat.pickup.minecraft.jungle_door,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,1,7,0,0,0,0,0,0,9,0,0,0,0,0
stat.pickup.minecraft.jungle_fence,0,0,0,0,0,0,0,37,0,0,0,0,1,0,110,222,12,0,0,24,0,0,0,11,241,50,223,15,0,0,0,0,19,0,0,0,0,0,0
stat.pickup.minecraft.jungle_fence_gate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,6,0,0,0,0,0,4,156,0,0,0,0,0,0,5,0,0,0,0,0
stat.pickup.minecraft.jungle_stairs,0,0,0,0,0,0,0,23,0,0,0,0,0,0,73,21,8,0,0,0,0,0,0,146,43,0,501,0,0,0,0,0,34,19,0,0,0,0,0
stat.pickup.minecraft.ladder,0,0,282,0,454,393,0,281,0,7,0,19,206,0,174,913,876,0,169,217,0,0,0,392,5089,81,1361,4520,0,210,1206,0,935,650,0,0,5,2,0
stat.pickup.minecraft.lapis_block,0,0,192,0,0,28,0,27,0,0,0,0,1,0,10,179,28,0,154,0,0,0,0,78,274,97,43,587,0,0,0,0,105,62,0,0,0,0,0
