Player Name,BadTimeWithScar,BdoubleO100,CamM77,Cub_Cam,Docm77,Etho,EvilXisuma,Firecracker1195,GIGACAM,GeminiTay,GoodTimeWithScar,Grian,HBomb94,HumanCleo,HypnotizdCam,ImpulseCam,InTheLittleWood,Jessassin,Kamalis1,KarinSurfing,Keralis1,LDShadowLady,Maescool,Minerva246,Mumbo,MumboDrone,MumboJumbo,MythicalSausage,OrionSound,PearlescentMoo,PearlescentMoon,Pixlriffs,RentheKing,Renthedog,STEAKFG,ShubbleYT,Skizzleman,Smajor1995,Smallishbeans,SolidarityGaming,Stressmonster101,Stressmonsterin,Tango,TangoCam,Tinfoilchef,TwoMuchGrian,VintageBeef,Watcher_Grian,WelsCam,Welsknight,Xisuma,ZedCam,Zedaph,ZombieCleo,_Jevination_,cubfan135,fWhip,falsesymmetry,gnembon,hypnotizd,iJevin,impulseSV,isGall85,iskall85,joehillssays,joehillssees,kingbdogz,slicedlime,truesymmetry,xBCam,xBCrafted,xisumavoid
minecraft.picked_up.purple_candle,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,12,33,0,0,0,0,0,0,0,0,0,49,0
minecraft.picked_up.purple_carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7499,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,3737,0,0,0,0,0,3,0,0,196,0,102,0,0,0,17,0,0,3047,0,0,0,0,0,0,0
minecraft.picked_up.purple_concrete,0,0,0,0,401,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,239,0,0,0,0,0,126,0,0,65,0,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,124,0,2,9,0,382,0,1514,0,0,2910,1616,0,0,0,0,0,0,0,0,3,0
minecraft.picked_up.purple_concrete_powder,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,211,0,2,0,0,23,0,131,0,0,8,2,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.purple_dye,0,0,0,0,0,4,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,7,0,0,7,0,45,0,128,67,16,0,0,3,0,0,0,0,0,0,0
minecraft.picked_up.purple_glazed_terracotta,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,32,0,392,0,0,0,3,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.purple_shulker_box,0,96,0,0,3,74,0,0,0,59,7,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,143,0,38,76,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,164,0,2,24,0,188,0,38,0,0,85,5,0,3,181,0,0,0,0,0,83,0
minecraft.picked_up.purple_stained_glass,0,0,0,0,0,9,0,0,0,0,10,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,4,0,0,0,0,0,0,0,78,0,250,0,0,0,0,0,0,0,69,0,20,31,0,65,0,170,0,0,962,703,0,2,195,0,0,0,0,0,0,0
minecraft.picked_up.purple_stained_glass_pane,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,38,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,17,0,48,0,0,0,0,0,0,0,3,0,32,2,0,100,0,84,0,0,4,21,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.purple_terracotta,0,207,0,0,14,85,0,0,0,28,21,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,0,0,0,0,0,0,0,0,0,691,0,9,0,0,0,989,0,0,0,0,0,7,0,0,6,0,171,0,0,0,306,0,0,2,0,0,0,0,0,0,0
minecraft.picked_up.purple_wool,0,0,0,0,275,0,0,0,0,65,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,4,0,0,0,0,0,0,1,0,1383,0,0,0,166,0,0,0,9,0,2,0,0,76,0,667,0,0,770,32,0,0,0,0,0,0,0,0,0,0
minecraft.picked_up.purpur_block,0,0,0,0,14,144,0,0,0,13,164,11,0,0,0,0,0,0,0,0,108,0,0,2,0,0,0,0,0,0,1780,0,0,453,0,0,0,0,0,0,0,0,184,0,0,0,66,0,0,0,53,0,52,36,0,158,0,254,0,49,465,323,0,12,0,0,0,0,0,0,92,0
