stat, rank, value, (percentage) 
minecraft.mined.cut_sandstone_slab: #1, 193(49%)
minecraft.picked_up.glow_lichen: #2, 7647(14%)
minecraft.used.white_glazed_terracotta: #1, 83(48%)
minecraft.mined.lime_wool: #2, 351(20%)
minecraft.crafted.light_gray_stained_glass_pane: #2, 1840(20%)
minecraft.picked_up.fire_coral_block: #2, 743(22%)
minecraft.mined.mangrove_sign: #1, 6(21%)
minecraft.mined.bamboo_sapling: #2, 41(15%)
minecraft.used.jungle_slab: #2, 1110(16%)
minecraft.mined.light_blue_wool: #2, 234(20%)
minecraft.crafted.waxed_exposed_copper: #1, 260(26%)
minecraft.picked_up.stone_brick_wall: #2, 215(21%)
minecraft.used.magenta_concrete_powder: #2, 2382(25%)
minecraft.mined.orange_tulip: #2, 241(16%)
minecraft.used.spruce_log: #2, 5781(13%)
minecraft.mined.lodestone: #1, 88(46%)
minecraft.mined.dark_oak_planks: #2, 539(14%)
minecraft.picked_up.soul_lantern: #2, 349(22%)
minecraft.picked_up.fermented_spider_eye: #1, 32(46%)
minecraft.mined.potted_oak_sapling: #1, 4(57%)
minecraft.used.oak_pressure_plate: #2, 31(21%)
minecraft.picked_up.crimson_trapdoor: #2, 119(25%)
minecraft.used.bamboo_stairs: #2, 523(18%)
minecraft.dropped.crimson_fence: #1, 5(45%)
minecraft.mined.piston: #2, 570(13%)
minecraft.used.smooth_quartz_slab: #2, 1664(15%)
minecraft.crafted.copper_ingot: #2, 19960(13%)
minecraft.used.soul_lantern: #2, 386(19%)
minecraft.used.smooth_quartz_stairs: #2, 865(14%)
minecraft.used.pale_oak_pressure_plate: #1, 20(44%)
minecraft.mined.acacia_hanging_sign: #1, 8(44%)
minecraft.used.spruce_sapling: #2, 4889(13%)
minecraft.dropped.purple_wool: #2, 66(27%)
minecraft.used.white_wool: #2, 2392(13%)
minecraft.crafted.birch_stairs: #2, 536(20%)
minecraft.crafted.sandstone_wall: #1, 90(27%)
minecraft.crafted.light_blue_carpet: #2, 2751(24%)
minecraft.crafted.bone_meal: #2, 184698(13%)
minecraft.mined.warped_sign: #1, 9(31%)
minecraft.crafted.resin_brick: #1, 74(36%)
minecraft.picked_up.basalt: #2, 3833(13%)
minecraft.mined.cyan_bed: #2, 161(14%)
minecraft.mined.acacia_stairs: #2, 100(24%)
minecraft.mined.raw_copper_block: #2, 35(16%)
minecraft.used.oak_stairs: #3, 666(18%)
minecraft.picked_up.resin_brick: #1, 10(71%)
minecraft.picked_up.stick: #2, 15268(10%)
minecraft.dropped.glistering_melon_slice: #2, 73(22%)
minecraft.custom.interact_with_beacon: #2, 178(12%)
minecraft.used.shield: #2, 730(13%)
minecraft.dropped.polished_basalt: #2, 64(28%)
minecraft.picked_up.cyan_bed: #2, 162(13%)
minecraft.used.oxidized_copper_door: #1, 11(14%)
minecraft.dropped.gray_terracotta: #1, 78(52%)
minecraft.used.oak_button: #2, 94(14%)
minecraft.mined.polished_deepslate_slab: #2, 302(15%)
minecraft.picked_up.jungle_slab: #2, 327(14%)
minecraft.used.polished_andesite: #2, 2501(13%)
minecraft.dropped.mossy_cobblestone_stairs: #1, 24(69%)
minecraft.used.glowstone: #2, 1092(15%)
minecraft.broken.shears: #2, 92(14%)
minecraft.used.orange_wool: #2, 544(15%)
minecraft.mined.loom: #1, 19(10%)
minecraft.mined.white_tulip: #2, 218(15%)
minecraft.used.magenta_wool: #2, 258(25%)
minecraft.crafted.brick_wall: #2, 109(23%)
minecraft.used.clay: #2, 1197(14%)
minecraft.dropped.yellow_stained_glass_pane: #1, 65(40%)
minecraft.crafted.yellow_banner: #2, 103(23%)
minecraft.used.beacon: #2, 88(12%)
minecraft.crafted.polished_granite_stairs: #1, 44(25%)
minecraft.mined.potted_red_tulip: #1, 3(50%)
minecraft.mined.dead_horn_coral_wall_fan: #1, 6(50%)
minecraft.picked_up.written_book: #2, 69(12%)
minecraft.mined.lime_glazed_terracotta: #1, 20(49%)
minecraft.used.birch_sapling: #2, 2746(15%)
minecraft.mined.pale_oak_trapdoor: #2, 101(15%)
minecraft.picked_up.polished_diorite: #2, 185(13%)
minecraft.picked_up.lime_glazed_terracotta: #1, 73(48%)
minecraft.dropped.green_concrete: #2, 55(42%)
minecraft.mined.hopper: #2, 1213(12%)
minecraft.dropped.red_shulker_box: #2, 16(21%)
minecraft.used.nether_brick_stairs: #1, 40(27%)
minecraft.dropped.item_frame: #2, 71(17%)
minecraft.picked_up.blast_furnace: #2, 74(13%)
minecraft.dropped.lodestone: #1, 80(94%)
minecraft.used.painting: #2, 658(12%)
minecraft.picked_up.oak_log: #2, 13714(11%)
minecraft.used.armor_stand: #2, 668(11%)
