stat, rank, value, (percentage) 
minecraft.dropped.white_bed: #3, 14(10%)
minecraft.picked_up.waxed_exposed_copper_trapdoor: #3, 71(15%)
minecraft.mined.tuff_stairs: #3, 31(16%)
minecraft.picked_up.warped_roots: #3, 3059(9%)
minecraft.mined.cornflower: #3, 158(9%)
minecraft.picked_up.oak_stairs: #3, 299(9%)
minecraft.used.stone_pressure_plate: #3, 302(10%)
minecraft.picked_up.grass_block: #3, 100149(8%)
minecraft.mined.waxed_exposed_copper_trapdoor: #3, 71(16%)
minecraft.mined.oak_fence: #3, 353(9%)
minecraft.used.light_gray_glazed_terracotta: #2, 134(15%)
minecraft.picked_up.cyan_shulker_box: #4, 501(10%)
minecraft.crafted.gray_glazed_terracotta: #2, 12(26%)
minecraft.picked_up.prismarine_brick_stairs: #2, 182(14%)
minecraft.crafted.exposed_copper_bulb: #2, 4(50%)
minecraft.mined.light_gray_candle: #2, 1(25%)
minecraft.used.waxed_exposed_copper_door: #2, 2(25%)
minecraft.crafted.small_dripleaf: #2, 20(17%)
minecraft.dropped.music_disc_5: #2, 1(33%)
minecraft.crafted.green_harness: #2, 1(33%)
minecraft.picked_up.beef: #4, 3683(12%)
minecraft.mined.cyan_shulker_box: #4, 501(10%)
minecraft.crafted.stone_pressure_plate: #3, 295(9%)
minecraft.picked_up.birch_hanging_sign: #3, 15(22%)
minecraft.dropped.polished_blackstone_stairs: #2, 32(24%)
minecraft.used.cherry_button: #2, 4(24%)
minecraft.dropped.scaffolding: #3, 810(8%)
minecraft.picked_up.leather_boots: #3, 42(6%)
minecraft.used.dead_brain_coral: #2, 9(23%)
minecraft.mined.red_banner: #2, 3(23%)
minecraft.used.pale_oak_slab: #3, 273(12%)
minecraft.mined.stripped_cherry_log: #3, 231(11%)
minecraft.dropped.wind_charge: #3, 550(10%)
minecraft.mined.oak_sapling: #3, 43(9%)
minecraft.dropped.polished_deepslate_slab: #3, 108(17%)
minecraft.dropped.oxidized_cut_copper_slab: #2, 2(29%)
minecraft.picked_up.stripped_cherry_log: #3, 231(10%)
minecraft.dropped.stonecutter: #3, 10(15%)
minecraft.crafted.chainmail_helmet: #2, 5(42%)
minecraft.used.andesite_slab: #4, 1206(12%)
minecraft.dropped.birch_planks: #2, 149(4%)
minecraft.mined.mossy_cobblestone_slab: #3, 19(11%)
minecraft.used.dead_brain_coral_block: #3, 116(14%)
minecraft.mined.prismarine_bricks: #2, 831(5%)
minecraft.crafted.waxed_exposed_copper_door: #2, 2(40%)
minecraft.crafted.gray_bundle: #2, 2(40%)
minecraft.dropped.podzol: #3, 148(13%)
minecraft.used.warped_sign: #3, 96(11%)
minecraft.dropped.spruce_fence: #3, 84(11%)
minecraft.crafted.dark_oak_button: #2, 130(4%)
minecraft.mined.jungle_wall_hanging_sign: #2, 3(13%)
minecraft.used.dark_oak_button: #2, 131(4%)
minecraft.broken.wooden_sword: #2, 3(38%)
minecraft.crafted.green_bundle: #2, 1(25%)
minecraft.dropped.andesite_wall: #3, 48(19%)
minecraft.used.cyan_shulker_box: #4, 501(10%)
minecraft.mined.dead_brain_coral: #2, 9(18%)
minecraft.mined.diorite_stairs: #3, 28(16%)
minecraft.picked_up.nether_wart: #4, 4964(11%)
minecraft.crafted.green_terracotta: #3, 1392(8%)
minecraft.used.spruce_fence_gate: #3, 417(7%)
minecraft.mined.green_terracotta: #3, 135(9%)
minecraft.crafted.light_gray_candle: #2, 102(14%)
minecraft.used.gray_stained_glass: #3, 1278(10%)
minecraft.picked_up.bamboo_mosaic_stairs: #2, 14(11%)
minecraft.picked_up.blue_shulker_box: #3, 523(8%)
minecraft.mined.prismarine_stairs: #2, 17(22%)
minecraft.mined.acacia_sapling: #3, 68(11%)
minecraft.crafted.cyan_bundle: #2, 1(33%)
minecraft.used.black_stained_glass: #3, 3418(7%)
minecraft.dropped.honeycomb: #3, 1161(11%)
minecraft.picked_up.gray_stained_glass: #3, 137(10%)
minecraft.mined.warped_wart_block: #3, 1830(8%)
minecraft.mined.prismarine_brick_stairs: #2, 130(11%)
minecraft.crafted.diorite_slab: #3, 252(13%)
minecraft.used.waxed_weathered_copper_door: #2, 12(31%)
minecraft.mined.blue_shulker_box: #3, 522(8%)
minecraft.picked_up.dead_brain_coral: #2, 9(15%)
minecraft.picked_up.green_harness: #2, 2(20%)
