stat, rank, value, (percentage) 
minecraft.used.mud_brick_stairs: #4, 264(16%)
minecraft.mined.pale_oak_wood: #3, 36(18%)
minecraft.used.cooked_chicken: #4, 705(9%)
minecraft.used.tropical_fish: #3, 6(18%)
minecraft.used.bamboo_door: #3, 43(11%)
minecraft.picked_up.cobweb: #3, 640(8%)
minecraft.mined.cave_vines: #4, 91(11%)
minecraft.mined.cake: #2, 1(20%)
minecraft.mined.iron_door: #3, 51(7%)
minecraft.picked_up.soul_torch: #3, 64(13%)
minecraft.picked_up.netherite_ingot: #2, 3(9%)
minecraft.killed_by.creeper: #3, 9(8%)
minecraft.custom.player_kills: #4, 105(8%)
minecraft.picked_up.smooth_sandstone_stairs: #3, 84(12%)
minecraft.crafted.warped_stairs: #3, 220(9%)
minecraft.crafted.ward_armor_trim_smithing_template: #2, 6(17%)
minecraft.killed_by.piglin_brute: #3, 3(15%)
minecraft.mined.potted_pale_oak_sapling: #2, 1(17%)
minecraft.picked_up.orange_glazed_terracotta: #3, 34(15%)
minecraft.dropped.stone_slab: #4, 576(11%)
minecraft.picked_up.honey_bottle: #4, 199(12%)
minecraft.used.emerald_ore: #2, 17(5%)
minecraft.picked_up.warped_fence_gate: #3, 22(16%)
minecraft.crafted.blue_wool: #3, 84(10%)
minecraft.mined.sweet_berry_bush: #4, 145(12%)
minecraft.crafted.iron_sword: #4, 31(10%)
minecraft.crafted.moss_carpet: #3, 1896(7%)
minecraft.dropped.pale_oak_slab: #2, 7(15%)
minecraft.dropped.pink_wool: #2, 165(4%)
minecraft.picked_up.dark_oak_pressure_plate: #3, 22(14%)
minecraft.picked_up.oak_sign: #4, 169(9%)
minecraft.dropped.netherite_boots: #3, 5(9%)
minecraft.crafted.deepslate_brick_stairs: #2, 104(2%)
minecraft.dropped.yellow_wool: #3, 254(9%)
minecraft.picked_up.polished_blackstone_pressure_plate: #3, 25(13%)
minecraft.dropped.netherite_chestplate: #3, 4(17%)
minecraft.mined.warped_fence_gate: #3, 10(15%)
minecraft.mined.waxed_oxidized_copper_bulb: #3, 12(8%)
minecraft.crafted.lime_banner: #3, 143(19%)
minecraft.crafted.pink_dye: #4, 1400(9%)
minecraft.crafted.cherry_sign: #3, 12(10%)
minecraft.picked_up.polished_blackstone_bricks: #3, 487(7%)
minecraft.broken.golden_helmet: #3, 4(15%)
minecraft.mined.snow: #3, 35407(5%)
minecraft.used.calibrated_sculk_sensor: #3, 39(8%)
minecraft.dropped.iron_hoe: #3, 3(11%)
minecraft.crafted.wooden_axe: #3, 2(11%)
minecraft.picked_up.cooked_chicken: #4, 890(8%)
minecraft.used.quartz_slab: #3, 732(6%)
minecraft.dropped.diamond_block: #4, 160(9%)
minecraft.dropped.lime_bed: #2, 5(5%)
minecraft.mined.conduit: #3, 3(15%)
minecraft.mined.crimson_hyphae: #3, 13(13%)
minecraft.dropped.diamond_sword: #4, 22(9%)
minecraft.picked_up.light_weighted_pressure_plate: #3, 28(15%)
minecraft.crafted.acacia_pressure_plate: #3, 14(12%)
minecraft.dropped.stripped_cherry_log: #3, 6(19%)
minecraft.used.wooden_axe: #3, 49(10%)
minecraft.crafted.smooth_quartz: #3, 1263(6%)
minecraft.dropped.snow_block: #4, 407(13%)
minecraft.dropped.sweet_berries: #3, 216(7%)
minecraft.dropped.smooth_quartz: #3, 71(9%)
minecraft.used.cherry_fence: #3, 68(9%)
minecraft.dropped.cyan_wool: #2, 105(1%)
minecraft.picked_up.stick: #4, 10365(7%)
minecraft.picked_up.oak_fence_gate: #4, 41(10%)
minecraft.picked_up.mangrove_pressure_plate: #3, 7(14%)
minecraft.mined.potted_poppy: #3, 3(27%)
minecraft.dropped.cherry_stairs: #2, 1(3%)
minecraft.picked_up.cobbled_deepslate_stairs: #4, 194(9%)
minecraft.used.bowl: #3, 3(12%)
minecraft.killed_by.player: #5, 217(8%)
minecraft.mined.cherry_wood: #3, 5(18%)
minecraft.crafted.cherry_planks: #4, 3292(9%)
minecraft.dropped.calcite: #4, 173(11%)
minecraft.picked_up.cherry_leaves: #4, 2716(10%)
minecraft.picked_up.sweet_berries: #4, 1986(7%)
minecraft.killed.chicken: #4, 467(8%)
minecraft.picked_up.tuff_brick_slab: #4, 369(9%)
minecraft.dropped.nether_star: #3, 1(33%)
minecraft.picked_up.jungle_planks: #4, 518(8%)
minecraft.mined.dark_oak_door: #3, 7(9%)
minecraft.used.stripped_cherry_log: #3, 107(8%)
minecraft.used.air: #4, 3780(8%)
minecraft.crafted.deepslate_brick_slab: #3, 312(6%)
minecraft.picked_up.compass: #4, 132(9%)
minecraft.mined.smooth_sandstone_stairs: #4, 84(16%)
minecraft.crafted.field_masoned_banner_pattern: #3, 1(12%)
minecraft.picked_up.emerald_ore: #3, 25(4%)
minecraft.dropped.pale_oak_wood: #3, 16(17%)
minecraft.killed_by.bogged: #3, 1(17%)
minecraft.crafted.bucket: #4, 524(7%)
minecraft.crafted.skull_banner_pattern: #3, 1(20%)
minecraft.dropped.cooked_porkchop: #3, 357(3%)
minecraft.picked_up.iron_chestplate: #4, 18(7%)
minecraft.picked_up.piglin_banner_pattern: #3, 2(11%)
minecraft.crafted.brick_stairs: #4, 24(12%)
minecraft.mined.mangrove_button: #3, 2(10%)
minecraft.picked_up.cracked_deepslate_bricks: #3, 97(8%)
minecraft.picked_up.cookie: #4, 336(8%)
minecraft.picked_up.shield: #4, 29(7%)
minecraft.dropped.netherite_upgrade_smithing_template: #3, 2(6%)
minecraft.mined.glass_pane: #4, 91(7%)
minecraft.crafted.diamond_axe: #4, 9(7%)
minecraft.mined.polished_basalt: #4, 118(9%)
minecraft.picked_up.salmon_bucket: #3, 19(17%)
minecraft.picked_up.cactus: #4, 3146(7%)
minecraft.dropped.baked_potato: #4, 263(7%)
minecraft.mined.potted_red_tulip: #3, 1(17%)
minecraft.dropped.guster_pottery_sherd: #3, 3(9%)
minecraft.picked_up.breeze_rod: #4, 1221(9%)
minecraft.picked_up.dark_oak_trapdoor: #4, 227(7%)
minecraft.mined.pale_oak_door: #3, 4(9%)
minecraft.used.cooked_cod: #4, 377(7%)
minecraft.mined.polished_blackstone_brick_wall: #3, 3(15%)
minecraft.dropped.flow_pottery_sherd: #3, 3(7%)
minecraft.used.acacia_pressure_plate: #4, 14(18%)
minecraft.picked_up.pale_oak_stairs: #4, 39(12%)
minecraft.mined.potted_orange_tulip: #3, 1(14%)
minecraft.picked_up.brick_wall: #4, 23(13%)
minecraft.picked_up.egg: #4, 1315(5%)
minecraft.mined.mangrove_wall_sign: #4, 13(10%)
minecraft.crafted.blue_ice: #4, 473(10%)
minecraft.used.iron_door: #4, 55(6%)
minecraft.mined.bamboo_wall_hanging_sign: #3, 2(11%)
minecraft.used.ink_sac: #3, 1(17%)
minecraft.used.cod: #4, 19(8%)
minecraft.picked_up.pale_oak_door: #3, 4(5%)
minecraft.picked_up.mangrove_sign: #4, 29(8%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #3, 166(3%)
minecraft.used.shield: #4, 344(6%)
minecraft.dropped.cherry_fence: #3, 8(9%)
minecraft.picked_up.music_disc_otherside: #4, 19(9%)
minecraft.used.cod_bucket: #3, 2(9%)
minecraft.crafted.diamond_hoe: #4, 6(6%)
minecraft.mined.mangrove_door: #4, 6(9%)
minecraft.used.music_disc_pigstep: #3, 1(8%)
minecraft.used.oak_pressure_plate: #4, 13(9%)
minecraft.mined.player_wall_head: #4, 37(6%)
minecraft.picked_up.cherry_wood: #3, 5(5%)
minecraft.dropped.music_disc_ward: #3, 2(12%)
minecraft.crafted.globe_banner_pattern: #3, 1(7%)
minecraft.mined.mangrove_fence: #4, 80(8%)
minecraft.used.warped_stairs: #4, 222(8%)
minecraft.crafted.pink_wool: #4, 135(8%)
minecraft.crafted.experience_bottle: #3, 612(3%)
minecraft.used.cooked_salmon: #5, 418(10%)
minecraft.dropped.pink_petals: #4, 246(7%)
minecraft.dropped.honey_bottle: #4, 42(7%)
minecraft.mined.wither_rose: #3, 32(3%)
minecraft.used.melon: #5, 96(9%)
minecraft.used.bubble_coral: #3, 6(4%)
minecraft.picked_up.firework_rocket: #5, 9867(6%)
minecraft.picked_up.white_dye: #5, 344(9%)
minecraft.killed_by.husk: #3, 1(6%)
minecraft.used.cherry_leaves: #4, 608(7%)
minecraft.dropped.smooth_quartz_slab: #4, 32(12%)
minecraft.picked_up.fishing_rod: #5, 103(8%)
minecraft.dropped.powder_snow_bucket: #3, 2(3%)
minecraft.picked_up.raw_iron: #5, 5983(9%)
minecraft.crafted.cracked_deepslate_bricks: #3, 75(5%)
minecraft.mined.quartz_pillar: #4, 37(8%)
minecraft.used.pumpkin_pie: #3, 29(2%)
minecraft.picked_up.waxed_oxidized_copper_bulb: #4, 12(7%)
minecraft.killed.guardian: #4, 16(8%)
minecraft.used.orange_glazed_terracotta: #4, 26(12%)
minecraft.picked_up.deepslate_brick_slab: #4, 240(6%)
minecraft.mined.crying_obsidian: #4, 75(6%)
minecraft.picked_up.quartz_pillar: #4, 30(6%)
minecraft.used.orange_banner: #4, 20(6%)
minecraft.picked_up.black_wool: #4, 1368(4%)
minecraft.crafted.brick_slab: #4, 36(7%)
minecraft.dropped.waxed_oxidized_chiseled_copper: #4, 1(25%)
minecraft.dropped.wither_skeleton_skull: #4, 6(12%)
minecraft.crafted.flower_banner_pattern: #4, 1(11%)
minecraft.used.dark_oak_wood: #4, 588(5%)
minecraft.picked_up.smooth_quartz: #4, 555(4%)
minecraft.crafted.polished_blackstone_brick_slab: #4, 88(11%)
minecraft.used.polished_blackstone_pressure_plate: #4, 21(10%)
minecraft.dropped.golden_apple: #4, 12(6%)
minecraft.picked_up.calibrated_sculk_sensor: #5, 29(10%)
minecraft.mined.oak_fence_gate: #5, 23(9%)
