stat, rank, value, (percentage) 
minecraft.dropped.blue_terracotta: #1, 257(76%)
minecraft.crafted.crossbow: #1, 41(48%)
minecraft.picked_up.peony: #3, 1274(21%)
minecraft.used.gray_bed: #2, 369(37%)
minecraft.dropped.jukebox: #1, 18(47%)
minecraft.mined.lectern: #1, 980(17%)
minecraft.picked_up.cocoa_beans: #2, 7645(19%)
minecraft.picked_up.lectern: #1, 987(17%)
minecraft.dropped.magenta_shulker_box: #1, 12(75%)
minecraft.used.rail: #1, 8830(15%)
minecraft.mined.lever: #1, 420(15%)
minecraft.dropped.white_stained_glass: #1, 126(27%)
minecraft.dropped.cyan_carpet: #1, 23(46%)
minecraft.mined.moss_carpet: #1, 1249(15%)
minecraft.used.black_bed: #2, 197(27%)
minecraft.crafted.item_frame: #1, 1650(15%)
minecraft.crafted.deepslate_bricks: #2, 7384(26%)
minecraft.used.green_bed: #1, 174(30%)
minecraft.picked_up.flint: #1, 2788(15%)
minecraft.dropped.soul_soil: #2, 256(27%)
minecraft.crafted.copper_ingot: #1, 22191(14%)
minecraft.dropped.brewing_stand: #1, 9(36%)
minecraft.crafted.soul_torch: #1, 1216(24%)
minecraft.crafted.brown_dye: #2, 3705(23%)
minecraft.picked_up.polished_blackstone_pressure_plate: #1, 66(35%)
minecraft.crafted.red_stained_glass: #2, 5536(25%)
minecraft.mined.smooth_stone_slab: #2, 1724(19%)
minecraft.used.exposed_copper_grate: #1, 120(50%)
minecraft.picked_up.honey_bottle: #1, 281(17%)
minecraft.used.smooth_stone: #2, 24958(21%)
minecraft.dropped.flow_pottery_sherd: #1, 18(44%)
minecraft.mined.jungle_fence: #1, 126(21%)
minecraft.picked_up.yellow_stained_glass: #1, 347(29%)
minecraft.killed.endermite: #2, 48(22%)
minecraft.crafted.campfire: #2, 785(18%)
minecraft.crafted.mossy_cobblestone: #1, 2589(17%)
minecraft.crafted.lever: #1, 1008(13%)
minecraft.crafted.warped_stairs: #2, 652(26%)
minecraft.mined.note_block: #1, 267(14%)
minecraft.mined.potted_warped_roots: #1, 11(69%)
minecraft.picked_up.slime_ball: #2, 6322(18%)
minecraft.picked_up.brown_concrete: #2, 637(28%)
minecraft.crafted.light_blue_stained_glass: #2, 9152(26%)
minecraft.dropped.bone_meal: #2, 16100(17%)
minecraft.dropped.orange_shulker_box: #1, 15(48%)
minecraft.used.cooked_mutton: #2, 594(19%)
minecraft.dropped.shield: #1, 26(15%)
minecraft.crafted.polished_deepslate: #2, 7632(20%)
minecraft.dropped.cactus: #2, 5256(22%)
minecraft.dropped.stonecutter: #1, 18(28%)
minecraft.dropped.rail: #2, 566(20%)
minecraft.mined.green_glazed_terracotta: #1, 257(66%)
minecraft.dropped.target: #1, 112(47%)
minecraft.dropped.chest: #2, 1095(19%)
minecraft.dropped.sugar_cane: #2, 5309(19%)
minecraft.crafted.smithing_table: #2, 824(18%)
minecraft.mined.repeater: #2, 873(17%)
minecraft.dropped.stone: #2, 44877(16%)
minecraft.picked_up.mangrove_wood: #1, 131(22%)
minecraft.crafted.polished_blackstone_pressure_plate: #1, 53(33%)
minecraft.picked_up.green_glazed_terracotta: #1, 258(65%)
minecraft.mined.mud: #2, 43233(17%)
minecraft.picked_up.purple_bundle: #1, 7(54%)
minecraft.dropped.lime_terracotta: #1, 200(54%)
minecraft.picked_up.pufferfish_bucket: #1, 10(36%)
minecraft.used.wooden_hoe: #1, 278(46%)
minecraft.mined.magenta_terracotta: #2, 215(30%)
minecraft.mined.redstone_wall_torch: #2, 241(17%)
minecraft.used.lectern: #1, 996(14%)
minecraft.dropped.diamond_hoe: #1, 8(17%)
minecraft.picked_up.wooden_sword: #1, 67(19%)
minecraft.mined.gray_carpet: #2, 456(19%)
minecraft.used.hopper_minecart: #1, 123(13%)
minecraft.picked_up.iron_ingot: #2, 19572(17%)
minecraft.dropped.jungle_button: #1, 25(45%)
minecraft.used.dropper: #2, 1268(16%)
minecraft.picked_up.obsidian: #1, 2816(12%)
minecraft.crafted.raw_iron: #2, 2736(27%)
minecraft.dropped.obsidian: #1, 234(15%)
minecraft.picked_up.string: #2, 12679(14%)
minecraft.used.bucket: #1, 9465(11%)
minecraft.used.repeater: #2, 3476(16%)
minecraft.crafted.bell: #1, 63(44%)
minecraft.picked_up.shulker_box: #2, 11093(13%)
minecraft.picked_up.purple_terracotta: #2, 392(31%)
minecraft.used.pearlescent_froglight: #2, 5129(20%)
minecraft.picked_up.nether_wart: #2, 7332(17%)
minecraft.picked_up.dried_kelp: #1, 1485(19%)
minecraft.crafted.bucket: #2, 1160(16%)
minecraft.dropped.diorite: #1, 2356(12%)
minecraft.picked_up.red_shulker_box: #1, 1636(11%)
minecraft.dropped.cyan_stained_glass: #1, 114(98%)
minecraft.picked_up.twisting_vines: #2, 862(22%)
minecraft.crafted.lantern: #1, 939(12%)
minecraft.dropped.gray_bed: #1, 4(27%)
minecraft.picked_up.firework_rocket: #2, 17270(11%)
minecraft.dropped.lime_concrete_powder: #1, 643(97%)
minecraft.picked_up.blue_ice: #2, 1129(22%)
minecraft.dropped.purple_terracotta: #1, 178(97%)
minecraft.picked_up.wooden_shovel: #2, 39(30%)
minecraft.used.red_shulker_box: #1, 1629(11%)
minecraft.picked_up.brick_slab: #1, 39(22%)
minecraft.picked_up.white_dye: #2, 600(15%)
minecraft.picked_up.waxed_oxidized_copper_trapdoor: #1, 145(26%)
minecraft.mined.smooth_sandstone_stairs: #1, 128(24%)
minecraft.picked_up.dark_oak_trapdoor: #2, 533(15%)
minecraft.dropped.slime_ball: #2, 2410(18%)
minecraft.crafted.bone_block: #2, 9926(16%)
minecraft.dropped.smooth_stone_slab: #2, 794(19%)
minecraft.used.ender_pearl: #3, 2009(16%)
minecraft.dropped.light_blue_stained_glass_pane: #1, 34(57%)
minecraft.dropped.glowstone: #2, 983(27%)
minecraft.used.tadpole_bucket: #1, 69(70%)
minecraft.crafted.sticky_piston: #2, 1252(16%)
minecraft.dropped.diamond_block: #2, 273(16%)
minecraft.crafted.gray_stained_glass: #2, 4640(22%)
minecraft.crafted.torch: #1, 14210(11%)
minecraft.mined.mangrove_door: #1, 12(18%)
minecraft.mined.waxed_oxidized_copper_trapdoor: #1, 140(25%)
minecraft.used.shulker_box: #2, 9244(11%)
minecraft.dropped.glass_bottle: #2, 3300(13%)
minecraft.mined.polished_blackstone_pressure_plate: #1, 23(34%)
minecraft.picked_up.trident: #2, 78(18%)
minecraft.dropped.mycelium: #1, 41(91%)
minecraft.crafted.purple_dye: #2, 2630(18%)
minecraft.picked_up.calibrated_sculk_sensor: #2, 56(19%)
minecraft.picked_up.powered_rail: #2, 1893(15%)
minecraft.used.blue_terracotta: #2, 1988(25%)
minecraft.dropped.iron_leggings: #2, 26(16%)
minecraft.crafted.warped_slab: #2, 1601(21%)
minecraft.picked_up.mossy_stone_bricks: #2, 1141(16%)
minecraft.crafted.black_terracotta: #2, 4576(22%)
minecraft.mined.potted_dead_bush: #1, 6(22%)
minecraft.killed.ocelot: #1, 56(89%)
minecraft.dropped.polished_blackstone_pressure_plate: #1, 28(67%)
minecraft.crafted.anvil: #2, 788(15%)
minecraft.used.trial_key: #2, 155(17%)
minecraft.picked_up.green_stained_glass: #2, 299(21%)
minecraft.mined.dark_oak_trapdoor: #2, 330(15%)
minecraft.dropped.hopper: #2, 183(18%)
minecraft.dropped.white_wool: #2, 936(15%)
minecraft.mined.nether_wart: #2, 1626(15%)
minecraft.picked_up.smithing_table: #2, 87(16%)
minecraft.dropped.composter: #2, 40(26%)
minecraft.crafted.jukebox: #2, 44(16%)
minecraft.picked_up.poppy: #2, 6918(13%)
minecraft.killed.ravager: #1, 8(24%)
minecraft.picked_up.comparator: #2, 692(14%)
minecraft.crafted.gray_terracotta: #2, 1792(21%)
minecraft.picked_up.repeater: #2, 1361(14%)
minecraft.used.warped_stairs: #2, 592(22%)
minecraft.mined.dark_oak_leaves: #3, 7396(18%)
minecraft.killed.cat: #1, 24(36%)
minecraft.picked_up.gray_glazed_terracotta: #1, 43(42%)
minecraft.dropped.black_bed: #1, 5(42%)
minecraft.custom.drop: #2, 27704(9%)
minecraft.dropped.black_terracotta: #1, 93(49%)
minecraft.crafted.redstone: #2, 47001(14%)
minecraft.killed.dolphin: #1, 8(35%)
minecraft.crafted.piston: #2, 2389(14%)
minecraft.mined.shulker_box: #2, 9376(12%)
minecraft.mined.gray_glazed_terracotta: #1, 40(40%)
minecraft.dropped.calibrated_sculk_sensor: #1, 24(60%)
minecraft.dropped.warped_stairs: #1, 18(60%)
minecraft.mined.warped_fence_gate: #1, 18(26%)
minecraft.mined.orange_bed: #2, 37(20%)
minecraft.picked_up.quartz: #1, 6796(10%)
minecraft.dropped.stone_pressure_plate: #2, 64(19%)
minecraft.mined.cherry_wood: #1, 11(39%)
minecraft.dropped.raw_gold: #1, 74(18%)
minecraft.picked_up.mossy_cobblestone_stairs: #2, 54(26%)
minecraft.used.cyan_stained_glass: #3, 1790(27%)
minecraft.picked_up.raw_iron: #2, 9219(13%)
minecraft.picked_up.redstone_torch: #3, 1689(17%)
minecraft.mined.damaged_anvil: #2, 31(16%)
minecraft.picked_up.warped_stairs: #2, 143(24%)
minecraft.dropped.observer: #2, 174(20%)
minecraft.picked_up.light_gray_carpet: #2, 215(14%)
minecraft.picked_up.music_disc_13: #2, 56(14%)
minecraft.crafted.yellow_stained_glass: #2, 6016(24%)
minecraft.used.oxidized_copper_bulb: #2, 134(24%)
minecraft.crafted.blue_dye: #2, 6380(13%)
minecraft.used.bamboo_raft: #2, 56(21%)
minecraft.used.cocoa_beans: #3, 4402(18%)
minecraft.used.moss_block: #2, 23261(13%)
minecraft.picked_up.orange_bed: #2, 37(18%)
minecraft.picked_up.chest: #2, 4036(13%)
minecraft.used.purple_terracotta: #2, 1239(23%)
minecraft.dropped.lectern: #1, 7(23%)
minecraft.dropped.minecart: #2, 114(16%)
minecraft.picked_up.cod: #2, 2126(10%)
minecraft.mined.warped_pressure_plate: #1, 12(75%)
minecraft.killed.vex: #2, 56(19%)
minecraft.picked_up.mangrove_trapdoor: #2, 168(14%)
minecraft.used.exposed_copper_trapdoor: #2, 123(20%)
minecraft.picked_up.wind_charge: #2, 2162(11%)
minecraft.used.damaged_anvil: #2, 27(16%)
minecraft.crafted.warped_pressure_plate: #1, 16(43%)
minecraft.dropped.anvil: #2, 29(20%)
minecraft.picked_up.magenta_terracotta: #2, 213(21%)
minecraft.crafted.crimson_pressure_plate: #1, 14(54%)
minecraft.picked_up.diamond_hoe: #2, 27(14%)
minecraft.used.spider_eye: #1, 15(43%)
minecraft.dropped.dark_prismarine_slab: #1, 25(71%)
minecraft.picked_up.spruce_hanging_sign: #2, 52(17%)
