stat, rank, value, (percentage) 
minecraft.picked_up.red_nether_bricks: #4, 2(5%)
minecraft.custom.jump: #6, 621055(5%)
minecraft.custom.clean_shulker_box: #4, 3(5%)
minecraft.mined.jungle_planks: #5, 197(6%)
minecraft.used.fire_coral: #4, 8(3%)
minecraft.picked_up.blackstone_wall: #4, 10(3%)
minecraft.used.purpur_block: #4, 214(2%)
minecraft.used.andesite_slab: #5, 550(6%)
minecraft.used.mossy_stone_brick_slab: #5, 107(10%)
minecraft.mined.brown_mushroom: #5, 115(5%)
minecraft.used.polished_andesite: #5, 1047(5%)
minecraft.used.bamboo_chest_raft: #4, 2(5%)
minecraft.dropped.pitcher_plant: #4, 6(2%)
minecraft.mined.mossy_stone_brick_slab: #5, 10(10%)
minecraft.used.red_nether_bricks: #4, 25(4%)
minecraft.picked_up.magenta_bed: #4, 2(3%)
minecraft.crafted.deepslate_bricks: #5, 1948(7%)
minecraft.mined.magenta_bed: #4, 2(3%)
minecraft.used.exposed_copper_bulb: #4, 1(3%)
minecraft.dropped.lime_terracotta: #4, 12(3%)
minecraft.picked_up.prismarine_brick_slab: #4, 15(3%)
minecraft.dropped.ender_chest: #5, 41(5%)
minecraft.crafted.mangrove_door: #5, 9(7%)
minecraft.mined.polished_andesite: #5, 238(5%)
minecraft.picked_up.bamboo_chest_raft: #4, 1(2%)
minecraft.dropped.waxed_oxidized_copper_grate: #5, 11(8%)
minecraft.used.red_candle: #4, 29(2%)
minecraft.picked_up.cyan_carpet: #5, 59(6%)
minecraft.picked_up.tropical_fish: #5, 56(5%)
minecraft.used.yellow_glazed_terracotta: #4, 49(1%)
minecraft.picked_up.resin_brick_wall: #4, 2(2%)
minecraft.used.iron_shovel: #5, 3596(5%)
minecraft.picked_up.prismarine_brick_stairs: #4, 9(1%)
minecraft.used.prismarine_stairs: #4, 8(1%)
minecraft.mined.prismarine_brick_stairs: #4, 9(1%)
minecraft.dropped.warped_slab: #4, 1(1%)
minecraft.crafted.mangrove_hanging_sign: #5, 18(9%)
minecraft.used.mushroom_stem: #5, 425(6%)
minecraft.killed.drowned: #4, 917(0%)
minecraft.used.muddy_mangrove_roots: #5, 463(5%)
minecraft.used.birch_hanging_sign: #5, 9(8%)
minecraft.used.polished_blackstone_bricks: #5, 306(6%)
minecraft.used.cyan_banner: #5, 12(7%)
minecraft.used.dark_oak_stairs: #6, 600(9%)
minecraft.used.cyan_stained_glass_pane: #5, 208(7%)
minecraft.custom.interact_with_smoker: #5, 96(4%)
minecraft.used.cyan_concrete: #5, 184(6%)
minecraft.dropped.pale_moss_carpet: #5, 58(7%)
minecraft.used.oxidized_cut_copper_slab: #5, 322(5%)
minecraft.used.oxeye_daisy: #5, 10(5%)
minecraft.mined.blue_stained_glass: #5, 21(11%)
minecraft.picked_up.mossy_stone_bricks: #5, 260(4%)
minecraft.picked_up.pink_candle: #5, 16(9%)
minecraft.dropped.wooden_hoe: #5, 3(8%)
minecraft.used.paper: #5, 22(4%)
minecraft.mined.lectern: #6, 467(8%)
