stat, rank, value, (percentage) 
minecraft.picked_up.exposed_copper_trapdoor: #4, 95(7%)
minecraft.used.heavy_weighted_pressure_plate: #4, 25(6%)
minecraft.mined.tuff_brick_wall: #4, 45(6%)
minecraft.used.stripped_birch_log: #5, 479(11%)
minecraft.crafted.blue_glazed_terracotta: #3, 16(4%)
minecraft.mined.exposed_copper_trapdoor: #4, 92(7%)
minecraft.mined.green_stained_glass_pane: #4, 33(9%)
minecraft.used.mossy_stone_bricks: #4, 376(6%)
minecraft.crafted.heavy_weighted_pressure_plate: #4, 26(6%)
minecraft.dropped.bee_nest: #4, 2(12%)
minecraft.mined.birch_pressure_plate: #4, 6(12%)
minecraft.crafted.polished_tuff_slab: #5, 318(9%)
minecraft.used.acacia_hanging_sign: #4, 10(11%)
minecraft.picked_up.stripped_oak_wood: #4, 149(6%)
minecraft.picked_up.nether_brick_wall: #4, 11(16%)
minecraft.dropped.birch_pressure_plate: #4, 2(22%)
minecraft.used.waxed_exposed_copper_trapdoor: #4, 92(8%)
minecraft.mined.exposed_copper_grate: #4, 14(8%)
minecraft.mined.acacia_trapdoor: #4, 110(5%)
minecraft.mined.waxed_oxidized_cut_copper_slab: #4, 36(8%)
minecraft.dropped.cyan_wool: #3, 65(1%)
minecraft.used.gold_block: #5, 956(9%)
minecraft.used.cyan_wool: #4, 315(5%)
minecraft.mined.bamboo_fence: #5, 137(11%)
minecraft.picked_up.jungle_fence_gate: #4, 20(7%)
minecraft.crafted.jungle_pressure_plate: #4, 6(11%)
minecraft.mined.exposed_cut_copper_slab: #4, 10(9%)
minecraft.dropped.lily_of_the_valley: #4, 12(8%)
minecraft.mined.andesite_wall: #4, 42(5%)
minecraft.crafted.polished_andesite_stairs: #4, 24(8%)
minecraft.dropped.jungle_stairs: #4, 9(10%)
minecraft.mined.stripped_birch_log: #5, 576(9%)
minecraft.mined.muddy_mangrove_roots: #4, 593(4%)
minecraft.dropped.end_stone_bricks: #4, 43(7%)
minecraft.used.bamboo_fence: #5, 482(10%)
minecraft.mined.twisting_vines: #4, 18(7%)
minecraft.crafted.chiseled_copper: #4, 40(9%)
minecraft.mined.cut_sandstone: #4, 132(4%)
minecraft.used.cut_copper: #4, 121(8%)
minecraft.picked_up.stripped_birch_log: #5, 568(8%)
minecraft.dropped.enchanted_book: #5, 60(9%)
minecraft.crafted.warped_hyphae: #4, 144(6%)
minecraft.broken.leather_boots: #4, 1(17%)
minecraft.killed.salmon: #5, 220(7%)
minecraft.dropped.flowering_azalea_leaves: #4, 245(6%)
minecraft.mined.shroomlight: #5, 206(8%)
minecraft.mined.stripped_oak_wood: #4, 99(4%)
minecraft.crafted.mud_bricks: #5, 2232(8%)
minecraft.mined.diorite_wall: #4, 20(6%)
minecraft.mined.grindstone: #5, 49(8%)
minecraft.mined.warped_planks: #5, 125(9%)
minecraft.used.oak_button: #5, 53(8%)
minecraft.used.deepslate_tile_wall: #4, 167(4%)
minecraft.crafted.yellow_glazed_terracotta: #4, 64(10%)
minecraft.picked_up.bamboo_planks: #5, 2411(7%)
minecraft.crafted.sticky_piston: #5, 562(7%)
minecraft.dropped.stripped_mangrove_log: #4, 4(9%)
minecraft.mined.polished_andesite_slab: #4, 42(4%)
minecraft.mined.copper_trapdoor: #5, 123(8%)
minecraft.used.orange_wool: #5, 297(8%)
minecraft.killed_by.creaking: #4, 1(11%)
minecraft.crafted.loom: #5, 134(7%)
minecraft.crafted.diamond_pickaxe: #5, 17(6%)
minecraft.crafted.piston: #5, 1053(6%)
minecraft.mined.chiseled_copper: #5, 17(11%)
minecraft.crafted.oak_button: #5, 47(7%)
minecraft.mined.cauldron: #5, 18(6%)
minecraft.mined.bamboo_fence_gate: #5, 25(10%)
minecraft.dropped.oxidized_copper_trapdoor: #4, 3(5%)
minecraft.dropped.potion: #5, 216(6%)
minecraft.dropped.cobbled_deepslate_slab: #5, 114(10%)
minecraft.used.blue_stained_glass_pane: #4, 15(5%)
minecraft.dropped.suspicious_stew: #4, 6(6%)
minecraft.picked_up.suspicious_stew: #4, 3(8%)
minecraft.crafted.crimson_fence: #4, 18(4%)
minecraft.mined.raw_gold_block: #4, 8(5%)
minecraft.picked_up.mangrove_planks: #5, 269(6%)
minecraft.used.mangrove_planks: #5, 1009(6%)
minecraft.used.acacia_trapdoor: #5, 597(7%)
minecraft.used.red_mushroom_block: #4, 44(8%)
minecraft.mined.exposed_cut_copper: #4, 5(3%)
minecraft.crafted.golden_shovel: #4, 1(9%)
minecraft.used.lily_of_the_valley: #4, 7(3%)
minecraft.used.magenta_terracotta: #5, 216(10%)
minecraft.dropped.acacia_button: #4, 2(9%)
minecraft.picked_up.acacia_hanging_sign: #5, 8(13%)
minecraft.used.pitcher_plant: #5, 33(8%)
minecraft.used.pink_terracotta: #4, 207(3%)
minecraft.dropped.stripped_acacia_log: #4, 2(5%)
minecraft.used.oak_hanging_sign: #4, 15(2%)
minecraft.used.bamboo: #5, 1113(5%)
minecraft.picked_up.magenta_terracotta: #4, 20(2%)
minecraft.mined.magenta_stained_glass_pane: #4, 3(6%)
minecraft.dropped.mangrove_slab: #5, 37(9%)
minecraft.dropped.bamboo_hanging_sign: #4, 1(7%)
minecraft.picked_up.copper_trapdoor: #5, 118(6%)
minecraft.dropped.brick_wall: #4, 1(6%)
minecraft.picked_up.blue_glazed_terracotta: #4, 5(7%)
minecraft.used.polished_blackstone: #5, 351(7%)
minecraft.mined.blue_glazed_terracotta: #4, 5(6%)
minecraft.used.salmon: #5, 9(8%)
minecraft.dropped.azure_bluet: #5, 73(6%)
minecraft.dropped.polished_granite: #4, 15(3%)
minecraft.picked_up.warped_fence: #5, 53(8%)
minecraft.mined.brown_concrete_powder: #5, 74(11%)
minecraft.mined.polished_andesite_stairs: #5, 30(5%)
minecraft.crafted.nether_brick_wall: #4, 18(3%)
minecraft.dropped.cobbled_deepslate_wall: #4, 2(4%)
minecraft.mined.polished_deepslate_stairs: #5, 90(6%)
minecraft.mined.mangrove_sign: #5, 3(11%)
minecraft.dropped.bamboo_stairs: #4, 4(3%)
minecraft.used.stone_bricks: #5, 5396(5%)
minecraft.crafted.raw_copper: #5, 11240(6%)
minecraft.used.magenta_stained_glass_pane: #4, 35(2%)
minecraft.dropped.stripped_birch_log: #4, 3(2%)
minecraft.used.blue_glazed_terracotta: #4, 14(3%)
minecraft.picked_up.mud: #5, 8664(5%)
minecraft.used.yellow_terracotta: #5, 463(5%)
minecraft.mined.crimson_fence: #4, 3(2%)
minecraft.mined.oak_pressure_plate: #5, 3(8%)
minecraft.dropped.oxidized_copper: #4, 5(1%)
minecraft.used.copper_trapdoor: #5, 706(5%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #5, 41(9%)
minecraft.dropped.polished_andesite_slab: #4, 9(2%)
minecraft.picked_up.crying_obsidian: #5, 240(5%)
minecraft.dropped.jungle_fence_gate: #4, 1(2%)
minecraft.mined.mangrove_wall_sign: #5, 9(7%)
minecraft.picked_up.weathered_copper_trapdoor: #5, 83(6%)
minecraft.dropped.stripped_birch_wood: #4, 1(1%)
minecraft.crafted.honey_block: #4, 48(1%)
minecraft.dropped.lime_bed: #4, 1(1%)
minecraft.dropped.gray_terracotta: #4, 1(1%)
minecraft.dropped.oxidized_copper_grate: #4, 1(1%)
minecraft.dropped.purpur_stairs: #5, 12(8%)
minecraft.mined.birch_button: #5, 4(9%)
minecraft.mined.weathered_copper_trapdoor: #5, 83(6%)
minecraft.used.brown_concrete_powder: #5, 357(5%)
minecraft.used.light_gray_stained_glass_pane: #5, 362(6%)
minecraft.picked_up.mossy_stone_brick_slab: #5, 18(6%)
minecraft.crafted.detector_rail: #5, 102(5%)
minecraft.crafted.birch_trapdoor: #6, 146(9%)
minecraft.mined.cartography_table: #5, 15(5%)
minecraft.dropped.black_stained_glass: #5, 26(6%)
minecraft.mined.dark_oak_wall_sign: #5, 9(6%)
minecraft.dropped.mangrove_propagule: #5, 24(6%)
minecraft.used.waxed_weathered_copper: #5, 187(7%)
minecraft.mined.potted_azalea_bush: #5, 2(11%)
minecraft.used.birch_stairs: #5, 114(5%)
minecraft.crafted.quartz_slab: #5, 184(6%)
minecraft.picked_up.stripped_warped_hyphae: #5, 33(7%)
minecraft.used.sticky_piston: #6, 672(7%)
minecraft.used.gray_stained_glass_pane: #5, 242(6%)
minecraft.picked_up.birch_pressure_plate: #5, 6(8%)
minecraft.dropped.mangrove_door: #5, 2(12%)
minecraft.mined.polished_diorite_stairs: #5, 22(6%)
minecraft.mined.pink_petals: #6, 534(8%)
minecraft.crafted.redstone_torch: #6, 4374(7%)
minecraft.used.dead_bush: #5, 48(4%)
minecraft.dropped.red_mushroom: #5, 7(3%)
minecraft.used.repeater: #6, 1396(7%)
minecraft.dropped.red_banner: #5, 1(12%)
minecraft.dropped.polished_diorite: #5, 32(6%)
minecraft.picked_up.shroomlight: #6, 216(7%)
minecraft.crafted.andesite_stairs: #5, 40(4%)
minecraft.crafted.light_blue_glazed_terracotta: #5, 16(7%)
minecraft.mined.pink_terracotta: #5, 91(5%)
minecraft.custom.fill_cauldron: #6, 59(6%)
minecraft.picked_up.heavy_weighted_pressure_plate: #6, 13(10%)
minecraft.used.spruce_hanging_sign: #6, 39(8%)
minecraft.mined.deepslate_tile_wall: #5, 30(3%)
minecraft.used.waxed_oxidized_copper: #6, 687(7%)
minecraft.mined.clay: #6, 2853(6%)
minecraft.crafted.spruce_hanging_sign: #6, 42(9%)
minecraft.crafted.warped_hanging_sign: #5, 12(5%)
minecraft.mined.bamboo_wall_hanging_sign: #5, 2(11%)
minecraft.mined.stripped_warped_hyphae: #5, 23(5%)
minecraft.mined.stripped_mangrove_log: #5, 261(2%)
minecraft.picked_up.written_book: #6, 35(6%)
minecraft.mined.mangrove_log: #6, 2063(6%)
minecraft.dropped.poppy: #5, 1035(2%)
minecraft.picked_up.warped_trapdoor: #6, 83(8%)
minecraft.dropped.wildflowers: #5, 3(8%)
minecraft.used.polished_diorite_slab: #5, 66(4%)
minecraft.crafted.activator_rail: #5, 192(3%)
minecraft.mined.mud_bricks: #6, 278(6%)
minecraft.dropped.mangrove_sign: #5, 6(6%)
minecraft.used.warped_hanging_sign: #5, 8(5%)
minecraft.mined.deepslate_emerald_ore: #5, 1(9%)
minecraft.mined.allium: #6, 105(8%)
minecraft.dropped.jungle_trapdoor: #5, 8(4%)
minecraft.mined.red_mushroom_block: #6, 563(9%)
minecraft.crafted.comparator: #6, 374(6%)
minecraft.dropped.dead_bush: #5, 35(3%)
minecraft.dropped.warped_trapdoor: #5, 8(4%)
minecraft.picked_up.polished_tuff_wall: #6, 201(6%)
minecraft.crafted.stone_bricks: #6, 8124(5%)
minecraft.crafted.nether_brick: #5, 256(3%)
minecraft.dropped.diorite_wall: #5, 9(6%)
minecraft.crafted.observer: #6, 1287(6%)
minecraft.used.yellow_candle: #5, 16(3%)
minecraft.used.jungle_fence: #6, 269(7%)
minecraft.crafted.slime_ball: #5, 1116(2%)
minecraft.crafted.mangrove_pressure_plate: #5, 6(4%)
minecraft.dropped.light_weighted_pressure_plate: #5, 3(4%)
minecraft.used.shroomlight: #6, 190(6%)
minecraft.used.warped_stem: #6, 412(6%)
minecraft.used.observer: #6, 1523(5%)
minecraft.mined.gold_block: #6, 377(5%)
minecraft.mined.oak_wall_hanging_sign: #5, 2(3%)
minecraft.mined.jungle_fence: #6, 44(7%)
minecraft.crafted.warped_fence_gate: #6, 46(8%)
minecraft.picked_up.mangrove_log: #6, 2036(5%)
minecraft.picked_up.bamboo_fence_gate: #5, 20(1%)
minecraft.dropped.mossy_stone_brick_slab: #5, 2(2%)
minecraft.used.bone_block: #6, 1086(5%)
minecraft.dropped.deepslate_tile_stairs: #5, 4(3%)
minecraft.used.comparator: #6, 511(5%)
minecraft.dropped.pink_wool: #5, 67(2%)
minecraft.crafted.deepslate_brick_stairs: #5, 48(1%)
minecraft.used.bamboo_sign: #6, 214(5%)
minecraft.dropped.loom: #5, 1(2%)
minecraft.mined.orange_tulip: #6, 85(6%)
minecraft.dropped.copper_trapdoor: #5, 2(3%)
minecraft.crafted.pink_carpet: #5, 33(1%)
minecraft.crafted.dried_kelp_block: #5, 24(1%)
minecraft.used.crimson_roots: #6, 40(7%)
minecraft.crafted.cut_copper: #6, 76(9%)
minecraft.crafted.prismarine_wall: #5, 17(2%)
minecraft.used.red_candle: #5, 24(2%)
minecraft.mined.chain: #6, 191(4%)
minecraft.used.crimson_fence: #5, 15(1%)
minecraft.mined.tuff_brick_slab: #6, 93(5%)
minecraft.used.weathered_copper_grate: #5, 2(1%)
minecraft.used.stripped_crimson_stem: #5, 6(1%)
minecraft.used.raw_gold_block: #5, 17(1%)
