stat, rank, value, (percentage) 
minecraft.crafted.cherry_door: #5, 3(12%)
minecraft.dropped.cactus: #5, 907(4%)
minecraft.picked_up.dark_oak_pressure_plate: #5, 11(7%)
minecraft.mined.birch_fence_gate: #5, 14(6%)
minecraft.mined.suspicious_gravel: #5, 34(6%)
minecraft.picked_up.spruce_pressure_plate: #5, 9(4%)
minecraft.used.spruce_pressure_plate: #5, 13(4%)
minecraft.dropped.end_stone_bricks: #5, 29(5%)
minecraft.used.netherrack: #6, 4363(6%)
minecraft.used.cauldron: #6, 70(7%)
minecraft.crafted.diamond_leggings: #6, 7(6%)
minecraft.dropped.rabbit_foot: #5, 1(10%)
minecraft.picked_up.pink_carpet: #5, 15(5%)
minecraft.picked_up.deepslate_copper_ore: #5, 93(3%)
minecraft.crafted.bamboo_planks: #6, 19362(6%)
minecraft.picked_up.glass_bottle: #6, 2100(5%)
minecraft.crafted.crimson_door: #5, 3(10%)
minecraft.picked_up.glowstone_dust: #6, 983(6%)
minecraft.mined.pink_carpet: #5, 6(4%)
minecraft.picked_up.dark_oak_fence_gate: #5, 16(3%)
minecraft.dropped.purpur_pillar: #5, 26(3%)
minecraft.used.blue_banner: #5, 3(4%)
minecraft.used.furnace_minecart: #5, 8(4%)
minecraft.crafted.bread: #6, 1826(6%)
minecraft.picked_up.furnace_minecart: #5, 7(4%)
minecraft.crafted.light_blue_wool: #5, 152(3%)
minecraft.crafted.fermented_spider_eye: #5, 82(2%)
minecraft.crafted.smooth_stone: #6, 1947(6%)
minecraft.dropped.chipped_anvil: #5, 2(5%)
minecraft.crafted.cherry_fence: #5, 27(3%)
minecraft.dropped.pumpkin_seeds: #6, 800(6%)
minecraft.used.nether_gold_ore: #5, 18(4%)
minecraft.picked_up.calibrated_sculk_sensor: #6, 20(7%)
minecraft.mined.nether_brick_fence: #6, 28(7%)
minecraft.crafted.emerald: #6, 27492(5%)
minecraft.used.chipped_anvil: #6, 16(6%)
minecraft.picked_up.purple_candle: #5, 3(3%)
minecraft.killed.villager: #5, 5(2%)
minecraft.crafted.glass_pane: #6, 768(5%)
minecraft.crafted.hopper: #6, 1449(5%)
minecraft.dropped.warped_fence: #5, 4(4%)
minecraft.mined.deepslate_brick_stairs: #5, 47(1%)
minecraft.dropped.powder_snow_bucket: #5, 2(3%)
minecraft.used.copper_block: #5, 986(1%)
minecraft.used.glass_pane: #6, 182(5%)
minecraft.picked_up.oak_boat: #6, 79(5%)
minecraft.crafted.cherry_stairs: #5, 12(2%)
minecraft.mined.raw_iron_block: #5, 15(1%)
