stat, rank, value, (percentage) 
minecraft.crafted.nautilus_shell: #2, 9(35%)
minecraft.crafted.cyan_wool: #3, 275(13%)
minecraft.mined.stripped_warped_hyphae: #3, 89(18%)
minecraft.picked_up.jungle_wood: #3, 215(18%)
minecraft.used.bamboo_block: #4, 1426(14%)
minecraft.dropped.diorite_wall: #2, 26(17%)
minecraft.crafted.diorite_stairs: #3, 56(20%)
minecraft.crafted.gunpowder: #2, 8(50%)
minecraft.used.weathered_copper_door: #2, 3(50%)
minecraft.crafted.jungle_sapling: #2, 8(50%)
minecraft.dropped.weathered_copper: #2, 3(50%)
minecraft.mined.pale_oak_hanging_sign: #2, 1(50%)
minecraft.dropped.exposed_copper: #2, 1(50%)
minecraft.used.oak_wood: #3, 1089(10%)
minecraft.crafted.prismarine_stairs: #2, 12(20%)
minecraft.picked_up.waxed_weathered_copper_door: #2, 11(48%)
minecraft.dropped.stone_pickaxe: #3, 8(9%)
minecraft.picked_up.spruce_chest_boat: #2, 17(19%)
minecraft.used.purple_banner: #3, 8(22%)
minecraft.picked_up.yellow_dye: #4, 390(10%)
minecraft.dropped.powder_snow_bucket: #2, 10(16%)
minecraft.picked_up.spore_blossom: #3, 100(11%)
minecraft.crafted.chainmail_leggings: #2, 11(23%)
minecraft.crafted.player_head: #3, 1352(10%)
minecraft.mined.bamboo_door: #3, 9(13%)
minecraft.used.waxed_weathered_copper_bulb: #3, 104(16%)
minecraft.picked_up.bow: #3, 352(7%)
minecraft.dropped.player_head: #3, 1143(6%)
minecraft.custom.bell_ring: #3, 83(8%)
minecraft.mined.oak_pressure_plate: #3, 5(12%)
minecraft.mined.blast_furnace: #3, 42(8%)
minecraft.mined.waxed_weathered_copper_door: #2, 9(43%)
minecraft.killed.bee: #3, 30(14%)
minecraft.dropped.mud: #3, 326(10%)
