stat, rank, value, (percentage) 
minecraft.crafted.oxeye_daisy: #1, 12(100%)
minecraft.crafted.jungle_sapling: #1, 8(50%)
minecraft.crafted.allium: #1, 12(100%)
minecraft.crafted.mojang_banner_pattern: #1, 1(25%)
minecraft.crafted.azure_bluet: #1, 36(100%)
minecraft.crafted.white_tulip: #1, 12(100%)
minecraft.crafted.lily_pad: #1, 20(50%)
minecraft.used.brewer_pottery_sherd: #1, 1(100%)
minecraft.dropped.trapped_chest: #1, 1(50%)
minecraft.dropped.field_masoned_banner_pattern: #1, 1(100%)
minecraft.dropped.cyan_banner: #1, 2(50%)
minecraft.dropped.tadpole_bucket: #1, 1(100%)
minecraft.dropped.music_disc_tears: #1, 1(100%)
minecraft.mined.white_candle_cake: #1, 1(100%)
minecraft.mined.purple_banner: #1, 4(100%)
minecraft.picked_up.brown_harness: #1, 1(100%)
minecraft.mined.kelp_plant: #3, 880(12%)
minecraft.used.daylight_detector: #3, 437(17%)
minecraft.used.chiseled_copper: #2, 107(16%)
minecraft.picked_up.dark_oak_fence: #3, 524(12%)
minecraft.dropped.blue_concrete: #2, 62(48%)
minecraft.mined.light_blue_terracotta: #2, 220(10%)
minecraft.used.jungle_hanging_sign: #2, 28(24%)
minecraft.picked_up.polished_blackstone_brick_slab: #2, 74(24%)
minecraft.mined.warped_hanging_sign: #2, 7(32%)
minecraft.picked_up.cracked_deepslate_tiles: #2, 131(21%)
minecraft.crafted.waxed_oxidized_copper_trapdoor: #2, 193(27%)
minecraft.mined.cherry_hanging_sign: #2, 6(38%)
minecraft.picked_up.black_stained_glass_pane: #2, 69(9%)
minecraft.used.azalea: #3, 468(13%)
minecraft.dropped.campfire: #2, 13(15%)
minecraft.used.jungle_button: #2, 57(15%)
minecraft.dropped.green_stained_glass_pane: #2, 39(26%)
