stat, rank, value, (percentage) 
minecraft.used.end_rod: #3, 2486(18%)
minecraft.used.chorus_fruit: #2, 60(35%)
minecraft.picked_up.carrot: #2, 9362(12%)
minecraft.crafted.furnace_minecart: #1, 8(24%)
minecraft.mined.polished_deepslate_stairs: #2, 260(17%)
minecraft.picked_up.tnt_minecart: #1, 34(24%)
minecraft.used.yellow_bed: #2, 178(16%)
minecraft.used.pale_oak_stairs: #1, 153(16%)
minecraft.crafted.popped_chorus_fruit: #2, 465(26%)
minecraft.crafted.crimson_button: #1, 11(33%)
minecraft.picked_up.yellow_bed: #2, 167(15%)
minecraft.used.carrot: #2, 2020(12%)
minecraft.dropped.waxed_weathered_cut_copper: #1, 29(76%)
minecraft.used.warped_sign: #2, 175(19%)
minecraft.mined.yellow_bed: #2, 167(16%)
minecraft.picked_up.tide_armor_trim_smithing_template: #1, 5(45%)
minecraft.dropped.carrot: #3, 6302(16%)
minecraft.crafted.resin_bricks: #1, 612(28%)
minecraft.mined.polished_deepslate_wall: #2, 143(16%)
minecraft.picked_up.orange_terracotta: #3, 8863(18%)
minecraft.crafted.iron_helmet: #2, 20(13%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #1, 28(20%)
minecraft.mined.carved_pumpkin: #2, 818(12%)
minecraft.mined.chiseled_tuff_bricks: #2, 640(13%)
minecraft.dropped.green_concrete_powder: #2, 64(35%)
minecraft.used.stone_slab: #2, 9091(12%)
minecraft.mined.cobbled_deepslate_wall: #2, 89(22%)
minecraft.used.yellow_stained_glass_pane: #2, 1930(28%)
minecraft.dropped.beacon: #1, 5(23%)
minecraft.picked_up.polished_blackstone: #2, 127(17%)
minecraft.crafted.crimson_trapdoor: #2, 346(19%)
minecraft.crafted.polished_blackstone: #2, 1373(14%)
minecraft.used.birch_button: #2, 43(15%)
minecraft.dropped.pointed_dripstone: #2, 330(13%)
minecraft.mined.pale_oak_pressure_plate: #1, 5(50%)
minecraft.crafted.bamboo_chest_raft: #1, 4(33%)
minecraft.mined.magenta_glazed_terracotta: #1, 54(67%)
minecraft.mined.mangrove_wall_sign: #2, 25(20%)
minecraft.dropped.quartz_bricks: #1, 64(98%)
minecraft.picked_up.pumpkin_seeds: #2, 3444(11%)
minecraft.dropped.lightning_rod: #2, 68(22%)
minecraft.dropped.fishing_rod: #2, 56(13%)
minecraft.mined.stone_button: #2, 168(13%)
minecraft.picked_up.netherite_scrap: #1, 35(62%)
minecraft.crafted.pale_oak_slab: #2, 566(18%)
minecraft.mined.magenta_stained_glass_pane: #1, 19(37%)
minecraft.used.light_gray_stained_glass: #2, 2583(16%)
minecraft.mined.mangrove_wood: #2, 80(19%)
minecraft.killed_by.warden: #2, 18(24%)
minecraft.crafted.ender_chest: #2, 130(13%)
minecraft.used.light_gray_stained_glass_pane: #2, 1052(16%)
minecraft.used.yellow_banner: #2, 40(20%)
minecraft.used.wooden_sword: #2, 322(15%)
minecraft.dropped.lime_stained_glass: #1, 107(29%)
minecraft.mined.carrots: #3, 1562(14%)
minecraft.mined.light_gray_carpet: #2, 136(12%)
minecraft.crafted.iron_bars: #2, 3712(11%)
minecraft.mined.crafter: #2, 179(11%)
minecraft.used.diorite: #2, 5608(11%)
minecraft.killed_by.magma_cube: #1, 4(57%)
minecraft.crafted.yellow_stained_glass_pane: #2, 1824(25%)
minecraft.dropped.piston: #2, 288(21%)
minecraft.mined.infested_stone: #3, 318(21%)
minecraft.used.waxed_copper_block: #3, 539(18%)
minecraft.picked_up.music_disc_wait: #1, 10(42%)
minecraft.mined.glowstone: #2, 617(11%)
minecraft.crafted.polished_diorite: #2, 844(12%)
minecraft.dropped.iron_helmet: #2, 21(15%)
minecraft.crafted.spruce_trapdoor: #2, 5388(10%)
minecraft.dropped.yellow_wool: #2, 483(16%)
minecraft.killed.glow_squid: #2, 69(11%)
minecraft.picked_up.tuff_bricks: #3, 4610(14%)
minecraft.dropped.nether_wart_block: #2, 177(20%)
minecraft.picked_up.light_gray_terracotta: #3, 3965(16%)
minecraft.dropped.leather_boots: #2, 51(10%)
minecraft.picked_up.cyan_terracotta: #3, 1592(16%)
minecraft.crafted.warped_sign: #2, 147(15%)
minecraft.dropped.mangrove_fence: #2, 64(25%)
minecraft.dropped.chiseled_copper: #1, 32(51%)
minecraft.picked_up.mangrove_sign: #2, 49(14%)
minecraft.crafted.lime_stained_glass_pane: #2, 848(21%)
minecraft.dropped.popped_chorus_fruit: #1, 64(49%)
minecraft.crafted.iron_hoe: #2, 9(12%)
minecraft.mined.diorite: #2, 24809(10%)
minecraft.picked_up.crafter: #2, 179(10%)
minecraft.mined.dripstone_block: #3, 6341(14%)
minecraft.dropped.sponge: #2, 128(30%)
minecraft.picked_up.carved_pumpkin: #3, 1037(9%)
minecraft.mined.dispenser: #2, 178(9%)
minecraft.dropped.magma_block: #2, 153(15%)
minecraft.picked_up.exposed_copper_grate: #2, 29(17%)
minecraft.dropped.stone_axe: #2, 10(13%)
minecraft.mined.exposed_copper_grate: #2, 29(16%)
minecraft.picked_up.detector_rail: #2, 68(12%)
minecraft.crafted.bamboo_planks: #2, 28338(9%)
minecraft.dropped.chiseled_tuff_bricks: #2, 84(12%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #2, 24(17%)
minecraft.used.iron_boots: #2, 4(25%)
minecraft.used.smooth_quartz_slab: #3, 1658(15%)
minecraft.crafted.bamboo_pressure_plate: #2, 19(20%)
minecraft.crafted.resin_clump: #2, 3523(17%)
minecraft.crafted.bone_block: #3, 8330(13%)
minecraft.used.light_gray_dye: #2, 16(22%)
minecraft.picked_up.glow_ink_sac: #2, 412(8%)
minecraft.dropped.polished_deepslate_slab: #2, 128(20%)
minecraft.dropped.pumpkin_seeds: #3, 1924(13%)
minecraft.used.red_nether_brick_wall: #2, 176(24%)
minecraft.mined.netherrack: #2, 37688(9%)
minecraft.dropped.lever: #3, 218(14%)
minecraft.dropped.lime_terracotta: #2, 135(36%)
minecraft.mined.tuff_bricks: #3, 4148(13%)
minecraft.dropped.waxed_exposed_cut_copper: #1, 14(58%)
minecraft.dropped.copper_bulb: #2, 31(36%)
minecraft.used.warped_button: #2, 33(14%)
minecraft.crafted.mossy_cobblestone_wall: #2, 50(15%)
minecraft.dropped.netherite_upgrade_smithing_template: #2, 6(19%)
minecraft.crafted.lime_dye: #3, 2278(15%)
minecraft.dropped.bamboo_raft: #2, 11(23%)
minecraft.mined.acacia_fence: #2, 45(12%)
minecraft.picked_up.wet_sponge: #2, 1665(12%)
minecraft.mined.slime_block: #3, 827(12%)
minecraft.used.anvil: #2, 369(8%)
minecraft.picked_up.light_gray_carpet: #3, 200(13%)
minecraft.crafted.pale_oak_stairs: #2, 220(15%)
minecraft.crafted.bamboo_raft: #2, 42(13%)
minecraft.mined.daylight_detector: #2, 28(14%)
minecraft.mined.conduit: #2, 5(25%)
minecraft.killed_by.piglin_brute: #2, 4(20%)
minecraft.crafted.lily_of_the_valley: #1, 7(100%)
minecraft.crafted.dandelion: #1, 12(100%)
minecraft.used.music_disc_wait: #1, 4(100%)
minecraft.used.music_disc_stal: #1, 5(100%)
minecraft.used.music_disc_far: #1, 1(100%)
minecraft.dropped.mojang_banner_pattern: #1, 1(100%)
minecraft.dropped.breeze_rod: #2, 320(20%)
minecraft.mined.wet_sponge: #2, 1502(12%)
minecraft.used.netherite_sword: #2, 91443(15%)
minecraft.mined.red_nether_brick_wall: #2, 20(24%)
minecraft.dropped.honeycomb: #2, 1350(13%)
minecraft.mined.jungle_pressure_plate: #2, 9(32%)
minecraft.picked_up.grindstone: #2, 69(8%)
minecraft.picked_up.wooden_sword: #3, 61(17%)
minecraft.picked_up.bamboo_pressure_plate: #2, 18(19%)
minecraft.crafted.chiseled_stone_bricks: #2, 976(12%)
minecraft.picked_up.sponge: #2, 1315(10%)
minecraft.used.polished_andesite: #3, 2318(12%)
minecraft.used.waxed_weathered_copper: #3, 623(24%)
minecraft.picked_up.polished_basalt: #3, 282(14%)
minecraft.used.stone_stairs: #3, 881(12%)
minecraft.used.deepslate_bricks: #3, 4808(13%)
minecraft.used.sponge: #2, 1219(10%)
minecraft.dropped.polished_andesite_stairs: #2, 52(20%)
minecraft.mined.yellow_stained_glass: #2, 92(15%)
minecraft.crafted.purple_glazed_terracotta: #2, 23(29%)
minecraft.crafted.smooth_basalt: #2, 2343(17%)
minecraft.used.polished_deepslate_wall: #3, 1142(14%)
minecraft.picked_up.netherite_boots: #3, 44(11%)
minecraft.picked_up.conduit: #2, 6(21%)
minecraft.crafted.waxed_weathered_chiseled_copper: #2, 80(24%)
minecraft.crafted.lead: #3, 328(13%)
minecraft.mined.gray_glazed_terracotta: #2, 28(28%)
minecraft.dropped.blackstone_slab: #2, 54(28%)
minecraft.picked_up.honey_bottle: #3, 214(13%)
minecraft.picked_up.wooden_axe: #2, 2(17%)
minecraft.mined.sponge: #2, 1238(10%)
minecraft.used.stone: #3, 85667(10%)
minecraft.picked_up.gray_glazed_terracotta: #2, 28(27%)
minecraft.dropped.bamboo_stairs: #2, 38(27%)
minecraft.mined.mangrove_door: #2, 7(11%)
minecraft.dropped.iron_bars: #3, 405(14%)
minecraft.used.iron_block: #3, 8340(10%)
minecraft.picked_up.chiseled_deepslate: #3, 145(15%)
minecraft.used.purple_glazed_terracotta: #2, 70(26%)
minecraft.crafted.blast_furnace: #4, 417(14%)
minecraft.crafted.magenta_bed: #2, 2(22%)
minecraft.used.yellow_carpet: #3, 574(15%)
minecraft.dropped.oxidized_copper_trapdoor: #2, 10(17%)
minecraft.used.crying_obsidian: #2, 1394(10%)
minecraft.crafted.chiseled_copper: #2, 64(14%)
minecraft.used.orange_terracotta: #3, 2223(11%)
minecraft.picked_up.netherite_leggings: #3, 43(10%)
minecraft.mined.light_gray_terracotta: #4, 3929(16%)
minecraft.crafted.observer: #3, 2386(11%)
minecraft.used.observer: #3, 2990(10%)
minecraft.used.polished_basalt: #3, 1209(14%)
minecraft.used.waxed_copper_trapdoor: #3, 384(17%)
minecraft.crafted.chiseled_tuff_bricks: #3, 97(11%)
minecraft.picked_up.iron_boots: #3, 29(10%)
minecraft.dropped.pale_oak_planks: #2, 64(21%)
minecraft.mined.weathered_chiseled_copper: #2, 4(21%)
minecraft.crafted.yellow_shulker_box: #3, 30(11%)
minecraft.dropped.gold_ingot: #3, 1031(10%)
