stat, rank, value, (percentage) 
minecraft.picked_up.moss_carpet: #2, 13275(16%)
minecraft.picked_up.granite_slab: #1, 127(24%)
minecraft.used.flowering_azalea: #2, 299(20%)
minecraft.dropped.warped_stem: #1, 188(32%)
minecraft.dropped.diamond_sword: #1, 32(13%)
minecraft.dropped.birch_stairs: #1, 10(53%)
minecraft.custom.enchant_item: #2, 604(17%)
minecraft.crafted.cooked_beef: #2, 2206(17%)
minecraft.crafted.leather_chestplate: #1, 274(15%)
minecraft.picked_up.spruce_chest_boat: #1, 56(63%)
minecraft.custom.deaths: #3, 2982(13%)
minecraft.mined.polished_granite_stairs: #1, 170(45%)
minecraft.mined.polished_granite_slab: #1, 79(39%)
minecraft.used.diamond_ore: #1, 19(35%)
minecraft.picked_up.pink_wool: #2, 1878(21%)
minecraft.crafted.polished_tuff_stairs: #2, 148(19%)
minecraft.dropped.dandelion: #2, 790(17%)
minecraft.dropped.light_gray_terracotta: #1, 110(24%)
minecraft.crafted.mangrove_hanging_sign: #1, 54(26%)
minecraft.crafted.stripped_cherry_wood: #1, 48(62%)
minecraft.picked_up.pale_moss_carpet: #2, 2023(18%)
minecraft.dropped.birch_log: #2, 443(19%)
minecraft.picked_up.stone_button: #1, 360(13%)
minecraft.custom.swim_one_cm: #2, 18171147(10%)
minecraft.used.crimson_roots: #2, 144(25%)
minecraft.mined.birch_leaves: #3, 23909(21%)
minecraft.picked_up.kelp: #2, 14480(16%)
minecraft.crafted.bamboo_hanging_sign: #1, 42(23%)
minecraft.dropped.diamond_axe: #1, 34(13%)
minecraft.mined.waxed_copper_bulb: #2, 272(20%)
minecraft.crafted.diamond_axe: #1, 16(13%)
minecraft.dropped.purpur_stairs: #1, 36(25%)
minecraft.mined.pale_oak_planks: #2, 190(25%)
minecraft.crafted.nether_brick_fence: #1, 324(25%)
minecraft.used.dead_brain_coral_block: #2, 255(31%)
minecraft.picked_up.zombie_head: #1, 149(75%)
minecraft.picked_up.waxed_copper_bulb: #2, 273(20%)
minecraft.picked_up.dead_bubble_coral_block: #1, 412(50%)
minecraft.crafted.pale_oak_slab: #1, 588(19%)
minecraft.dropped.spruce_boat: #1, 14(30%)
minecraft.mined.nether_brick_stairs: #1, 22(42%)
minecraft.crafted.bamboo_pressure_plate: #1, 25(27%)
minecraft.used.bow: #2, 13212(15%)
minecraft.crafted.pale_oak_boat: #1, 11(73%)
minecraft.picked_up.diamond_chestplate: #1, 46(12%)
minecraft.crafted.raw_gold_block: #2, 816(21%)
minecraft.dropped.smooth_sandstone_slab: #1, 43(73%)
minecraft.used.dandelion: #2, 144(17%)
minecraft.used.light_gray_concrete_powder: #2, 4075(16%)
minecraft.dropped.andesite_slab: #2, 151(28%)
minecraft.picked_up.warped_button: #1, 33(32%)
minecraft.crafted.lime_terracotta: #2, 3328(24%)
minecraft.used.polished_blackstone_slab: #2, 1206(28%)
minecraft.dropped.jungle_sign: #1, 34(36%)
minecraft.picked_up.tuff_slab: #2, 299(18%)
minecraft.mined.yellow_concrete: #2, 5067(17%)
minecraft.dropped.elytra: #1, 27(9%)
minecraft.mined.diamond_ore: #1, 34(14%)
minecraft.picked_up.nether_brick_fence: #2, 110(18%)
