stat, rank, value, (percentage) 
minecraft.picked_up.cooked_chicken: #14, 118(1%)
minecraft.picked_up.mud: #14, 2240(1%)
minecraft.mined.soul_fire: #14, 22(1%)
minecraft.dropped.filled_map: #14, 30(1%)
minecraft.crafted.netherite_leggings: #14, 1(2%)
minecraft.used.dandelion: #14, 9(1%)
minecraft.mined.dark_oak_planks: #14, 39(1%)
minecraft.mined.dragon_wall_head: #14, 2(1%)
minecraft.picked_up.lilac: #14, 74(1%)
minecraft.used.lead: #14, 1(1%)
minecraft.picked_up.netherite_shovel: #14, 3(1%)
minecraft.used.light_gray_concrete_powder: #14, 173(1%)
minecraft.mined.green_terracotta: #14, 11(1%)
minecraft.used.netherite_pickaxe: #14, 39129(1%)
minecraft.used.stone_slab: #14, 383(1%)
minecraft.crafted.smooth_quartz_slab: #14, 16(1%)
minecraft.crafted.cooked_porkchop: #14, 10(0%)
minecraft.mined.nether_bricks: #14, 27(0%)
minecraft.used.cooked_mutton: #14, 12(0%)
minecraft.crafted.magenta_dye: #14, 64(0%)
minecraft.killed.wither_skeleton: #14, 93(0%)
minecraft.crafted.stone_brick_wall: #14, 12(0%)
minecraft.picked_up.pink_tulip: #14, 13(0%)
minecraft.picked_up.golden_sword: #14, 6(0%)
minecraft.used.polished_granite: #14, 29(0%)
minecraft.used.deepslate_brick_wall: #14, 8(0%)
minecraft.dropped.golden_sword: #14, 5(0%)
minecraft.mined.red_carpet: #14, 12(0%)
minecraft.crafted.beacon: #14, 1(0%)
minecraft.crafted.polished_deepslate_wall: #14, 2(0%)
minecraft.mined.quartz_pillar: #14, 1(0%)
minecraft.dropped.redstone_block: #14, 5(0%)
minecraft.picked_up.green_stained_glass: #14, 2(0%)
minecraft.crafted.birch_stairs: #14, 4(0%)
minecraft.used.tuff_stairs: #14, 1(0%)
minecraft.used.raw_iron_block: #14, 1(0%)
minecraft.crafted.bamboo_button: #14, 2(0%)
minecraft.picked_up.spruce_log: #15, 5854(3%)
minecraft.picked_up.chainmail_chestplate: #15, 3(2%)
minecraft.crafted.iron_nugget: #15, 3447(2%)
minecraft.picked_up.golden_chestplate: #15, 9(2%)
minecraft.picked_up.wheat: #15, 3353(2%)
minecraft.mined.flower_pot: #15, 6(2%)
minecraft.picked_up.white_bed: #15, 111(2%)
minecraft.picked_up.pointed_dripstone: #15, 593(2%)
minecraft.mined.dandelion: #15, 120(2%)
minecraft.picked_up.iron_helmet: #15, 3(2%)
minecraft.crafted.mangrove_door: #15, 3(2%)
minecraft.picked_up.white_shulker_box: #15, 107(1%)
minecraft.used.redstone_lamp: #15, 39(2%)
minecraft.picked_up.spruce_door: #15, 4(2%)
minecraft.mined.white_shulker_box: #15, 95(1%)
minecraft.used.pointed_dripstone: #15, 186(1%)
minecraft.picked_up.cobbled_deepslate: #15, 11171(1%)
minecraft.mined.spruce_leaves: #15, 1075(1%)
minecraft.crafted.spruce_fence: #15, 279(1%)
minecraft.custom.traded_with_villager: #15, 5858(1%)
minecraft.crafted.bookshelf: #15, 70(1%)
minecraft.picked_up.lapis_lazuli: #15, 1295(1%)
minecraft.used.oak_slab: #15, 86(1%)
minecraft.picked_up.dragon_head: #15, 4(1%)
minecraft.mined.pitcher_plant: #15, 2(1%)
minecraft.crafted.mossy_cobblestone_slab: #15, 12(1%)
minecraft.picked_up.spruce_wood: #15, 17(1%)
minecraft.used.cyan_bed: #15, 12(1%)
minecraft.mined.red_mushroom: #15, 6(1%)
minecraft.mined.basalt: #15, 688(1%)
minecraft.used.oak_stairs: #15, 28(1%)
minecraft.crafted.yellow_shulker_box: #15, 2(1%)
minecraft.mined.smooth_quartz_slab: #15, 15(1%)
minecraft.crafted.coal_block: #15, 115(0%)
minecraft.dropped.oak_leaves: #15, 37(0%)
minecraft.killed.rabbit: #15, 1(1%)
minecraft.used.dark_oak_planks: #15, 101(0%)
minecraft.dropped.melon_seeds: #15, 4(1%)
minecraft.crafted.andesite_slab: #15, 26(0%)
minecraft.crafted.stone_hoe: #15, 1(0%)
minecraft.used.white_stained_glass_pane: #15, 57(0%)
minecraft.crafted.smooth_quartz: #15, 64(0%)
minecraft.picked_up.mossy_cobblestone_slab: #15, 2(0%)
minecraft.picked_up.nether_star: #15, 1(0%)
minecraft.used.wither_skeleton_skull: #15, 3(0%)
minecraft.picked_up.quartz_pillar: #15, 1(0%)
minecraft.used.netherite_shovel: #15, 4060(0%)
minecraft.crafted.raw_iron: #15, 9(0%)
minecraft.used.bamboo_button: #15, 2(0%)
minecraft.crafted.spruce_planks: #16, 17884(3%)
minecraft.used.item_frame: #16, 210(2%)
minecraft.crafted.diamond_chestplate: #16, 2(2%)
minecraft.custom.pot_flower: #16, 37(2%)
minecraft.mined.white_bed: #16, 109(2%)
minecraft.used.ender_chest: #16, 285(2%)
minecraft.used.flower_pot: #16, 43(2%)
minecraft.picked_up.chainmail_helmet: #16, 2(2%)
minecraft.picked_up.tripwire_hook: #16, 10(2%)
minecraft.crafted.item_frame: #16, 161(1%)
minecraft.picked_up.ender_chest: #16, 285(1%)
minecraft.used.chiseled_bookshelf: #16, 36(2%)
minecraft.used.stone_stairs: #16, 90(1%)
minecraft.picked_up.red_wool: #16, 77(1%)
minecraft.picked_up.stone_slab: #16, 139(1%)
minecraft.crafted.chiseled_bookshelf: #16, 36(1%)
minecraft.picked_up.beef: #16, 303(1%)
minecraft.mined.mud: #16, 2430(1%)
minecraft.picked_up.cod: #16, 153(1%)
minecraft.dropped.stone_axe: #16, 1(1%)
minecraft.picked_up.magma_cream: #16, 39(1%)
minecraft.crafted.lapis_block: #16, 102(1%)
minecraft.mined.dark_oak_stairs: #16, 14(1%)
minecraft.dropped.fishing_rod: #16, 4(1%)
minecraft.used.spruce_sapling: #16, 300(1%)
minecraft.picked_up.spruce_leaves: #16, 384(1%)
minecraft.picked_up.pufferfish: #16, 32(1%)
minecraft.picked_up.raw_gold: #16, 294(1%)
minecraft.picked_up.stone_stairs: #16, 17(1%)
minecraft.mined.terracotta: #16, 1112(1%)
minecraft.custom.bell_ring: #16, 7(1%)
minecraft.crafted.coal: #16, 459(1%)
minecraft.crafted.tuff_brick_slab: #16, 18(1%)
minecraft.picked_up.peony: #16, 32(1%)
minecraft.mined.purple_shulker_box: #16, 20(1%)
