stat, rank, value, (percentage) 
minecraft.dropped.sculk_sensor: #6, 2(2%)
minecraft.used.waxed_oxidized_copper: #7, 516(5%)
minecraft.crafted.light_gray_bed: #6, 3(1%)
minecraft.picked_up.warped_hyphae: #6, 6(2%)
minecraft.used.birch_log: #7, 628(5%)
minecraft.mined.dandelion: #7, 326(5%)
minecraft.used.blue_concrete: #6, 38(1%)
minecraft.used.campfire: #7, 179(5%)
minecraft.picked_up.cut_copper_stairs: #6, 6(2%)
minecraft.crafted.dried_kelp_block: #6, 22(1%)
minecraft.used.green_terracotta: #7, 385(6%)
minecraft.crafted.pink_terracotta: #6, 144(1%)
minecraft.killed.cow: #7, 491(4%)
minecraft.used.cut_copper_stairs: #6, 12(1%)
minecraft.mined.red_carpet: #6, 25(0%)
minecraft.mined.cherry_stairs: #6, 2(1%)
minecraft.used.potion: #7, 1651(3%)
minecraft.crafted.purple_banner: #6, 1(1%)
minecraft.used.stripped_spruce_log: #7, 648(4%)
minecraft.picked_up.candle: #7, 79(6%)
minecraft.picked_up.light_gray_banner: #6, 1(1%)
minecraft.used.wheat_seeds: #7, 8881(4%)
minecraft.picked_up.red_carpet: #6, 28(0%)
minecraft.picked_up.polished_blackstone_button: #7, 13(6%)
minecraft.crafted.lime_banner: #6, 1(0%)
minecraft.picked_up.gold_ore: #7, 76(4%)
minecraft.dropped.diamond_block: #7, 68(4%)
minecraft.dropped.tnt: #7, 134(5%)
minecraft.used.iron_door: #7, 33(4%)
minecraft.mined.gold_ore: #7, 141(4%)
minecraft.crafted.raw_iron_block: #7, 229(4%)
minecraft.picked_up.deepslate_lapis_ore: #7, 129(3%)
minecraft.used.glass_bottle: #7, 1649(3%)
minecraft.mined.iron_door: #7, 27(4%)
minecraft.mined.big_dripleaf_stem: #7, 9(5%)
minecraft.picked_up.stone_axe: #7, 2(5%)
minecraft.picked_up.stripped_oak_log: #7, 262(3%)
minecraft.mined.cactus: #7, 73(3%)
minecraft.mined.stripped_oak_log: #7, 264(3%)
minecraft.used.mossy_stone_bricks: #7, 239(4%)
minecraft.used.waxed_oxidized_copper_bulb: #7, 31(5%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #7, 119(5%)
minecraft.used.warped_wart_block: #7, 89(4%)
minecraft.crafted.bamboo_pressure_plate: #7, 6(6%)
minecraft.crafted.mud_brick_wall: #7, 112(4%)
minecraft.used.brush: #7, 105(5%)
minecraft.picked_up.end_stone_bricks: #7, 93(3%)
minecraft.mined.granite_stairs: #7, 5(5%)
minecraft.mined.oak_door: #7, 6(4%)
minecraft.mined.mud_brick_slab: #7, 31(4%)
minecraft.crafted.dark_oak_door: #7, 12(4%)
minecraft.used.oak_wood: #7, 361(3%)
minecraft.dropped.cyan_bed: #7, 1(5%)
minecraft.picked_up.sunflower: #8, 1047(6%)
minecraft.mined.brown_concrete: #7, 73(4%)
minecraft.mined.dark_oak_wall_sign: #7, 6(4%)
minecraft.dropped.spore_blossom: #7, 2(6%)
minecraft.crafted.netherite_shovel: #7, 1(5%)
minecraft.used.crimson_stem: #7, 83(3%)
minecraft.used.orange_concrete_powder: #7, 599(3%)
minecraft.dropped.cherry_planks: #7, 12(4%)
minecraft.dropped.purpur_stairs: #7, 6(4%)
minecraft.picked_up.stone_button: #8, 176(6%)
