stat, rank, value, (percentage) 
minecraft.picked_up.host_armor_trim_smithing_template: #1, 8(35%)
minecraft.picked_up.orange_concrete: #2, 1241(21%)
minecraft.dropped.polished_deepslate: #2, 154(23%)
minecraft.used.azalea: #2, 558(16%)
minecraft.picked_up.heart_pottery_sherd: #1, 9(30%)
minecraft.picked_up.wither_rose: #2, 1318(19%)
minecraft.dropped.amethyst_cluster: #1, 13(27%)
minecraft.picked_up.skull_pottery_sherd: #1, 17(34%)
minecraft.dropped.turtle_egg: #1, 21(34%)
minecraft.picked_up.pink_concrete: #2, 1920(20%)
minecraft.dropped.closed_eyeblossom: #1, 51(78%)
minecraft.picked_up.diorite: #2, 35098(13%)
minecraft.picked_up.light_blue_glazed_terracotta: #1, 30(39%)
minecraft.dropped.chiseled_tuff_bricks: #1, 86(12%)
minecraft.killed.pufferfish: #1, 24(15%)
minecraft.picked_up.pink_stained_glass: #2, 203(33%)
minecraft.picked_up.orange_stained_glass: #2, 303(19%)
minecraft.picked_up.chiseled_copper: #2, 72(23%)
minecraft.used.iron_boots: #1, 4(25%)
minecraft.dropped.mud_brick_stairs: #1, 9(38%)
minecraft.used.lightning_rod: #2, 970(15%)
minecraft.used.oxidized_copper: #2, 1599(15%)
minecraft.killed_by.creaking: #1, 4(44%)
minecraft.crafted.flower_pot: #2, 489(13%)
minecraft.dropped.stripped_oak_wood: #1, 6(32%)
minecraft.crafted.golden_chestplate: #2, 20(27%)
minecraft.dropped.brick_slab: #1, 19(37%)
minecraft.picked_up.filled_map: #2, 2186(12%)
minecraft.dropped.acacia_fence_gate: #1, 16(73%)
minecraft.picked_up.brewer_pottery_sherd: #1, 8(73%)
minecraft.mined.soul_campfire: #2, 19(29%)
minecraft.used.polished_deepslate_wall: #2, 1317(16%)
minecraft.dropped.light_blue_bed: #1, 3(43%)
minecraft.used.firefly_bush: #2, 268(20%)
minecraft.picked_up.blade_pottery_sherd: #1, 9(53%)
minecraft.crafted.waxed_cut_copper_stairs: #1, 142(42%)
minecraft.dropped.end_stone_bricks: #2, 139(24%)
minecraft.crafted.lightning_rod: #2, 972(14%)
minecraft.picked_up.nether_quartz_ore: #2, 1874(13%)
minecraft.used.dried_kelp: #1, 35(26%)
minecraft.crafted.acacia_sign: #2, 132(15%)
minecraft.dropped.brown_mushroom: #2, 103(16%)
minecraft.mined.wither_skeleton_wall_skull: #1, 5(42%)
minecraft.mined.dead_tube_coral: #1, 27(69%)
minecraft.mined.pumpkin_stem: #2, 71(14%)
minecraft.used.birch_fence_gate: #2, 203(24%)
minecraft.picked_up.copper_bulb: #2, 84(17%)
minecraft.dropped.sand: #3, 9354(17%)
minecraft.picked_up.mourner_pottery_sherd: #1, 13(68%)
minecraft.dropped.leather_helmet: #2, 28(11%)
minecraft.picked_up.granite_slab: #2, 120(23%)
minecraft.picked_up.explorer_pottery_sherd: #1, 10(40%)
minecraft.killed_by.husk: #1, 9(50%)
minecraft.picked_up.raiser_armor_trim_smithing_template: #1, 5(33%)
minecraft.dropped.copper_door: #1, 6(67%)
minecraft.dropped.mangrove_slab: #2, 86(21%)
minecraft.crafted.waxed_cut_copper: #1, 154(40%)
minecraft.crafted.diorite: #1, 10174(99%)
minecraft.dropped.cut_red_sandstone: #1, 37(49%)
minecraft.custom.interact_with_brewingstand: #2, 1782(12%)
minecraft.dropped.pink_stained_glass_pane: #1, 49(98%)
minecraft.dropped.flower_pot: #2, 54(18%)
minecraft.crafted.gray_bed: #2, 30(24%)
minecraft.mined.acacia_leaves: #2, 3764(13%)
minecraft.dropped.acacia_button: #1, 11(48%)
minecraft.mined.quartz_bricks: #2, 114(32%)
minecraft.mined.warped_fungus: #3, 234(17%)
minecraft.picked_up.dead_fire_coral: #1, 20(95%)
minecraft.mined.dead_fire_coral: #1, 19(95%)
minecraft.mined.soul_torch: #1, 9(31%)
minecraft.dropped.polished_granite_stairs: #1, 13(93%)
minecraft.picked_up.gold_block: #2, 1037(12%)
minecraft.dropped.pink_bed: #1, 25(93%)
minecraft.dropped.mangrove_propagule: #2, 80(20%)
minecraft.picked_up.milk_bucket: #2, 33(17%)
minecraft.killed.tropical_fish: #2, 87(26%)
minecraft.crafted.melon_seeds: #2, 259(17%)
minecraft.picked_up.nether_bricks: #2, 1053(13%)
minecraft.picked_up.miner_pottery_sherd: #1, 15(45%)
minecraft.crafted.sandstone: #2, 830(15%)
minecraft.picked_up.polished_deepslate_wall: #2, 198(13%)
minecraft.picked_up.arms_up_pottery_sherd: #1, 6(60%)
minecraft.dropped.birch_fence: #2, 41(31%)
minecraft.dropped.twisting_vines: #1, 11(26%)
minecraft.dropped.resin_brick: #1, 8(89%)
minecraft.picked_up.water_bucket: #2, 105(10%)
minecraft.mined.brick_slab: #2, 30(20%)
minecraft.mined.mud_brick_stairs: #2, 61(18%)
minecraft.used.fire_coral: #2, 71(31%)
minecraft.mined.mud: #3, 38249(15%)
minecraft.crafted.bubble_coral_block: #1, 7(88%)
minecraft.picked_up.dead_tube_coral: #1, 26(58%)
minecraft.dropped.potion: #2, 404(11%)
