stat, rank, value, (percentage) 
minecraft.picked_up.beetroot_seeds: #3, 4270(15%)
minecraft.dropped.cookie: #2, 625(15%)
minecraft.picked_up.music_disc_ward: #1, 16(27%)
minecraft.crafted.barrel: #2, 1135(12%)
minecraft.mined.light_gray_stained_glass_pane: #2, 55(17%)
minecraft.dropped.red_candle: #1, 16(31%)
minecraft.picked_up.gray_stained_glass: #2, 238(18%)
minecraft.mined.dried_ghast: #2, 56(29%)
minecraft.crafted.firefly_bush: #1, 12(92%)
minecraft.used.glow_berries: #2, 267(13%)
minecraft.dropped.light_gray_concrete: #2, 102(28%)
minecraft.mined.oak_planks: #2, 869(11%)
minecraft.dropped.cobblestone_slab: #3, 354(21%)
minecraft.mined.vine: #2, 1721(11%)
minecraft.picked_up.heavy_core: #2, 17(18%)
minecraft.picked_up.spruce_stairs: #2, 671(11%)
minecraft.picked_up.birch_trapdoor: #2, 74(15%)
minecraft.used.green_banner: #2, 29(17%)
minecraft.mined.waxed_exposed_copper_trapdoor: #2, 94(21%)
minecraft.used.orange_banner: #2, 52(17%)
minecraft.used.spruce_pressure_plate: #2, 53(16%)
minecraft.dropped.waxed_exposed_copper_bulb: #1, 4(33%)
minecraft.picked_up.mangrove_stairs: #2, 154(13%)
minecraft.custom.clean_armor: #1, 12(41%)
minecraft.used.oak_chest_boat: #1, 3(27%)
minecraft.used.granite_wall: #2, 269(19%)
minecraft.crafted.acacia_stairs: #3, 512(18%)
minecraft.picked_up.green_dye: #2, 968(10%)
minecraft.used.dark_prismarine_stairs: #2, 197(20%)
minecraft.used.poisonous_potato: #1, 2(40%)
minecraft.killed.bogged: #2, 499(16%)
minecraft.used.orange_terracotta: #2, 2292(12%)
minecraft.picked_up.snort_pottery_sherd: #1, 9(26%)
minecraft.picked_up.melon_slice: #3, 8292(13%)
minecraft.custom.fill_cauldron: #2, 96(10%)
minecraft.dropped.gold_nugget: #3, 2194(14%)
minecraft.crafted.player_head: #2, 1800(13%)
minecraft.picked_up.gray_stained_glass_pane: #2, 76(21%)
minecraft.picked_up.brick_wall: #2, 37(21%)
minecraft.picked_up.cyan_concrete_powder: #3, 781(22%)
minecraft.picked_up.yellow_glazed_terracotta: #2, 82(28%)
minecraft.killed.piglin_brute: #2, 42(21%)
minecraft.mined.dead_brain_coral_wall_fan: #1, 3(75%)
minecraft.broken.diamond_axe: #1, 2(50%)
minecraft.picked_up.spruce_door: #2, 27(11%)
minecraft.dropped.brown_dye: #2, 72(13%)
minecraft.crafted.oxidized_copper_trapdoor: #2, 162(15%)
minecraft.used.blue_orchid: #2, 93(27%)
minecraft.used.spruce_stairs: #2, 1638(9%)
minecraft.picked_up.carrot: #3, 9342(12%)
minecraft.picked_up.cyan_concrete: #2, 387(13%)
minecraft.picked_up.dark_prismarine_stairs: #2, 62(24%)
minecraft.picked_up.magenta_concrete: #2, 738(16%)
minecraft.picked_up.yellow_dye: #3, 452(12%)
minecraft.picked_up.clay: #2, 2882(10%)
minecraft.custom.inspect_dropper: #4, 6458(12%)
minecraft.mined.player_head: #2, 287(9%)
minecraft.mined.birch_sapling: #2, 32(14%)
minecraft.picked_up.granite_stairs: #2, 22(16%)
