stat, rank, value, (percentage) 
minecraft.mined.flowering_azalea_leaves: #2, 5964(14%)
minecraft.picked_up.spruce_fence: #2, 747(12%)
minecraft.dropped.brush: #1, 5(25%)
minecraft.mined.potted_pink_tulip: #1, 4(67%)
minecraft.dropped.cobbled_deepslate_stairs: #2, 96(27%)
minecraft.crafted.glass: #2, 20720(12%)
minecraft.mined.nether_bricks: #2, 866(15%)
minecraft.dropped.oak_trapdoor: #2, 46(16%)
minecraft.picked_up.emerald_block: #2, 1463(14%)
minecraft.crafted.sentry_armor_trim_smithing_template: #1, 122(66%)
minecraft.crafted.painting: #2, 323(13%)
minecraft.mined.azalea_leaves: #2, 17480(14%)
minecraft.picked_up.stone_brick_stairs: #2, 619(13%)
minecraft.picked_up.magma_cream: #2, 515(14%)
minecraft.used.stone_brick_stairs: #2, 1333(12%)
minecraft.dropped.pale_oak_fence: #1, 165(98%)
minecraft.picked_up.netherite_helmet: #2, 38(14%)
minecraft.picked_up.white_tulip: #3, 985(16%)
minecraft.dropped.magenta_banner: #1, 32(97%)
minecraft.dropped.stripped_cherry_log: #1, 10(32%)
minecraft.used.ancient_debris: #2, 14(33%)
minecraft.picked_up.purple_concrete: #2, 978(23%)
minecraft.custom.damage_taken: #2, 22991466(7%)
minecraft.picked_up.rabbit_foot: #2, 9(24%)
minecraft.picked_up.purple_wool: #3, 1598(19%)
minecraft.crafted.lantern: #2, 930(12%)
minecraft.dropped.stone_slab: #2, 672(13%)
minecraft.used.orange_carpet: #2, 308(17%)
