stat, rank, value, (percentage) 
minecraft.picked_up.white_terracotta: #3, 3253(13%)
minecraft.picked_up.black_candle: #2, 32(34%)
minecraft.crafted.orange_wool: #3, 448(16%)
minecraft.dropped.shulker_shell: #2, 482(16%)
minecraft.used.villager_spawn_egg: #1, 12(100%)
minecraft.used.chainmail_boots: #1, 1(100%)
minecraft.broken.golden_chestplate: #1, 1(50%)
minecraft.broken.iron_boots: #1, 1(20%)
minecraft.broken.leather_leggings: #1, 1(25%)
minecraft.broken.wooden_pickaxe: #1, 1(50%)
minecraft.dropped.diamond_ore: #1, 1(14%)
minecraft.dropped.villager_spawn_egg: #1, 2(50%)
minecraft.dropped.dune_armor_trim_smithing_template: #1, 2(50%)
minecraft.dropped.magenta_bundle: #1, 1(50%)
minecraft.picked_up.magenta_bundle: #1, 1(50%)
minecraft.picked_up.eye_armor_trim_smithing_template: #1, 1(50%)
minecraft.picked_up.resin_brick_slab: #1, 21(100%)
minecraft.picked_up.villager_spawn_egg: #1, 2(50%)
minecraft.crafted.white_harness: #1, 1(100%)
minecraft.crafted.wayfinder_armor_trim_smithing_template: #1, 34(100%)
minecraft.crafted.eye_armor_trim_smithing_template: #1, 30(100%)
minecraft.mined.resin_brick_slab: #1, 25(100%)
minecraft.mined.vault: #1, 5(100%)
minecraft.mined.dead_fire_coral_wall_fan: #1, 3(100%)
minecraft.mined.cherry_door: #1, 1(50%)
minecraft.broken.iron_chestplate: #1, 1(33%)
minecraft.picked_up.mangrove_log: #3, 4968(12%)
minecraft.used.cherry_fence_gate: #2, 51(33%)
minecraft.picked_up.cobblestone_stairs: #2, 332(8%)
minecraft.crafted.smooth_sandstone_slab: #2, 432(19%)
minecraft.used.glowstone: #3, 1042(14%)
minecraft.crafted.gray_stained_glass: #3, 3544(17%)
minecraft.crafted.magenta_stained_glass: #2, 3464(19%)
minecraft.picked_up.observer: #3, 1311(12%)
minecraft.used.ice: #2, 2192(9%)
minecraft.used.white_dye: #3, 154(14%)
minecraft.mined.observer: #3, 1026(11%)
minecraft.crafted.red_stained_glass: #3, 3464(16%)
minecraft.crafted.silence_armor_trim_smithing_template: #2, 38(23%)
minecraft.crafted.iron_chestplate: #3, 17(11%)
minecraft.picked_up.tuff: #2, 22885(7%)
minecraft.dropped.wooden_shovel: #3, 26(19%)
minecraft.mined.mangrove_wood: #3, 78(18%)
minecraft.picked_up.pink_dye: #3, 76(11%)
minecraft.mined.warped_stem: #3, 2071(11%)
minecraft.mined.piston: #3, 478(11%)
minecraft.mined.polished_tuff: #3, 1215(11%)
minecraft.used.blast_furnace: #4, 428(16%)
minecraft.dropped.glass_bottle: #3, 2400(10%)
minecraft.picked_up.calibrated_sculk_sensor: #3, 41(14%)
minecraft.used.detector_rail: #3, 78(14%)
minecraft.crafted.stripped_oak_wood: #2, 381(34%)
minecraft.mined.sandstone: #3, 16001(11%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #2, 200(19%)
minecraft.mined.pale_oak_sapling: #2, 29(12%)
minecraft.used.trapped_chest: #2, 13(21%)
minecraft.crafted.polished_andesite_stairs: #3, 64(21%)
minecraft.mined.carved_pumpkin: #3, 691(10%)
minecraft.dropped.tuff: #3, 2360(11%)
minecraft.used.bamboo_chest_raft: #2, 12(27%)
minecraft.crafted.netherite_shovel: #2, 3(14%)
minecraft.used.cobbled_deepslate_slab: #3, 2274(13%)
minecraft.mined.yellow_wool: #2, 1363(8%)
