stat, rank, value, (percentage) 
minecraft.mined.tall_grass: #7, 854(5%)
minecraft.picked_up.raw_iron: #7, 5026(5%)
minecraft.dropped.copper_ingot: #6, 34(3%)
minecraft.killed.cat: #6, 1(8%)
minecraft.crafted.soul_torch: #6, 296(3%)
minecraft.used.andesite_slab: #6, 280(3%)
minecraft.picked_up.spruce_slab: #7, 715(5%)
minecraft.crafted.lapis_block: #7, 561(7%)
minecraft.mined.quartz_slab: #6, 61(3%)
minecraft.used.cyan_banner: #6, 7(5%)
minecraft.mined.oak_slab: #7, 102(6%)
minecraft.dropped.chipped_anvil: #6, 1(6%)
minecraft.killed.ender_dragon: #6, 1(5%)
minecraft.used.golden_pickaxe: #6, 24(3%)
minecraft.dropped.music_disc_otherside: #6, 1(6%)
minecraft.used.deepslate_iron_ore: #7, 217(6%)
minecraft.crafted.map: #6, 392(2%)
minecraft.picked_up.spruce_trapdoor: #7, 385(4%)
minecraft.used.fletching_table: #6, 8(3%)
minecraft.crafted.polished_deepslate_wall: #6, 45(2%)
minecraft.mined.iron_bars: #7, 154(6%)
minecraft.used.spruce_trapdoor: #7, 1161(4%)
minecraft.mined.emerald_ore: #7, 45(4%)
minecraft.used.copper_ore: #7, 945(6%)
minecraft.used.cut_copper_slab: #6, 278(2%)
minecraft.picked_up.jungle_door: #6, 2(3%)
minecraft.dropped.diamond_boots: #7, 9(5%)
minecraft.used.fire_coral_fan: #6, 10(2%)
minecraft.used.iron_door: #7, 33(5%)
minecraft.dropped.nautilus_shell: #6, 2(3%)
minecraft.crafted.raw_copper: #7, 6552(7%)
minecraft.used.tube_coral_block: #6, 28(2%)
minecraft.mined.smooth_sandstone_stairs: #6, 28(2%)
