stat, rank, value, (percentage) 
minecraft.used.cyan_dye: #2, 53(12%)
minecraft.broken.golden_pickaxe: #2, 4(21%)
minecraft.picked_up.iron_axe: #3, 105(12%)
minecraft.dropped.suspicious_stew: #2, 52(13%)
minecraft.crafted.brick_wall: #3, 180(24%)
minecraft.picked_up.bamboo_planks: #2, 41(13%)
minecraft.crafted.waxed_weathered_cut_copper: #2, 148(28%)
minecraft.mined.detector_rail: #2, 28(13%)
minecraft.mined.warped_fence_gate: #2, 8(18%)
minecraft.picked_up.mud_brick_stairs: #3, 121(18%)
minecraft.dropped.sculk_catalyst: #3, 64(26%)
minecraft.dropped.brown_mushroom: #3, 147(14%)
minecraft.custom.damage_absorbed: #3, 2517(10%)
minecraft.crafted.blaze_powder: #3, 864(10%)
minecraft.mined.large_fern: #3, 409(12%)
minecraft.picked_up.sponge: #2, 1108(9%)
minecraft.crafted.cobblestone_stairs: #3, 296(13%)
minecraft.picked_up.warped_wart_block: #3, 6046(11%)
minecraft.crafted.diamond_sword: #3, 12(8%)
minecraft.picked_up.mangrove_button: #2, 9(16%)
minecraft.crafted.lime_banner: #2, 59(22%)
minecraft.picked_up.warped_fence_gate: #2, 8(17%)
minecraft.dropped.iron_axe: #3, 181(13%)
minecraft.used.nether_quartz_ore: #3, 1666(12%)
minecraft.killed.witch: #3, 75006(12%)
minecraft.mined.sponge: #2, 974(9%)
minecraft.used.blue_concrete: #3, 304(16%)
minecraft.dropped.redstone_ore: #2, 11(17%)
minecraft.picked_up.shroomlight: #3, 575(9%)
minecraft.dropped.polished_diorite_slab: #2, 10(38%)
minecraft.crafted.brown_wool: #2, 150(17%)
minecraft.dropped.mangrove_button: #2, 12(22%)
minecraft.picked_up.hay_block: #3, 625(11%)
minecraft.picked_up.nether_quartz_ore: #3, 1891(10%)
minecraft.crafted.red_sandstone_slab: #2, 36(30%)
minecraft.dropped.lime_shulker_box: #2, 2(25%)
minecraft.killed_by.ender_dragon: #2, 3(14%)
minecraft.mined.mangrove_wall_sign: #3, 23(17%)
minecraft.dropped.white_stained_glass_pane: #2, 64(15%)
minecraft.picked_up.chorus_flower: #3, 189(15%)
minecraft.mined.mud_brick_stairs: #3, 107(16%)
minecraft.crafted.oak_wood: #3, 894(12%)
minecraft.crafted.andesite_slab: #3, 1064(13%)
minecraft.dropped.deepslate_tile_slab: #3, 119(15%)
minecraft.mined.grindstone: #3, 50(10%)
minecraft.crafted.globe_banner_pattern: #2, 11(29%)
minecraft.picked_up.oak_sapling: #3, 3345(8%)
minecraft.used.smooth_red_sandstone_stairs: #2, 84(36%)
minecraft.crafted.polished_diorite_slab: #2, 146(13%)
minecraft.crafted.orange_concrete: #2, 280(24%)
minecraft.custom.raid_trigger: #2, 15219(11%)
minecraft.broken.iron_shovel: #3, 28(10%)
minecraft.picked_up.chorus_fruit: #3, 828(8%)
minecraft.crafted.dark_oak_fence: #3, 1318(9%)
minecraft.used.wet_sponge: #2, 945(9%)
minecraft.dropped.enchanted_book: #3, 158(12%)
minecraft.dropped.oak_pressure_plate: #2, 4(17%)
minecraft.mined.oak_sapling: #2, 67(6%)
minecraft.used.bamboo_trapdoor: #2, 119(14%)
minecraft.crafted.bamboo_stairs: #2, 12(27%)
minecraft.used.acacia_fence_gate: #2, 12(19%)
minecraft.dropped.deepslate_copper_ore: #2, 19(12%)
minecraft.dropped.apple: #3, 163(10%)
minecraft.dropped.hay_block: #2, 87(10%)
minecraft.used.nether_bricks: #4, 1461(14%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #2, 128(33%)
minecraft.crafted.mangrove_wood: #3, 1074(12%)
minecraft.dropped.carrot: #3, 3052(9%)
minecraft.picked_up.crossbow: #3, 153(10%)
minecraft.crafted.cookie: #2, 1172(18%)
