stat, rank, value, (percentage) 
minecraft.picked_up.dead_brain_coral: #2, 2(22%)
minecraft.dropped.polished_deepslate_wall: #2, 85(9%)
minecraft.picked_up.cherry_leaves: #3, 3007(12%)
minecraft.picked_up.stone_axe: #3, 8(10%)
minecraft.picked_up.clay_ball: #3, 14300(7%)
minecraft.killed.endermite: #3, 16(12%)
minecraft.picked_up.warped_planks: #4, 1361(11%)
minecraft.mined.gold_ore: #3, 511(8%)
minecraft.picked_up.poisonous_potato: #3, 17(10%)
minecraft.mined.sea_lantern: #4, 253(13%)
minecraft.used.sea_pickle: #3, 233(9%)
minecraft.picked_up.snow_block: #4, 9717(10%)
minecraft.broken.leather_helmet: #2, 1(25%)
minecraft.broken.golden_chestplate: #2, 1(33%)
minecraft.used.dead_tube_coral: #2, 4(33%)
minecraft.mined.prismarine: #3, 728(10%)
minecraft.custom.swim_one_cm: #4, 9478264(7%)
minecraft.used.tnt: #3, 6070(8%)
minecraft.picked_up.bucket: #4, 193(11%)
minecraft.crafted.light_gray_dye: #4, 3509(11%)
minecraft.used.lapis_ore: #3, 81(11%)
minecraft.used.golden_hoe: #2, 78(13%)
minecraft.mined.green_wool: #3, 159(11%)
minecraft.mined.diamond_ore: #3, 36(9%)
minecraft.crafted.light_gray_concrete: #2, 96(17%)
minecraft.picked_up.cyan_shulker_box: #4, 648(9%)
minecraft.killed_by.magma_cube: #2, 1(14%)
minecraft.picked_up.yellow_concrete: #4, 1333(11%)
minecraft.mined.wheat: #4, 3088(9%)
minecraft.used.lily_of_the_valley: #3, 20(14%)
minecraft.used.pink_wool: #3, 1058(11%)
minecraft.killed_by.evoker: #2, 1(10%)
minecraft.dropped.pufferfish_bucket: #2, 1(20%)
minecraft.picked_up.cut_copper: #4, 109(14%)
minecraft.picked_up.brain_coral: #3, 42(12%)
minecraft.picked_up.mangrove_log: #3, 1735(7%)
minecraft.picked_up.dragon_breath: #2, 23(19%)
minecraft.used.stone_axe: #3, 527(7%)
minecraft.dropped.lime_carpet: #3, 82(25%)
minecraft.used.cyan_shulker_box: #4, 767(8%)
minecraft.mined.brain_coral: #3, 39(10%)
minecraft.used.dead_brain_coral: #2, 2(33%)
minecraft.dropped.dead_horn_coral_fan: #2, 1(33%)
minecraft.crafted.birch_chest_boat: #2, 1(17%)
minecraft.picked_up.purple_carpet: #3, 3047(21%)
minecraft.mined.cyan_shulker_box: #4, 641(9%)
minecraft.mined.blue_stained_glass: #3, 49(18%)
minecraft.mined.black_stained_glass: #4, 613(12%)
minecraft.used.tinted_glass: #3, 3806(8%)
minecraft.used.lime_bed: #2, 27(5%)
minecraft.mined.magenta_concrete_powder: #2, 1(20%)
minecraft.used.firework_rocket: #5, 69817(8%)
minecraft.crafted.brown_shulker_box: #3, 22(7%)
minecraft.mined.pink_concrete_powder: #2, 224(8%)
minecraft.picked_up.bamboo: #4, 25221(9%)
minecraft.mined.bamboo_planks: #3, 6(13%)
minecraft.mined.dead_fire_coral_block: #2, 151(7%)
minecraft.dropped.nether_quartz_ore: #3, 196(9%)
minecraft.picked_up.lime_stained_glass: #4, 756(15%)
minecraft.used.birch_chest_boat: #2, 1(17%)
minecraft.used.birch_log: #4, 2342(8%)
minecraft.mined.carrots: #4, 1242(8%)
minecraft.picked_up.tube_coral_fan: #3, 175(8%)
minecraft.used.large_amethyst_bud: #3, 38(10%)
minecraft.used.copper_ore: #4, 1762(10%)
