stat, rank, value, (percentage) 
minecraft.used.oak_wood: #6, 247(5%)
minecraft.used.soul_campfire: #6, 21(7%)
minecraft.crafted.birch_planks: #6, 8368(3%)
minecraft.used.sponge: #6, 888(5%)
minecraft.mined.kelp_plant: #6, 420(3%)
minecraft.dropped.leather_helmet: #6, 9(3%)
minecraft.used.yellow_bed: #6, 40(4%)
minecraft.picked_up.brick: #6, 169(4%)
minecraft.picked_up.chiseled_stone_bricks: #6, 335(3%)
minecraft.picked_up.hanging_roots: #6, 130(5%)
minecraft.dropped.acacia_planks: #6, 24(4%)
minecraft.picked_up.crimson_sign: #6, 5(5%)
minecraft.mined.chiseled_stone_bricks: #6, 56(3%)
minecraft.mined.cyan_carpet: #6, 29(4%)
minecraft.used.quartz_slab: #6, 386(3%)
minecraft.dropped.axolotl_bucket: #6, 1(7%)
minecraft.picked_up.gray_bed: #6, 5(7%)
minecraft.picked_up.decorated_pot: #6, 14(4%)
minecraft.picked_up.spruce_log: #7, 12684(5%)
minecraft.used.spyglass: #6, 153(2%)
minecraft.used.dark_oak_stairs: #7, 725(5%)
minecraft.used.torchflower_seeds: #6, 12(4%)
minecraft.used.gray_bed: #6, 6(6%)
minecraft.crafted.netherite_boots: #6, 2(4%)
minecraft.crafted.black_dye: #7, 6162(5%)
minecraft.dropped.golden_helmet: #6, 11(2%)
minecraft.used.sandstone_stairs: #6, 56(4%)
minecraft.used.cobbled_deepslate: #7, 4946(5%)
minecraft.used.torchflower: #6, 5(4%)
minecraft.dropped.grass_block: #7, 1519(5%)
minecraft.used.oak_sapling: #6, 519(1%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #6, 1(5%)
minecraft.mined.warped_slab: #6, 69(2%)
minecraft.picked_up.raiser_armor_trim_smithing_template: #6, 1(5%)
minecraft.mined.mud_brick_wall: #6, 4(3%)
minecraft.picked_up.pufferfish: #6, 9(2%)
minecraft.crafted.mud_brick_wall: #6, 16(3%)
minecraft.used.light_blue_stained_glass: #6, 114(2%)
minecraft.mined.spruce_slab: #7, 442(5%)
minecraft.crafted.smooth_sandstone: #7, 602(8%)
minecraft.mined.magenta_terracotta: #6, 17(4%)
