stat, rank, value, (percentage) 
minecraft.picked_up.poisonous_potato: #1, 19(11%)
minecraft.mined.stone_brick_wall: #2, 105(15%)
minecraft.mined.jungle_fence_gate: #1, 9(20%)
minecraft.picked_up.crimson_door: #1, 6(25%)
minecraft.picked_up.deepslate_iron_ore: #2, 623(12%)
minecraft.picked_up.cyan_terracotta: #3, 3060(14%)
minecraft.dropped.cut_copper: #1, 46(74%)
minecraft.picked_up.yellow_banner: #1, 27(32%)
minecraft.mined.spruce_log: #3, 32054(14%)
minecraft.picked_up.iron_hoe: #1, 9(27%)
minecraft.mined.dripstone_block: #2, 1677(13%)
minecraft.mined.dark_prismarine: #2, 205(13%)
minecraft.crafted.pink_banner: #1, 10(71%)
minecraft.picked_up.howl_pottery_sherd: #1, 6(43%)
minecraft.picked_up.orange_banner: #1, 22(71%)
minecraft.picked_up.yellow_wool: #3, 1243(18%)
minecraft.crafted.mangrove_fence_gate: #2, 37(28%)
minecraft.picked_up.mycelium: #2, 3802(22%)
minecraft.picked_up.spruce_log: #3, 32911(12%)
minecraft.mined.magenta_concrete: #2, 267(22%)
minecraft.mined.poppy: #2, 369(10%)
minecraft.used.golden_helmet: #1, 6(33%)
minecraft.crafted.cyan_concrete_powder: #2, 8168(16%)
minecraft.mined.brown_wool: #2, 140(21%)
minecraft.dropped.warped_slab: #2, 128(33%)
minecraft.dropped.brain_coral_block: #1, 105(99%)
minecraft.picked_up.acacia_trapdoor: #2, 314(16%)
minecraft.picked_up.magenta_dye: #2, 270(27%)
minecraft.picked_up.white_dye: #2, 520(12%)
minecraft.picked_up.dead_brain_coral_block: #2, 852(29%)
minecraft.picked_up.sculk_sensor: #2, 585(12%)
minecraft.used.suspicious_stew: #2, 28(15%)
minecraft.mined.crimson_door: #1, 4(21%)
minecraft.picked_up.red_terracotta: #2, 4581(10%)
minecraft.picked_up.pink_glazed_terracotta: #2, 95(29%)
minecraft.mined.jungle_fence: #2, 33(26%)
minecraft.used.netherite_boots: #2, 64(16%)
minecraft.mined.skeleton_skull: #1, 12(31%)
minecraft.mined.birch_wood: #2, 33(26%)
minecraft.picked_up.brain_coral_block: #2, 607(24%)
minecraft.crafted.iron_pickaxe: #1, 26(6%)
minecraft.picked_up.dragon_egg: #2, 1211(19%)
minecraft.mined.smooth_red_sandstone: #1, 110(45%)
minecraft.used.gray_concrete: #2, 5233(14%)
minecraft.picked_up.bubble_coral_block: #2, 582(20%)
minecraft.dropped.jungle_log: #2, 511(19%)
minecraft.mined.player_head: #3, 144(11%)
minecraft.crafted.brain_coral_block: #1, 8(89%)
minecraft.crafted.horn_coral_block: #1, 8(89%)
minecraft.picked_up.trident: #2, 32(13%)
minecraft.dropped.lime_stained_glass: #2, 64(34%)
