stat, rank, value, (percentage) 
minecraft.mined.oak_sign: #2, 24(11%)
minecraft.dropped.waxed_exposed_cut_copper_slab: #1, 11(55%)
minecraft.picked_up.cherry_wood: #1, 70(81%)
minecraft.crafted.pink_glazed_terracotta: #2, 653(37%)
minecraft.crafted.cherry_planks: #2, 600(13%)
minecraft.picked_up.wild_armor_trim_smithing_template: #1, 2(40%)
minecraft.dropped.diamond_pickaxe: #3, 40(9%)
minecraft.crafted.oak_sign: #2, 264(9%)
minecraft.crafted.blue_concrete_powder: #2, 2536(15%)
minecraft.dropped.stick: #3, 9600(10%)
minecraft.crafted.brown_terracotta: #2, 693(16%)
minecraft.crafted.purple_glazed_terracotta: #2, 697(28%)
minecraft.crafted.diamond_axe: #2, 15(8%)
minecraft.crafted.green_terracotta: #2, 6198(12%)
minecraft.crafted.gray_concrete_powder: #2, 7696(13%)
minecraft.crafted.lime_terracotta: #2, 6754(11%)
minecraft.crafted.light_blue_dye: #3, 2519(13%)
minecraft.dropped.waxed_weathered_cut_copper_slab: #1, 3(30%)
minecraft.dropped.stripped_mangrove_wood: #1, 6(75%)
minecraft.picked_up.flower_banner_pattern: #1, 3(50%)
minecraft.dropped.acacia_wood: #2, 50(31%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #1, 144(37%)
minecraft.mined.brown_bed: #1, 46(73%)
minecraft.dropped.crimson_slab: #2, 92(18%)
minecraft.picked_up.acacia_leaves: #3, 2896(23%)
minecraft.dropped.black_carpet: #2, 127(20%)
minecraft.picked_up.tnt_minecart: #1, 5(71%)
minecraft.dropped.brown_bed: #1, 14(70%)
minecraft.crafted.light_gray_glazed_terracotta: #2, 913(40%)
minecraft.dropped.lead: #3, 55(14%)
minecraft.crafted.white_glazed_terracotta: #2, 605(30%)
minecraft.used.acacia_leaves: #2, 151(26%)
minecraft.picked_up.slime_block: #2, 1870(9%)
minecraft.mined.packed_mud: #2, 216(12%)
minecraft.picked_up.stone_axe: #2, 9(11%)
minecraft.dropped.lapis_block: #2, 179(33%)
minecraft.picked_up.light_gray_wool: #3, 1791(14%)
minecraft.dropped.warped_hyphae: #2, 112(33%)
minecraft.dropped.waxed_weathered_cut_copper_stairs: #1, 12(44%)
minecraft.crafted.quartz_block: #3, 13184(11%)
minecraft.dropped.sunflower: #3, 209(17%)
minecraft.dropped.deepslate_redstone_ore: #2, 57(17%)
minecraft.crafted.light_gray_dye: #3, 3959(13%)
minecraft.dropped.stone_axe: #3, 18(14%)
minecraft.used.grass_block: #2, 41515(7%)
minecraft.picked_up.chicken: #2, 3511(8%)
minecraft.crafted.gray_dye: #3, 4176(13%)
minecraft.dropped.smooth_quartz_slab: #2, 98(19%)
minecraft.mined.cyan_terracotta: #2, 1178(8%)
minecraft.picked_up.lilac: #3, 1556(12%)
minecraft.picked_up.feather: #2, 3058(7%)
minecraft.dropped.diamond_hoe: #2, 8(14%)
minecraft.dropped.polished_andesite: #2, 473(14%)
minecraft.used.iron_pickaxe: #2, 6377(7%)
minecraft.picked_up.diamond_ore: #2, 39(12%)
minecraft.crafted.cooked_cod: #2, 175(20%)
minecraft.picked_up.light_gray_concrete: #3, 4018(14%)
minecraft.picked_up.bucket: #3, 207(11%)
minecraft.picked_up.pearlescent_froglight: #3, 297(13%)
minecraft.picked_up.birch_sapling: #3, 2718(10%)
minecraft.picked_up.chiseled_quartz_block: #3, 57(22%)
minecraft.picked_up.clock: #2, 21(13%)
minecraft.used.acacia_slab: #3, 268(22%)
minecraft.picked_up.oak_planks: #3, 1864(9%)
minecraft.picked_up.spruce_stairs: #3, 595(10%)
minecraft.used.chorus_fruit: #3, 50(13%)
