stat, rank, value, (percentage) 
minecraft.mined.stripped_dark_oak_log: #8, 194(3%)
minecraft.used.stripped_dark_oak_log: #8, 148(3%)
minecraft.picked_up.nautilus_shell: #8, 11(3%)
minecraft.used.cracked_stone_bricks: #8, 236(3%)
minecraft.picked_up.lime_stained_glass: #8, 170(3%)
minecraft.crafted.conduit: #8, 1(6%)
minecraft.crafted.mossy_cobblestone_stairs: #8, 16(4%)
minecraft.picked_up.jungle_leaves: #8, 292(3%)
minecraft.dropped.iron_ore: #8, 66(2%)
minecraft.picked_up.yellow_bed: #8, 21(3%)
minecraft.used.yellow_bed: #8, 27(3%)
minecraft.picked_up.calcite: #9, 2552(5%)
minecraft.crafted.magenta_shulker_box: #8, 2(3%)
minecraft.picked_up.mossy_cobblestone_slab: #8, 16(2%)
minecraft.mined.redstone_torch: #8, 54(2%)
minecraft.crafted.wooden_axe: #8, 3(2%)
minecraft.picked_up.lime_concrete_powder: #8, 19(2%)
minecraft.picked_up.medium_amethyst_bud: #8, 57(3%)
minecraft.broken.stone_hoe: #8, 1(4%)
minecraft.broken.golden_pickaxe: #8, 1(5%)
minecraft.used.orange_concrete: #8, 294(3%)
minecraft.crafted.lime_stained_glass_pane: #8, 48(3%)
minecraft.used.orange_concrete_powder: #8, 360(2%)
minecraft.dropped.tropical_fish: #8, 32(1%)
minecraft.dropped.music_disc_cat: #8, 3(3%)
minecraft.crafted.green_concrete_powder: #8, 904(2%)
minecraft.crafted.stone_brick_slab: #8, 422(1%)
minecraft.crafted.tinted_glass: #8, 952(2%)
minecraft.picked_up.golden_sword: #8, 21(1%)
minecraft.picked_up.pumpkin_seeds: #8, 878(1%)
minecraft.crafted.brown_concrete_powder: #8, 136(2%)
minecraft.crafted.mossy_stone_brick_slab: #8, 6(3%)
minecraft.used.lime_terracotta: #8, 741(1%)
minecraft.dropped.yellow_terracotta: #8, 12(2%)
minecraft.picked_up.sponge: #8, 225(2%)
minecraft.mined.conduit: #8, 1(4%)
minecraft.dropped.golden_sword: #8, 21(2%)
minecraft.dropped.beef: #8, 19(2%)
minecraft.crafted.golden_apple: #8, 48(1%)
minecraft.killed.guardian: #8, 4(2%)
minecraft.mined.jungle_sapling: #8, 4(3%)
minecraft.used.wither_skeleton_skull: #8, 23(1%)
minecraft.dropped.polished_andesite_slab: #8, 16(2%)
minecraft.mined.pink_wool: #8, 27(2%)
minecraft.crafted.iron_shovel: #9, 18(4%)
minecraft.dropped.prismarine: #8, 20(2%)
minecraft.used.terracotta: #8, 295(1%)
minecraft.dropped.gold_ingot: #8, 259(1%)
minecraft.dropped.chainmail_boots: #8, 2(1%)
minecraft.dropped.slime_ball: #8, 117(1%)
minecraft.picked_up.smooth_basalt: #9, 1070(5%)
minecraft.crafted.mossy_cobblestone_wall: #8, 6(2%)
minecraft.used.light_blue_bed: #8, 3(2%)
minecraft.picked_up.mossy_cobblestone_wall: #8, 3(2%)
minecraft.dropped.vine: #8, 5(1%)
minecraft.dropped.oak_fence_gate: #8, 1(2%)
minecraft.mined.cake: #8, 1(2%)
minecraft.mined.green_bed: #8, 7(1%)
minecraft.dropped.emerald: #8, 623(0%)
minecraft.picked_up.green_bed: #8, 7(1%)
