stat, rank, value, (percentage) 
minecraft.used.stripped_spruce_wood: #1, 1031(33%)
minecraft.dropped.lily_of_the_valley: #1, 47(55%)
minecraft.used.purple_stained_glass: #1, 5442(34%)
minecraft.mined.light_gray_stained_glass_pane: #1, 108(32%)
minecraft.picked_up.light_gray_stained_glass_pane: #1, 297(28%)
minecraft.used.end_stone_bricks: #1, 814(34%)
minecraft.dropped.azure_bluet: #2, 235(31%)
minecraft.dropped.iron_axe: #1, 385(29%)
minecraft.mined.dark_oak_wall_sign: #1, 113(25%)
minecraft.picked_up.birch_boat: #1, 62(19%)
minecraft.crafted.spruce_fence_gate: #1, 658(23%)
minecraft.mined.infested_stone_bricks: #1, 128(60%)
minecraft.dropped.acacia_planks: #1, 181(34%)
minecraft.picked_up.netherite_sword: #1, 86(28%)
minecraft.killed.piglin_brute: #1, 324(67%)
minecraft.picked_up.deepslate_brick_stairs: #2, 1419(28%)
minecraft.dropped.sugar_cane: #1, 2239(23%)
minecraft.dropped.netherite_axe: #1, 25(31%)
minecraft.dropped.spruce_log: #1, 1837(20%)
minecraft.picked_up.netherite_axe: #1, 86(26%)
minecraft.dropped.diamond_hoe: #1, 19(33%)
minecraft.custom.strider_one_cm: #1, 1672628(58%)
minecraft.crafted.spruce_stairs: #1, 3804(19%)
minecraft.dropped.spore_blossom: #1, 23(74%)
minecraft.dropped.iron_ore: #1, 636(22%)
minecraft.mined.lily_of_the_valley: #1, 77(22%)
minecraft.picked_up.stone_sword: #2, 173(24%)
minecraft.picked_up.bubble_coral_fan: #2, 800(30%)
minecraft.mined.pumpkin_stem: #1, 52(46%)
minecraft.dropped.soul_torch: #1, 287(63%)
minecraft.used.white_dye: #1, 385(23%)
minecraft.crafted.purple_stained_glass_pane: #1, 1872(38%)
minecraft.crafted.fletching_table: #1, 55(35%)
minecraft.picked_up.hay_block: #1, 1231(22%)
minecraft.picked_up.tinted_glass: #1, 1441(24%)
minecraft.used.end_stone_brick_stairs: #1, 402(70%)
minecraft.dropped.golden_axe: #1, 26(70%)
minecraft.mined.brown_wool: #1, 230(35%)
minecraft.used.purple_stained_glass_pane: #1, 1871(45%)
minecraft.picked_up.flint_and_steel: #2, 269(22%)
minecraft.picked_up.stone_shovel: #1, 25(23%)
minecraft.picked_up.cobblestone_stairs: #1, 429(20%)
minecraft.picked_up.polished_blackstone_brick_stairs: #2, 1706(37%)
minecraft.dropped.mud_brick_slab: #1, 79(61%)
minecraft.dropped.torch: #1, 1814(15%)
minecraft.used.acacia_sign: #1, 220(30%)
minecraft.mined.red_nether_bricks: #1, 169(61%)
minecraft.custom.bell_ring: #1, 517(19%)
minecraft.mined.spruce_trapdoor: #2, 1242(19%)
minecraft.dropped.lime_concrete: #1, 175(48%)
minecraft.dropped.stone_pressure_plate: #2, 189(34%)
minecraft.picked_up.netherite_shovel: #1, 85(28%)
minecraft.killed.ghast: #1, 257(18%)
minecraft.dropped.purple_bed: #1, 39(80%)
