stat, rank, value, (percentage) 
minecraft.used.brown_glazed_terracotta: #3, 104(5%)
minecraft.mined.pointed_dripstone: #4, 190(6%)
minecraft.used.iron_bars: #5, 1993(9%)
minecraft.dropped.glow_lichen: #4, 128(9%)
minecraft.crafted.mangrove_sign: #4, 48(10%)
minecraft.killed.cave_spider: #5, 8675(10%)
minecraft.used.carrot_on_a_stick: #3, 2(6%)
minecraft.dropped.dark_oak_slab: #3, 85(2%)
minecraft.mined.smoker: #4, 12(13%)
minecraft.crafted.bamboo_trapdoor: #4, 104(12%)
minecraft.mined.stripped_spruce_log: #5, 1055(9%)
minecraft.mined.dark_oak_door: #4, 7(8%)
minecraft.crafted.jungle_hanging_sign: #3, 6(6%)
minecraft.crafted.gray_banner: #4, 30(12%)
minecraft.used.stripped_spruce_log: #5, 956(10%)
minecraft.mined.diorite_wall: #4, 22(10%)
minecraft.used.bamboo_trapdoor: #4, 107(12%)
minecraft.dropped.tropical_fish_bucket: #3, 1(6%)
minecraft.picked_up.jungle_hanging_sign: #3, 1(5%)
minecraft.crafted.wheat: #4, 5385(6%)
minecraft.picked_up.prismarine_brick_stairs: #3, 2(4%)
minecraft.dropped.muddy_mangrove_roots: #3, 20(2%)
minecraft.mined.waxed_weathered_cut_copper_slab: #3, 28(2%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #3, 28(2%)
minecraft.picked_up.polished_diorite_stairs: #4, 39(11%)
minecraft.used.big_dripleaf: #4, 47(6%)
minecraft.used.netherite_block: #3, 8(1%)
minecraft.crafted.acacia_fence_gate: #4, 13(12%)
minecraft.dropped.saddle: #4, 23(7%)
minecraft.dropped.tripwire_hook: #4, 7(10%)
minecraft.mined.waxed_cut_copper_stairs: #4, 17(12%)
minecraft.picked_up.clock: #4, 11(7%)
minecraft.dropped.jungle_wood: #3, 4(3%)
minecraft.used.leather_leggings: #4, 3(7%)
minecraft.crafted.white_candle: #3, 23(1%)
minecraft.crafted.light_gray_candle: #3, 18(1%)
minecraft.used.spruce_pressure_plate: #4, 24(6%)
minecraft.used.brown_bed: #3, 1(1%)
minecraft.dropped.orange_tulip: #3, 1(1%)
minecraft.dropped.snow: #5, 937(8%)
minecraft.crafted.red_banner: #4, 149(6%)
minecraft.dropped.stonecutter: #4, 4(8%)
minecraft.used.stripped_warped_stem: #4, 738(6%)
minecraft.mined.granite_stairs: #4, 9(12%)
minecraft.crafted.light_gray_bed: #4, 3(8%)
minecraft.used.jungle_door: #4, 8(9%)
minecraft.dropped.light_gray_wool: #4, 241(7%)
minecraft.used.birch_pressure_plate: #4, 12(9%)
minecraft.mined.nether_brick_fence: #4, 64(6%)
minecraft.dropped.dark_oak_leaves: #5, 81(11%)
minecraft.dropped.acacia_button: #4, 3(12%)
minecraft.picked_up.waxed_cut_copper_stairs: #4, 17(10%)
minecraft.used.golden_chestplate: #4, 1(14%)
minecraft.dropped.blue_shulker_box: #4, 1(14%)
minecraft.mined.ender_chest: #5, 1074(6%)
minecraft.broken.shears: #5, 30(7%)
minecraft.crafted.jungle_wood: #4, 177(6%)
minecraft.mined.mossy_cobblestone_slab: #4, 11(4%)
minecraft.used.iron_axe: #5, 2109(6%)
minecraft.crafted.dark_oak_pressure_plate: #4, 13(6%)
minecraft.mined.diorite: #5, 14458(5%)
minecraft.mined.warped_fence_gate: #4, 4(9%)
minecraft.used.blue_orchid: #4, 17(12%)
minecraft.crafted.nether_bricks: #4, 1621(5%)
minecraft.used.ender_chest: #5, 1083(6%)
minecraft.crafted.chainmail_boots: #4, 4(10%)
minecraft.crafted.iron_bars: #5, 2008(7%)
minecraft.used.deepslate: #5, 10458(6%)
minecraft.used.light_gray_candle: #4, 18(10%)
