stat, rank, value, (percentage) 
minecraft.crafted.oak_hanging_sign: #1, 12(13%)
minecraft.dropped.crimson_pressure_plate: #1, 4(80%)
minecraft.used.orange_concrete: #2, 1871(16%)
minecraft.mined.spruce_pressure_plate: #2, 15(18%)
minecraft.picked_up.polished_deepslate_wall: #2, 427(12%)
minecraft.dropped.polished_diorite_slab: #1, 10(38%)
minecraft.picked_up.crimson_fence: #2, 105(19%)
minecraft.used.torchflower_seeds: #2, 59(19%)
minecraft.crafted.light_blue_shulker_box: #2, 154(11%)
minecraft.used.blue_stained_glass_pane: #2, 75(25%)
minecraft.picked_up.orange_shulker_box: #3, 556(13%)
minecraft.picked_up.egg: #3, 3684(11%)
minecraft.used.orange_shulker_box: #3, 559(13%)
minecraft.picked_up.bamboo_raft: #2, 35(15%)
minecraft.mined.birch_leaves: #3, 9750(11%)
minecraft.dropped.mud: #2, 159(15%)
minecraft.crafted.iron_block: #3, 17629(12%)
minecraft.used.oak_stairs: #2, 304(9%)
minecraft.mined.potted_spruce_sapling: #1, 2(29%)
minecraft.used.bricks: #2, 1566(12%)
minecraft.mined.decorated_pot: #2, 50(17%)
minecraft.used.exposed_cut_copper_stairs: #2, 87(27%)
minecraft.dropped.brick: #2, 559(17%)
minecraft.mined.orange_shulker_box: #3, 553(13%)
minecraft.used.soul_campfire: #2, 55(18%)
minecraft.crafted.dark_oak_planks: #3, 38160(10%)
minecraft.mined.lime_concrete_powder: #2, 26(14%)
minecraft.mined.red_wall_banner: #2, 44(16%)
minecraft.used.flowering_azalea: #3, 262(14%)
minecraft.crafted.acacia_planks: #3, 8544(13%)
minecraft.mined.potted_cherry_sapling: #1, 2(67%)
minecraft.broken.golden_sword: #1, 2(67%)
minecraft.used.dead_brain_coral: #1, 4(67%)
minecraft.used.jungle_sapling: #2, 353(15%)
minecraft.dropped.light_gray_wool: #2, 606(16%)
minecraft.picked_up.gray_concrete_powder: #3, 2374(16%)
minecraft.used.waxed_cut_copper_stairs: #2, 122(25%)
minecraft.picked_up.chiseled_stone_bricks: #3, 1469(14%)
minecraft.picked_up.dirt: #3, 102419(9%)
minecraft.mined.white_bed: #3, 257(11%)
minecraft.mined.acacia_pressure_plate: #1, 5(42%)
minecraft.picked_up.granite: #2, 16710(7%)
minecraft.picked_up.light_blue_dye: #2, 105(19%)
minecraft.mined.spruce_button: #3, 27(17%)
minecraft.used.black_banner: #2, 93(20%)
minecraft.picked_up.dark_oak_sign: #3, 131(11%)
minecraft.mined.green_wool: #2, 182(13%)
minecraft.used.bone_meal: #3, 34309(10%)
minecraft.mined.purpur_block: #2, 484(11%)
minecraft.picked_up.polished_deepslate_slab: #3, 773(12%)
minecraft.used.white_terracotta: #3, 2986(14%)
minecraft.picked_up.lantern: #3, 736(9%)
minecraft.used.stone: #3, 85243(9%)
minecraft.dropped.dark_oak_boat: #2, 11(15%)
minecraft.picked_up.white_bed: #3, 265(11%)
minecraft.crafted.polished_deepslate_stairs: #3, 453(15%)
minecraft.picked_up.blue_ice: #3, 1865(18%)
minecraft.mined.carrots: #3, 1526(10%)
minecraft.crafted.cut_copper_stairs: #2, 108(13%)
minecraft.dropped.crimson_hyphae: #2, 64(25%)
minecraft.crafted.lantern: #3, 1304(10%)
minecraft.broken.golden_boots: #1, 1(50%)
minecraft.killed_by.husk: #1, 1(50%)
minecraft.used.dead_horn_coral: #1, 3(100%)
minecraft.used.tall_grass: #1, 1(100%)
minecraft.dropped.armor_stand: #2, 28(18%)
minecraft.dropped.iron_bars: #2, 391(13%)
minecraft.used.lime_concrete_powder: #3, 2071(14%)
minecraft.picked_up.mangrove_roots: #3, 5427(13%)
minecraft.picked_up.orange_wool: #3, 544(15%)
minecraft.crafted.crimson_door: #2, 15(14%)
minecraft.crafted.dark_oak_sign: #3, 240(13%)
minecraft.mined.white_wall_banner: #2, 14(12%)
minecraft.used.jack_o_lantern: #2, 1476(12%)
minecraft.mined.furnace: #3, 270(9%)
minecraft.mined.cut_copper: #3, 91(14%)
minecraft.dropped.mangrove_leaves: #2, 372(18%)
minecraft.used.waxed_copper_block: #3, 473(17%)
minecraft.mined.azalea_leaves: #3, 8413(10%)
minecraft.mined.dark_oak_planks: #3, 764(9%)
minecraft.used.orange_banner: #2, 13(30%)
minecraft.picked_up.sunflower: #3, 2105(10%)
minecraft.mined.red_mushroom_block: #3, 8515(11%)
minecraft.mined.spruce_fence: #3, 348(10%)
minecraft.crafted.stripped_mangrove_wood: #2, 216(34%)
minecraft.mined.lantern: #3, 105(9%)
minecraft.picked_up.tinted_glass: #3, 781(13%)
minecraft.picked_up.pitcher_pod: #2, 266(11%)
minecraft.crafted.polished_deepslate: #3, 9861(10%)
minecraft.mined.jungle_sapling: #2, 29(18%)
