stat, rank, value, (percentage) 
minecraft.crafted.purpur_block: #1, 380(53%)
minecraft.used.calcite: #2, 3078(15%)
minecraft.used.waxed_copper_block: #2, 614(23%)
minecraft.mined.diamond_block: #3, 659(19%)
minecraft.mined.iron_door: #2, 92(16%)
minecraft.crafted.gray_concrete: #1, 432(43%)
minecraft.mined.dark_prismarine_stairs: #1, 200(43%)
minecraft.used.deepslate_tiles: #2, 9059(13%)
minecraft.dropped.deepslate_redstone_ore: #1, 63(18%)
minecraft.crafted.purple_stained_glass_pane: #2, 1328(27%)
minecraft.mined.bookshelf: #2, 2748(13%)
minecraft.mined.stripped_warped_stem: #2, 2668(16%)
minecraft.dropped.raw_iron: #3, 379(17%)
minecraft.mined.white_carpet: #2, 1532(15%)
minecraft.crafted.cut_red_sandstone: #1, 64(50%)
minecraft.used.yellow_carpet: #2, 3769(19%)
minecraft.mined.orange_terracotta: #3, 11659(18%)
minecraft.mined.waxed_copper_block: #2, 259(21%)
minecraft.crafted.quartz_slab: #2, 934(20%)
minecraft.picked_up.black_carpet: #2, 19018(18%)
minecraft.mined.dispenser: #2, 225(13%)
minecraft.mined.warped_planks: #2, 1403(15%)
minecraft.picked_up.waxed_copper_block: #2, 289(21%)
minecraft.crafted.furnace: #2, 395(10%)
minecraft.broken.fishing_rod: #1, 8(20%)
minecraft.dropped.wither_skeleton_skull: #1, 133(33%)
minecraft.used.stone_pressure_plate: #2, 151(15%)
minecraft.used.music_disc_13: #2, 44(16%)
minecraft.crafted.grindstone: #2, 181(13%)
minecraft.dropped.bamboo_planks: #2, 64(33%)
minecraft.picked_up.dark_prismarine_stairs: #1, 176(32%)
minecraft.picked_up.lime_stained_glass: #2, 970(19%)
minecraft.crafted.orange_terracotta: #2, 1360(23%)
minecraft.used.golden_carrot: #3, 5173(9%)
minecraft.crafted.spruce_chest_boat: #1, 16(73%)
minecraft.picked_up.diamond_block: #3, 675(12%)
minecraft.mined.ochre_froglight: #2, 275(19%)
