stat, rank, value, (percentage) 
minecraft.picked_up.spruce_hanging_sign: #3, 5(12%)
minecraft.picked_up.mud_brick_wall: #4, 30(16%)
minecraft.picked_up.red_banner: #4, 42(10%)
minecraft.mined.mossy_stone_brick_wall: #3, 10(12%)
minecraft.picked_up.cyan_bed: #3, 46(7%)
minecraft.mined.pink_tulip: #3, 10(10%)
minecraft.used.dark_oak_hanging_sign: #3, 9(23%)
minecraft.mined.red_wall_banner: #4, 36(13%)
minecraft.crafted.nether_brick: #3, 1376(8%)
minecraft.used.cut_sandstone_slab: #3, 1179(13%)
minecraft.crafted.stone_pickaxe: #4, 13(7%)
minecraft.used.bone_meal: #4, 20463(6%)
minecraft.crafted.mud_brick_slab: #3, 120(5%)
minecraft.used.mangrove_trapdoor: #4, 288(8%)
minecraft.used.ice: #4, 3231(8%)
minecraft.mined.red_tulip: #4, 21(12%)
minecraft.mined.cherry_leaves: #4, 2954(9%)
minecraft.picked_up.cherry_leaves: #4, 2638(11%)
minecraft.crafted.smooth_stone_slab: #4, 1028(8%)
minecraft.used.cherry_trapdoor: #3, 35(14%)
minecraft.mined.cyan_bed: #3, 40(6%)
minecraft.crafted.wooden_axe: #3, 5(4%)
minecraft.used.crimson_fungus: #3, 260(5%)
minecraft.used.azure_bluet: #3, 49(4%)
minecraft.dropped.leather: #3, 198(3%)
minecraft.used.chest_minecart: #4, 14(11%)
minecraft.used.flowering_azalea: #4, 133(7%)
minecraft.mined.oxidized_cut_copper_stairs: #4, 83(9%)
minecraft.broken.brush: #3, 1(17%)
minecraft.crafted.smithing_table: #5, 327(11%)
minecraft.mined.lily_of_the_valley: #4, 25(7%)
minecraft.dropped.acacia_sign: #3, 9(7%)
minecraft.used.green_wool: #4, 565(10%)
minecraft.crafted.iron_hoe: #3, 12(4%)
minecraft.dropped.cherry_log: #3, 16(10%)
minecraft.crafted.cherry_door: #3, 3(8%)
minecraft.picked_up.lime_concrete_powder: #4, 66(8%)
minecraft.crafted.mangrove_trapdoor: #4, 266(7%)
minecraft.used.spore_blossom: #4, 27(8%)
minecraft.picked_up.blue_shulker_box: #4, 343(7%)
minecraft.used.spruce_log: #5, 3834(9%)
minecraft.mined.spruce_door: #4, 17(7%)
minecraft.mined.obsidian: #4, 3219(5%)
minecraft.picked_up.dark_oak_slab: #4, 523(5%)
minecraft.picked_up.tropical_fish_bucket: #3, 7(10%)
minecraft.used.spruce_fence: #4, 1093(5%)
minecraft.used.blue_shulker_box: #4, 337(7%)
minecraft.mined.cut_sandstone_slab: #3, 51(8%)
minecraft.dropped.white_concrete_powder: #3, 192(4%)
minecraft.used.lime_bed: #3, 22(4%)
minecraft.crafted.prismarine_slab: #3, 64(9%)
minecraft.used.lily_of_the_valley: #4, 16(11%)
minecraft.picked_up.wheat: #5, 4043(8%)
minecraft.mined.magenta_wool: #4, 39(12%)
minecraft.mined.blue_shulker_box: #4, 334(7%)
minecraft.mined.smooth_sandstone_slab: #4, 93(13%)
minecraft.picked_up.crimson_planks: #4, 257(5%)
minecraft.custom.animals_bred: #4, 871(6%)
minecraft.mined.brown_candle: #3, 3(8%)
minecraft.dropped.tropical_fish: #4, 118(5%)
minecraft.picked_up.brain_coral_fan: #4, 142(7%)
minecraft.used.chiseled_polished_blackstone: #3, 74(2%)
minecraft.mined.fire_coral_fan: #4, 35(9%)
minecraft.mined.light_blue_terracotta: #3, 97(3%)
minecraft.picked_up.coast_armor_trim_smithing_template: #3, 1(10%)
minecraft.mined.dark_oak_wall_hanging_sign: #3, 1(9%)
minecraft.mined.brain_coral_wall_fan: #4, 124(7%)
minecraft.crafted.oxidized_cut_copper_slab: #4, 208(9%)
minecraft.crafted.dark_oak_slab: #4, 2250(4%)
minecraft.mined.light_blue_concrete_powder: #4, 43(14%)
minecraft.picked_up.spruce_sign: #5, 110(7%)
minecraft.picked_up.horn_coral_fan: #4, 128(7%)
