stat, rank, value, (percentage) 
minecraft.picked_up.prismarine_shard: #7, 185(2%)
minecraft.used.cut_copper_stairs: #7, 77(1%)
minecraft.picked_up.deepslate_tiles: #8, 489(4%)
minecraft.mined.weathered_cut_copper_stairs: #7, 1(3%)
minecraft.mined.end_stone_brick_wall: #7, 3(3%)
minecraft.picked_up.cherry_leaves: #7, 315(1%)
minecraft.used.golden_pickaxe: #7, 12(1%)
minecraft.used.brown_carpet: #7, 144(1%)
minecraft.picked_up.end_stone_brick_wall: #7, 2(2%)
minecraft.mined.light_gray_carpet: #7, 41(1%)
minecraft.used.crimson_fungus: #7, 64(1%)
minecraft.dropped.red_tulip: #7, 2(2%)
minecraft.mined.stripped_oak_log: #7, 131(1%)
minecraft.used.tropical_fish_bucket: #7, 4(2%)
minecraft.used.cherry_door: #7, 1(2%)
minecraft.used.golden_axe: #7, 12(1%)
minecraft.used.light_gray_carpet: #7, 101(1%)
minecraft.dropped.stripped_oak_wood: #7, 1(2%)
minecraft.dropped.ice: #7, 37(1%)
minecraft.crafted.brown_stained_glass: #7, 64(1%)
minecraft.crafted.dark_oak_trapdoor: #8, 762(4%)
minecraft.used.iron_hoe: #7, 471(1%)
minecraft.used.stripped_oak_log: #7, 81(0%)
minecraft.crafted.stripped_warped_hyphae: #7, 3(1%)
minecraft.crafted.pumpkin_pie: #7, 192(0%)
minecraft.mined.exposed_cut_copper_stairs: #7, 3(1%)
minecraft.used.waxed_weathered_cut_copper_stairs: #7, 10(0%)
minecraft.picked_up.exposed_cut_copper_stairs: #7, 3(0%)
minecraft.dropped.birch_planks: #8, 93(4%)
minecraft.picked_up.prismarine_brick_slab: #7, 14(0%)
minecraft.mined.cactus: #8, 99(4%)
minecraft.used.baked_potato: #8, 250(4%)
minecraft.crafted.diamond_shovel: #8, 10(3%)
minecraft.mined.potatoes: #8, 244(4%)
minecraft.crafted.dark_oak_stairs: #8, 428(3%)
minecraft.crafted.baked_potato: #8, 287(5%)
minecraft.picked_up.vine: #8, 324(4%)
minecraft.mined.red_wool: #8, 171(4%)
minecraft.mined.azure_bluet: #8, 27(3%)
minecraft.crafted.chiseled_stone_bricks: #8, 740(4%)
minecraft.killed.silverfish: #8, 13(4%)
minecraft.picked_up.birch_fence: #8, 96(4%)
minecraft.used.dark_oak_trapdoor: #8, 517(3%)
minecraft.dropped.spruce_door: #8, 6(5%)
minecraft.picked_up.wooden_hoe: #8, 4(5%)
minecraft.mined.attached_pumpkin_stem: #8, 2(6%)
minecraft.mined.large_amethyst_bud: #8, 46(3%)
minecraft.used.brown_concrete_powder: #8, 109(3%)
minecraft.picked_up.cyan_stained_glass: #8, 64(4%)
minecraft.mined.crimson_planks: #8, 65(2%)
minecraft.picked_up.purple_stained_glass_pane: #8, 17(4%)
minecraft.mined.pumpkin: #8, 180(2%)
minecraft.mined.warped_stairs: #8, 27(3%)
minecraft.used.blue_stained_glass: #8, 32(3%)
minecraft.crafted.stonecutter: #8, 21(2%)
minecraft.mined.deepslate_tile_stairs: #8, 39(2%)
minecraft.mined.dark_oak_slab: #9, 149(5%)
minecraft.mined.yellow_wool: #8, 64(2%)
minecraft.used.birch_sapling: #8, 295(1%)
minecraft.dropped.oak_log: #8, 195(1%)
minecraft.mined.mangrove_button: #8, 1(5%)
minecraft.crafted.magenta_dye: #8, 384(1%)
minecraft.crafted.anvil: #9, 210(5%)
minecraft.mined.oak_log: #9, 4200(4%)
minecraft.used.ladder: #9, 393(4%)
minecraft.used.cauldron: #8, 58(1%)
minecraft.picked_up.brown_concrete: #8, 56(2%)
minecraft.custom.interact_with_smoker: #8, 9(2%)
minecraft.crafted.lantern: #9, 551(4%)
minecraft.used.deepslate_tiles: #9, 3202(5%)
minecraft.used.rail: #9, 3135(4%)
minecraft.picked_up.weathered_cut_copper_stairs: #8, 1(3%)
minecraft.crafted.emerald_block: #8, 1109(1%)
minecraft.crafted.cooked_cod: #8, 18(2%)
minecraft.used.lantern: #9, 315(4%)
minecraft.picked_up.small_amethyst_bud: #8, 80(1%)
minecraft.dropped.mangrove_trapdoor: #8, 1(2%)
minecraft.picked_up.music_disc_far: #8, 2(2%)
minecraft.picked_up.prismarine_wall: #8, 1(2%)
minecraft.dropped.brown_mushroom_block: #8, 41(1%)
minecraft.picked_up.stripped_oak_log: #8, 131(1%)
minecraft.crafted.purple_bed: #8, 1(2%)
minecraft.crafted.wooden_shovel: #8, 23(1%)
minecraft.used.mossy_stone_brick_stairs: #8, 20(1%)
minecraft.dropped.allium: #8, 2(1%)
minecraft.picked_up.composter: #9, 87(4%)
minecraft.used.amethyst_block: #9, 716(5%)
minecraft.used.exposed_cut_copper_stairs: #8, 3(1%)
minecraft.picked_up.brown_carpet: #8, 57(0%)
minecraft.crafted.acacia_pressure_plate: #8, 1(1%)
minecraft.dropped.stripped_mangrove_log: #8, 1(1%)
minecraft.used.stripped_acacia_wood: #8, 2(1%)
minecraft.used.potato: #9, 313(4%)
minecraft.used.cyan_stained_glass: #8, 32(0%)
minecraft.used.weathered_cut_copper_stairs: #8, 1(0%)
minecraft.picked_up.mangrove_pressure_plate: #8, 1(1%)
minecraft.used.end_stone_brick_wall: #8, 1(0%)
minecraft.dropped.mangrove_slab: #8, 1(0%)
minecraft.used.mangrove_pressure_plate: #8, 1(0%)
minecraft.mined.oxeye_daisy: #9, 12(5%)
minecraft.mined.spruce_planks: #9, 733(3%)
minecraft.dropped.oak_sapling: #9, 108(4%)
minecraft.used.kelp: #9, 541(4%)
minecraft.mined.white_bed: #9, 68(3%)
minecraft.picked_up.stripped_spruce_log: #9, 402(3%)
minecraft.mined.brewing_stand: #9, 14(4%)
minecraft.mined.stripped_spruce_log: #9, 371(3%)
minecraft.crafted.charcoal: #9, 490(4%)
minecraft.picked_up.white_bed: #9, 68(3%)
minecraft.crafted.dark_prismarine_slab: #9, 58(5%)
minecraft.crafted.oak_stairs: #9, 140(3%)
minecraft.picked_up.oak_sapling: #9, 948(2%)
minecraft.picked_up.pearlescent_froglight: #9, 64(3%)
minecraft.mined.quartz_stairs: #9, 18(4%)
minecraft.mined.deepslate_tile_slab: #9, 56(3%)
minecraft.used.vine: #9, 34(4%)
minecraft.crafted.cobblestone_wall: #9, 180(3%)
minecraft.mined.torch: #10, 1197(4%)
minecraft.picked_up.dark_oak_slab: #9, 200(2%)
minecraft.crafted.mossy_cobblestone_stairs: #9, 16(4%)
minecraft.picked_up.red_dye: #9, 86(3%)
minecraft.crafted.green_terracotta: #9, 1300(3%)
minecraft.dropped.carrot: #9, 639(2%)
minecraft.picked_up.charcoal: #9, 154(2%)
minecraft.picked_up.acacia_planks: #9, 62(2%)
minecraft.mined.medium_amethyst_bud: #9, 46(2%)
minecraft.crafted.brick: #9, 2114(2%)
minecraft.mined.red_stained_glass: #9, 35(2%)
minecraft.picked_up.quartz_stairs: #9, 17(2%)
minecraft.picked_up.red_stained_glass: #9, 113(2%)
minecraft.used.green_wool: #9, 136(2%)
minecraft.picked_up.cooked_cod: #9, 13(2%)
minecraft.mined.smithing_table: #9, 6(2%)
minecraft.picked_up.birch_slab: #9, 41(2%)
minecraft.used.light_gray_stained_glass_pane: #9, 56(2%)
minecraft.used.cooked_salmon: #9, 19(2%)
minecraft.mined.brown_concrete: #9, 56(2%)
