stat, rank, value, (percentage) 
minecraft.mined.oak_stairs: #2, 273(17%)
minecraft.mined.light_gray_wool: #2, 531(23%)
minecraft.picked_up.purple_candle: #1, 63(37%)
minecraft.used.orange_bed: #2, 125(27%)
minecraft.picked_up.orange_bed: #2, 132(27%)
minecraft.mined.jungle_fence: #1, 38(30%)
minecraft.crafted.polished_diorite: #2, 4504(23%)
minecraft.mined.polished_deepslate: #2, 1624(17%)
minecraft.mined.quartz_stairs: #1, 88(18%)
minecraft.dropped.mud: #1, 213(19%)
minecraft.picked_up.jungle_door: #1, 23(33%)
minecraft.mined.dirt: #2, 109493(11%)
minecraft.dropped.cake: #1, 24(36%)
minecraft.dropped.warped_pressure_plate: #1, 18(82%)
minecraft.picked_up.beef: #2, 2301(14%)
minecraft.picked_up.blue_ice: #2, 2604(25%)
minecraft.picked_up.cyan_stained_glass_pane: #1, 96(27%)
minecraft.picked_up.mossy_stone_brick_wall: #1, 55(36%)
minecraft.used.cherry_planks: #1, 195(36%)
minecraft.mined.warped_sign: #1, 13(36%)
minecraft.used.white_terracotta: #2, 4051(18%)
minecraft.used.birch_leaves: #3, 6757(20%)
minecraft.picked_up.polished_granite_slab: #2, 513(20%)
minecraft.used.smooth_quartz_slab: #2, 2638(17%)
minecraft.mined.light_gray_concrete: #2, 5070(19%)
minecraft.used.smooth_sandstone_stairs: #2, 3080(28%)
minecraft.picked_up.oak_sign: #2, 332(14%)
minecraft.dropped.fire_coral: #1, 7(64%)
minecraft.mined.birch_leaves: #2, 11716(13%)
minecraft.picked_up.music_disc_wait: #2, 50(28%)
minecraft.used.apple: #2, 98(20%)
minecraft.crafted.red_nether_brick_wall: #1, 71(78%)
minecraft.crafted.dark_prismarine_stairs: #1, 116(28%)
minecraft.picked_up.light_blue_stained_glass_pane: #2, 416(24%)
minecraft.picked_up.warped_planks: #2, 1827(15%)
minecraft.dropped.diamond_helmet: #1, 14(12%)
minecraft.used.dark_oak_sapling: #2, 1494(16%)
minecraft.used.dead_bubble_coral_block: #1, 417(62%)
minecraft.mined.smooth_sandstone_slab: #1, 203(28%)
