stat, rank, value, (percentage) 
minecraft.crafted.diamond_block: #25, 8(0%)
minecraft.crafted.dark_oak_slab: #25, 60(0%)
minecraft.used.dark_oak_trapdoor: #25, 20(0%)
minecraft.picked_up.beef: #25, 17(0%)
minecraft.dropped.ender_pearl: #25, 303(0%)
minecraft.used.diorite: #25, 22(0%)
minecraft.picked_up.white_wool: #25, 19(0%)
minecraft.mined.cave_vines_plant: #25, 2(0%)
minecraft.picked_up.bone_block: #25, 9(0%)
minecraft.mined.smooth_quartz: #25, 2(0%)
minecraft.used.basalt: #25, 30(0%)
minecraft.picked_up.stripped_crimson_stem: #25, 1(0%)
minecraft.picked_up.clay_ball: #25, 40(0%)
minecraft.picked_up.smooth_quartz: #25, 2(0%)
minecraft.mined.dark_oak_leaves: #25, 6(0%)
minecraft.mined.ancient_debris: #25, 1(0%)
minecraft.picked_up.ancient_debris: #25, 1(0%)
minecraft.crafted.diamond_shovel: #26, 2(1%)
minecraft.crafted.diamond_boots: #26, 1(1%)
minecraft.picked_up.raw_iron: #26, 499(0%)
minecraft.crafted.torch: #26, 840(0%)
minecraft.custom.boat_one_cm: #26, 1596748(0%)
minecraft.picked_up.written_book: #26, 3(0%)
minecraft.picked_up.raw_gold: #26, 168(0%)
minecraft.custom.fall_one_cm: #26, 665620(0%)
minecraft.picked_up.oak_log: #26, 591(0%)
minecraft.mined.oak_log: #26, 408(0%)
minecraft.crafted.spruce_planks: #26, 1920(0%)
minecraft.mined.deepslate_iron_ore: #26, 69(0%)
minecraft.crafted.diamond_leggings: #26, 1(0%)
minecraft.picked_up.stick: #26, 342(0%)
minecraft.crafted.oak_fence: #26, 18(0%)
minecraft.mined.tall_grass: #26, 46(0%)
minecraft.used.oak_fence: #26, 16(0%)
minecraft.crafted.ender_chest: #26, 3(0%)
minecraft.mined.chest: #26, 40(0%)
minecraft.picked_up.iron_ingot: #26, 136(0%)
minecraft.picked_up.birch_log: #26, 288(0%)
minecraft.crafted.redstone_block: #26, 128(0%)
minecraft.crafted.ender_eye: #26, 4(0%)
minecraft.picked_up.spruce_door: #26, 1(0%)
minecraft.picked_up.gravel: #26, 912(0%)
