stat, rank, value, (percentage) 
minecraft.dropped.lilac: #2, 140(16%)
minecraft.dropped.warped_button: #2, 52(19%)
minecraft.picked_up.honey_block: #3, 511(13%)
minecraft.mined.chorus_flower: #2, 29(18%)
minecraft.picked_up.mud_brick_wall: #2, 35(19%)
minecraft.crafted.magenta_stained_glass: #2, 2696(21%)
minecraft.mined.brick_stairs: #2, 30(14%)
minecraft.used.white_candle: #2, 28(20%)
minecraft.used.granite_slab: #3, 724(16%)
minecraft.dropped.light_blue_concrete_powder: #2, 48(31%)
minecraft.used.tube_coral_fan: #2, 102(16%)
minecraft.broken.iron_pickaxe: #2, 18(8%)
minecraft.crafted.red_stained_glass: #3, 3520(16%)
minecraft.dropped.purple_dye: #2, 40(21%)
minecraft.used.diamond_leggings: #3, 28(12%)
minecraft.dropped.brick_slab: #2, 67(26%)
minecraft.dropped.dispenser: #2, 188(16%)
minecraft.dropped.gunpowder: #3, 5214(10%)
minecraft.used.oak_hanging_sign: #2, 16(19%)
minecraft.crafted.light_blue_stained_glass: #3, 1696(18%)
minecraft.mined.cyan_carpet: #2, 88(12%)
minecraft.picked_up.cut_copper_stairs: #3, 79(13%)
minecraft.dropped.crafting_table: #3, 96(11%)
minecraft.picked_up.iron_horse_armor: #2, 7(14%)
minecraft.crafted.jungle_boat: #2, 18(23%)
minecraft.crafted.prismarine_brick_slab: #2, 90(29%)
minecraft.dropped.cracked_stone_bricks: #2, 139(16%)
minecraft.mined.purple_glazed_terracotta: #2, 19(34%)
minecraft.mined.emerald_ore: #3, 103(10%)
minecraft.mined.polished_deepslate_slab: #2, 812(9%)
minecraft.dropped.polished_deepslate_stairs: #2, 227(20%)
minecraft.dropped.diorite_wall: #2, 180(29%)
minecraft.picked_up.item_frame: #3, 603(10%)
minecraft.picked_up.raw_copper_block: #3, 378(17%)
minecraft.mined.oak_wall_sign: #2, 69(7%)
minecraft.dropped.snort_pottery_sherd: #1, 1(50%)
minecraft.dropped.magenta_concrete: #1, 62(100%)
minecraft.dropped.shelter_pottery_sherd: #1, 1(50%)
minecraft.dropped.angler_pottery_sherd: #1, 1(50%)
minecraft.mined.blue_banner: #1, 2(100%)
minecraft.crafted.cornflower: #1, 7(100%)
minecraft.picked_up.red_glazed_terracotta: #2, 124(17%)
minecraft.picked_up.jungle_log: #3, 7779(14%)
minecraft.crafted.tnt_minecart: #2, 11(24%)
minecraft.used.polished_granite_slab: #3, 1203(17%)
minecraft.dropped.blue_concrete_powder: #2, 51(19%)
minecraft.used.white_concrete_powder: #3, 12196(13%)
minecraft.dropped.spruce_planks: #3, 407(11%)
minecraft.dropped.rooted_dirt: #3, 116(21%)
minecraft.picked_up.light_gray_stained_glass_pane: #3, 156(14%)
minecraft.picked_up.white_concrete_powder: #3, 4953(14%)
minecraft.crafted.stone_bricks: #2, 11832(7%)
minecraft.mined.dark_oak_wall_sign: #3, 60(13%)
minecraft.used.stripped_warped_stem: #2, 1394(12%)
minecraft.picked_up.polished_andesite_stairs: #3, 295(11%)
minecraft.dropped.lever: #3, 60(14%)
minecraft.crafted.white_concrete_powder: #3, 12619(14%)
minecraft.picked_up.ink_sac: #3, 4993(10%)
minecraft.used.emerald_ore: #2, 30(13%)
minecraft.picked_up.stone_bricks: #2, 3274(7%)
minecraft.dropped.red_tulip: #2, 20(18%)
minecraft.crafted.magenta_concrete_powder: #2, 984(15%)
minecraft.dropped.stripped_warped_stem: #2, 305(26%)
minecraft.dropped.dark_oak_button: #3, 146(23%)
minecraft.dropped.tinted_glass: #2, 642(30%)
minecraft.crafted.cobblestone_wall: #3, 828(13%)
minecraft.picked_up.spruce_leaves: #3, 7588(10%)
minecraft.picked_up.jungle_sapling: #3, 487(14%)
minecraft.used.purple_concrete_powder: #3, 1341(16%)
minecraft.picked_up.diorite_wall: #3, 243(20%)
minecraft.picked_up.purple_wool: #3, 667(18%)
minecraft.crafted.iron_pickaxe: #2, 25(6%)
minecraft.picked_up.cobbled_deepslate_stairs: #3, 195(12%)
minecraft.dropped.azalea_leaves: #3, 570(17%)
minecraft.dropped.oak_sign: #2, 49(9%)
minecraft.picked_up.lime_stained_glass: #3, 824(16%)
minecraft.used.leather_helmet: #2, 4(14%)
minecraft.broken.shears: #3, 44(10%)
minecraft.dropped.black_dye: #3, 256(21%)
minecraft.dropped.iron_ore: #4, 459(16%)
minecraft.killed.sheep: #3, 102(10%)
