stat, rank, value, (percentage) 
minecraft.used.sandstone_stairs: #3, 287(19%)
minecraft.mined.repeater: #3, 413(8%)
minecraft.picked_up.green_stained_glass_pane: #2, 69(14%)
minecraft.picked_up.ladder: #3, 536(8%)
minecraft.mined.beetroots: #3, 309(17%)
minecraft.picked_up.bamboo_door: #2, 3(25%)
minecraft.picked_up.beehive: #3, 144(17%)
minecraft.crafted.spectral_arrow: #2, 64(41%)
minecraft.mined.magenta_glazed_terracotta: #2, 62(8%)
minecraft.used.black_stained_glass: #3, 14605(11%)
minecraft.picked_up.baked_potato: #3, 199(10%)
minecraft.crafted.crimson_fence: #3, 405(14%)
minecraft.mined.warped_fence: #3, 76(14%)
minecraft.picked_up.cracked_deepslate_tiles: #2, 76(12%)
minecraft.crafted.stone_slab: #3, 4084(8%)
minecraft.crafted.warped_fence: #3, 264(13%)
minecraft.mined.oak_wall_hanging_sign: #2, 4(24%)
minecraft.mined.acacia_fence_gate: #2, 5(29%)
minecraft.mined.brown_stained_glass: #2, 73(17%)
minecraft.used.green_wool: #3, 743(14%)
minecraft.dropped.music_disc_otherside: #2, 3(17%)
minecraft.used.oak_fence_gate: #3, 88(11%)
minecraft.crafted.waxed_cut_copper: #2, 88(16%)
minecraft.picked_up.lapis_ore: #3, 185(9%)
minecraft.mined.dropper: #3, 232(8%)
minecraft.used.green_stained_glass: #3, 1109(15%)
minecraft.dropped.golden_sword: #3, 147(11%)
minecraft.used.dark_prismarine_slab: #3, 705(12%)
minecraft.mined.nether_brick_slab: #2, 60(16%)
minecraft.crafted.shulker_box: #4, 1624(12%)
minecraft.picked_up.leather_boots: #3, 127(7%)
minecraft.crafted.bamboo_hanging_sign: #2, 12(22%)
