stat, rank, value, (percentage) 
minecraft.dropped.sculk_vein: #7, 2(0%)
minecraft.mined.fern: #8, 507(4%)
minecraft.mined.spruce_planks: #8, 764(3%)
minecraft.killed.shulker: #8, 176(5%)
minecraft.mined.deepslate_tiles: #8, 324(4%)
minecraft.mined.stripped_spruce_log: #8, 455(4%)
minecraft.picked_up.shulker_shell: #8, 843(4%)
minecraft.crafted.bow: #8, 187(3%)
minecraft.picked_up.stripped_spruce_log: #8, 454(4%)
minecraft.custom.swim_one_cm: #9, 6165123(5%)
minecraft.used.dripstone_block: #8, 247(4%)
minecraft.picked_up.dead_bush: #8, 189(5%)
minecraft.picked_up.iron_horse_armor: #8, 3(6%)
minecraft.mined.spruce_wall_sign: #8, 20(4%)
minecraft.mined.pointed_dripstone: #8, 116(4%)
minecraft.mined.bamboo: #8, 829(3%)
minecraft.dropped.orange_terracotta: #8, 35(4%)
minecraft.mined.polished_deepslate: #8, 310(3%)
minecraft.mined.dirt: #9, 45532(5%)
minecraft.crafted.powered_rail: #8, 996(3%)
