stat, rank, value, (percentage) 
minecraft.mined.soul_lantern: #1, 164(32%)
minecraft.killed.ravager: #1, 45(58%)
minecraft.picked_up.music_disc_wait: #1, 70(39%)
minecraft.mined.light_gray_shulker_box: #1, 779(25%)
minecraft.mined.polished_blackstone_slab: #1, 655(30%)
minecraft.used.beacon: #1, 180(22%)
minecraft.broken.diamond_shovel: #1, 28(41%)
minecraft.crafted.deepslate_brick_stairs: #1, 501(25%)
minecraft.picked_up.bone: #1, 14655(17%)
minecraft.used.light_gray_shulker_box: #1, 783(25%)
minecraft.crafted.smooth_basalt: #1, 5842(82%)
minecraft.picked_up.cracked_deepslate_bricks: #1, 1433(38%)
minecraft.crafted.redstone_torch: #1, 16609(20%)
minecraft.picked_up.purple_wool: #1, 1383(38%)
minecraft.crafted.quartz_stairs: #1, 364(36%)
minecraft.picked_up.rotten_flesh: #2, 16810(16%)
minecraft.dropped.diamond_leggings: #1, 42(20%)
minecraft.picked_up.deepslate_brick_slab: #1, 1196(28%)
minecraft.dropped.coal_ore: #2, 1007(26%)
minecraft.picked_up.red_shulker_box: #1, 1964(16%)
minecraft.crafted.dropper: #1, 2132(21%)
minecraft.crafted.activator_rail: #1, 1266(62%)
minecraft.mined.granite: #2, 58393(21%)
minecraft.used.yellow_bed: #1, 283(28%)
minecraft.picked_up.target: #1, 194(28%)
minecraft.picked_up.activator_rail: #1, 419(46%)
minecraft.killed.magma_cube: #1, 2412(20%)
minecraft.broken.iron_hoe: #1, 238(92%)
minecraft.picked_up.music_disc_blocks: #1, 47(34%)
minecraft.mined.scaffolding: #1, 21406(22%)
minecraft.mined.red_shulker_box: #1, 1936(16%)
minecraft.picked_up.cobbled_deepslate_stairs: #1, 387(24%)
minecraft.mined.andesite: #2, 64168(21%)
minecraft.mined.soul_fire: #1, 263(32%)
minecraft.dropped.diamond_boots: #1, 38(19%)
minecraft.custom.sneak_time: #2, 12965731(9%)
minecraft.dropped.polished_deepslate_stairs: #1, 605(54%)
minecraft.dropped.chiseled_deepslate: #1, 175(54%)
minecraft.picked_up.polished_blackstone: #1, 1318(24%)
minecraft.dropped.clock: #1, 60(67%)
minecraft.mined.crimson_slab: #1, 684(30%)
minecraft.picked_up.scaffolding: #1, 46696(20%)
minecraft.dropped.piston: #1, 252(38%)
minecraft.mined.warped_wall_sign: #1, 93(33%)
minecraft.used.cobbled_deepslate_wall: #1, 1075(31%)
minecraft.picked_up.crimson_trapdoor: #1, 164(28%)
minecraft.dropped.smithing_table: #1, 195(59%)
minecraft.picked_up.soul_lantern: #1, 266(24%)
minecraft.dropped.deepslate: #2, 18279(22%)
minecraft.dropped.repeater: #1, 328(33%)
minecraft.dropped.polished_blackstone: #1, 983(48%)
minecraft.dropped.podzol: #1, 135(29%)
minecraft.custom.interact_with_anvil: #1, 1805(13%)
minecraft.crafted.golden_boots: #1, 40(35%)
minecraft.used.sticky_piston: #2, 3788(23%)
minecraft.custom.mob_kills: #3, 2569911(18%)
minecraft.picked_up.crimson_fence: #1, 215(40%)
minecraft.used.magenta_stained_glass_pane: #1, 193(86%)
minecraft.mined.redstone_torch: #2, 694(25%)
minecraft.picked_up.polished_blackstone_brick_wall: #1, 479(57%)
minecraft.dropped.white_dye: #1, 910(26%)
minecraft.picked_up.andesite_slab: #1, 353(27%)
minecraft.crafted.nether_brick_wall: #1, 378(86%)
minecraft.crafted.repeater: #1, 3380(19%)
minecraft.dropped.deepslate_tile_stairs: #1, 128(40%)
minecraft.mined.andesite_slab: #1, 150(27%)
minecraft.mined.spruce_button: #1, 43(27%)
minecraft.used.red_shulker_box: #1, 1951(16%)
minecraft.crafted.compass: #2, 6003(25%)
minecraft.crafted.comparator: #1, 2438(20%)
minecraft.picked_up.wooden_axe: #1, 45(27%)
minecraft.crafted.andesite_wall: #1, 1769(32%)
minecraft.dropped.crimson_trapdoor: #1, 48(56%)
minecraft.used.andesite: #1, 11853(17%)
minecraft.mined.stone: #1, 735376(14%)
minecraft.dropped.stripped_warped_stem: #1, 847(71%)
minecraft.dropped.nether_brick_slab: #1, 3001(99%)
minecraft.dropped.snowball: #2, 4797(20%)
minecraft.picked_up.deepslate: #1, 78953(18%)
minecraft.picked_up.music_disc_strad: #1, 33(29%)
minecraft.used.polished_deepslate_wall: #1, 3785(23%)
minecraft.dropped.brown_mushroom: #1, 277(26%)
minecraft.picked_up.cobbled_deepslate_wall: #1, 323(33%)
minecraft.crafted.black_concrete_powder: #2, 48296(26%)
minecraft.used.weeping_vines: #1, 349(44%)
minecraft.dropped.lime_wool: #1, 1027(70%)
minecraft.killed.villager: #1, 63(41%)
minecraft.dropped.wheat: #2, 772(23%)
minecraft.picked_up.cyan_candle: #1, 85(81%)
minecraft.dropped.iron_hoe: #1, 20(61%)
minecraft.picked_up.polished_blackstone_brick_slab: #1, 907(44%)
minecraft.picked_up.warped_hanging_sign: #1, 20(69%)
minecraft.crafted.quartz_slab: #1, 1318(28%)
minecraft.mined.grass: #1, 10632(13%)
minecraft.mined.crimson_trapdoor: #1, 108(25%)
minecraft.picked_up.magma_cream: #1, 893(18%)
minecraft.picked_up.smithing_table: #1, 180(21%)
minecraft.crafted.quartz_block: #1, 19001(17%)
minecraft.killed.wither: #2, 93(38%)
minecraft.dropped.yellow_wool: #1, 519(36%)
minecraft.used.black_concrete_powder: #2, 48298(25%)
minecraft.used.scaffolding: #1, 45829(18%)
minecraft.picked_up.warped_pressure_plate: #1, 157(78%)
minecraft.picked_up.music_disc_chirp: #1, 45(36%)
minecraft.picked_up.hanging_roots: #1, 817(29%)
minecraft.picked_up.polished_deepslate_wall: #1, 780(21%)
minecraft.used.diamond_shovel: #1, 553252(14%)
minecraft.mined.warped_button: #1, 28(33%)
minecraft.crafted.wooden_sword: #1, 463(23%)
minecraft.mined.polished_basalt: #2, 924(25%)
minecraft.picked_up.orange_wool: #1, 857(23%)
minecraft.picked_up.player_head: #2, 4243(14%)
minecraft.crafted.lever: #1, 927(16%)
minecraft.used.black_candle: #1, 484(92%)
minecraft.used.music_disc_far: #1, 62(77%)
minecraft.crafted.warped_hanging_sign: #1, 156(76%)
minecraft.crafted.sticky_piston: #2, 3108(22%)
minecraft.mined.warped_pressure_plate: #1, 133(92%)
minecraft.used.music_disc_mellohi: #1, 34(51%)
minecraft.mined.big_dripleaf: #2, 83(22%)
minecraft.crafted.nether_brick_stairs: #1, 764(57%)
minecraft.dropped.dirt: #2, 14925(17%)
minecraft.dropped.barrel: #2, 71(25%)
minecraft.picked_up.iron_block: #1, 7073(16%)
minecraft.crafted.chiseled_polished_blackstone: #1, 115(32%)
minecraft.custom.walk_one_cm: #2, 338918707(10%)
minecraft.used.cracked_deepslate_bricks: #1, 4513(41%)
minecraft.picked_up.music_disc_ward: #1, 32(50%)
minecraft.dropped.light_gray_shulker_box: #1, 24(75%)
minecraft.crafted.cobblestone_wall: #1, 1338(20%)
minecraft.mined.polished_blackstone_pressure_plate: #1, 102(64%)
minecraft.dropped.item_frame: #2, 98(25%)
minecraft.picked_up.warped_sign: #1, 121(22%)
minecraft.mined.sticky_piston: #2, 809(19%)
minecraft.crafted.mossy_cobblestone_wall: #1, 132(40%)
minecraft.crafted.deepslate_brick_wall: #1, 190(29%)
minecraft.dropped.cobbled_deepslate_slab: #1, 234(26%)
minecraft.crafted.light_gray_banner: #1, 109(36%)
minecraft.mined.crying_obsidian: #1, 147(23%)
minecraft.mined.wither_skeleton_wall_skull: #1, 18(62%)
minecraft.dropped.stone: #2, 52933(17%)
minecraft.used.string: #2, 6365(21%)
