stat, rank, value, (percentage) 
minecraft.picked_up.brown_wool: #4, 202(4%)
minecraft.crafted.cooked_cod: #4, 46(5%)
minecraft.dropped.observer: #4, 36(4%)
minecraft.picked_up.packed_ice: #5, 14529(6%)
minecraft.dropped.purple_wool: #4, 135(7%)
minecraft.mined.green_wool: #5, 127(9%)
minecraft.mined.packed_ice: #5, 14549(5%)
minecraft.used.bubble_coral_fan: #4, 27(3%)
minecraft.mined.jungle_wood: #4, 5(5%)
minecraft.used.music_disc_strad: #4, 3(4%)
minecraft.dropped.cyan_bed: #4, 1(9%)
minecraft.killed.hoglin: #5, 29(7%)
minecraft.used.light_blue_banner: #4, 4(7%)
minecraft.crafted.white_terracotta: #5, 888(7%)
minecraft.used.brown_mushroom: #4, 117(2%)
minecraft.picked_up.light_blue_bed: #4, 6(5%)
minecraft.dropped.gray_shulker_box: #4, 1(8%)
minecraft.custom.inspect_dropper: #5, 1347(4%)
minecraft.dropped.stone_shovel: #5, 10(7%)
minecraft.mined.red_banner: #4, 1(7%)
minecraft.mined.frosted_ice: #4, 3(3%)
minecraft.used.orange_banner: #4, 2(5%)
minecraft.used.quartz_stairs: #5, 252(7%)
minecraft.used.music_disc_11: #4, 1(7%)
minecraft.used.magenta_terracotta: #5, 247(10%)
minecraft.dropped.cobbled_deepslate_slab: #5, 67(7%)
minecraft.used.jungle_log: #5, 436(5%)
minecraft.picked_up.yellow_concrete_powder: #4, 117(2%)
minecraft.mined.red_mushroom_block: #5, 3850(5%)
minecraft.dropped.heavy_weighted_pressure_plate: #4, 4(2%)
minecraft.dropped.gold_block: #4, 84(2%)
minecraft.mined.birch_stairs: #5, 24(7%)
minecraft.used.quartz_slab: #5, 745(6%)
minecraft.custom.fly_one_cm: #7, 131395097(5%)
minecraft.custom.leave_game: #7, 1616(4%)
minecraft.used.bubble_coral: #4, 4(2%)
minecraft.dropped.music_disc_mall: #4, 1(3%)
minecraft.killed.creeper: #4, 430(0%)
minecraft.used.glow_item_frame: #5, 134(5%)
minecraft.crafted.raw_gold: #5, 495(6%)
minecraft.mined.quartz_block: #4, 105(1%)
minecraft.used.light_gray_stained_glass_pane: #5, 174(6%)
minecraft.mined.sandstone_wall: #5, 60(7%)
minecraft.picked_up.deepslate_iron_ore: #6, 403(8%)
minecraft.picked_up.light_blue_banner: #4, 1(2%)
minecraft.crafted.chiseled_sandstone: #4, 3(1%)
minecraft.picked_up.wheat_seeds: #6, 16839(6%)
minecraft.mined.emerald_ore: #6, 70(7%)
minecraft.used.oak_button: #5, 25(6%)
minecraft.picked_up.emerald_block: #5, 1483(4%)
minecraft.used.hopper_minecart: #6, 153(8%)
minecraft.dropped.orange_carpet: #4, 3(0%)
minecraft.killed_by.ender_dragon: #5, 2(9%)
minecraft.used.oak_stairs: #6, 244(7%)
minecraft.mined.sandstone_slab: #5, 92(9%)
minecraft.mined.nether_quartz_ore: #6, 4163(6%)
minecraft.dropped.redstone_lamp: #5, 15(9%)
minecraft.mined.smooth_sandstone: #5, 323(4%)
minecraft.used.cooked_cod: #5, 39(4%)
minecraft.used.milk_bucket: #5, 8(4%)
minecraft.picked_up.sandstone_wall: #5, 59(5%)
minecraft.mined.black_shulker_box: #6, 316(6%)
minecraft.dropped.black_carpet: #5, 42(7%)
minecraft.crafted.oak_hanging_sign: #5, 6(7%)
minecraft.picked_up.black_shulker_box: #6, 322(6%)
minecraft.used.bread: #5, 264(4%)
minecraft.dropped.cooked_mutton: #5, 4(7%)
minecraft.killed.warden: #5, 8(8%)
minecraft.used.green_dye: #5, 12(6%)
minecraft.crafted.light_gray_terracotta: #5, 440(5%)
minecraft.used.black_shulker_box: #6, 322(6%)
minecraft.crafted.gray_terracotta: #6, 1984(10%)
minecraft.dropped.big_dripleaf: #5, 17(4%)
minecraft.picked_up.smooth_quartz_slab: #6, 278(7%)
minecraft.mined.barrel: #6, 175(6%)
minecraft.killed.husk: #5, 7(4%)
minecraft.picked_up.blue_wool: #5, 169(3%)
minecraft.crafted.leather_leggings: #5, 23(3%)
minecraft.dropped.lapis_ore: #5, 8(4%)
minecraft.used.egg: #5, 693(2%)
minecraft.mined.exposed_cut_copper: #5, 6(4%)
minecraft.crafted.birch_door: #5, 6(4%)
minecraft.dropped.tuff: #6, 1406(6%)
