stat, rank, value, (percentage) 
minecraft.mined.cauldron: #2, 41(15%)
minecraft.picked_up.composter: #2, 168(14%)
minecraft.custom.interact_with_anvil: #2, 1301(10%)
minecraft.used.andesite_wall: #2, 1933(18%)
minecraft.used.birch_slab: #2, 1597(14%)
minecraft.mined.dark_oak_stairs: #2, 643(14%)
minecraft.dropped.cyan_glazed_terracotta: #1, 4(67%)
minecraft.killed.zombified_piglin: #2, 85536(14%)
minecraft.picked_up.birch_wood: #1, 25(20%)
minecraft.used.light_gray_concrete: #2, 9159(13%)
minecraft.picked_up.totem_of_undying: #2, 72(12%)
minecraft.mined.potted_azure_bluet: #1, 7(39%)
minecraft.crafted.stripped_oak_wood: #1, 297(97%)
minecraft.crafted.mossy_stone_brick_stairs: #1, 16(48%)
minecraft.mined.yellow_concrete: #2, 3170(15%)
minecraft.dropped.coarse_dirt: #2, 974(15%)
minecraft.crafted.white_shulker_box: #2, 35(13%)
minecraft.used.music_disc_chirp: #1, 6(27%)
minecraft.custom.aviate_one_cm: #2, 2147483647(12%)
minecraft.used.orange_banner: #1, 24(31%)
minecraft.used.gray_carpet: #3, 6884(18%)
minecraft.used.stone_slab: #2, 8189(12%)
minecraft.used.black_stained_glass: #3, 17473(19%)
minecraft.mined.red_sandstone_slab: #1, 16(62%)
minecraft.crafted.smooth_quartz_stairs: #2, 2600(19%)
minecraft.mined.red_nether_brick_wall: #1, 19(31%)
minecraft.killed.enderman: #2, 87813(12%)
minecraft.picked_up.cooked_mutton: #2, 569(16%)
minecraft.crafted.diamond_block: #2, 1316(12%)
minecraft.mined.oak_stairs: #2, 239(12%)
minecraft.custom.damage_dealt: #2, 7957912(10%)
minecraft.dropped.diamond_helmet: #2, 18(16%)
minecraft.dropped.sunflower: #2, 70(28%)
minecraft.dropped.diamond_sword: #2, 33(12%)
minecraft.used.birch_planks: #3, 5911(17%)
minecraft.used.blue_orchid: #2, 198(28%)
minecraft.picked_up.light_gray_banner: #2, 25(25%)
minecraft.crafted.red_sandstone_slab: #1, 114(30%)
minecraft.mined.pink_wall_banner: #1, 6(35%)
minecraft.mined.potted_blue_orchid: #1, 5(29%)
