stat, rank, value, (percentage) 
minecraft.crafted.acacia_slab: #3, 636(11%)
minecraft.used.acacia_slab: #3, 501(12%)
minecraft.used.birch_stairs: #3, 540(10%)
minecraft.custom.bell_ring: #3, 132(8%)
minecraft.mined.coal_block: #3, 195(9%)
minecraft.mined.oak_door: #3, 11(11%)
minecraft.mined.birch_slab: #3, 371(8%)
minecraft.picked_up.polished_blackstone_slab: #4, 831(12%)
minecraft.picked_up.chiseled_polished_blackstone: #3, 95(10%)
minecraft.picked_up.diorite_wall: #3, 114(12%)
minecraft.mined.spruce_slab: #4, 1547(11%)
minecraft.used.andesite_stairs: #3, 193(9%)
minecraft.picked_up.polished_basalt: #3, 651(7%)
minecraft.picked_up.birch_slab: #3, 371(8%)
minecraft.used.red_terracotta: #4, 3391(12%)
minecraft.picked_up.iron_boots: #3, 51(7%)
minecraft.crafted.warped_door: #3, 12(13%)
minecraft.used.prismarine_brick_slab: #2, 229(5%)
minecraft.crafted.beacon: #3, 45(9%)
minecraft.picked_up.wither_skeleton_skull: #3, 67(9%)
minecraft.crafted.granite_stairs: #3, 120(15%)
minecraft.used.daylight_detector: #4, 142(12%)
minecraft.killed.hoglin: #2, 184(2%)
minecraft.crafted.polished_diorite_stairs: #3, 382(18%)
minecraft.crafted.piston: #4, 1948(10%)
minecraft.crafted.polished_granite_slab: #3, 90(12%)
minecraft.mined.nether_brick_wall: #3, 129(10%)
minecraft.picked_up.smooth_stone_slab: #4, 3062(11%)
minecraft.crafted.blackstone_stairs: #3, 323(8%)
minecraft.custom.interact_with_stonecutter: #4, 864(11%)
minecraft.killed.wither_skeleton: #3, 2836(7%)
minecraft.mined.dark_oak_pressure_plate: #2, 2(10%)
minecraft.picked_up.acacia_wood: #3, 128(15%)
minecraft.picked_up.blackstone_wall: #3, 175(8%)
minecraft.mined.black_stained_glass_pane: #3, 157(7%)
minecraft.mined.cobblestone_slab: #4, 419(11%)
minecraft.mined.warped_trapdoor: #3, 57(7%)
minecraft.picked_up.granite_stairs: #3, 16(10%)
minecraft.dropped.phantom_membrane: #3, 27(12%)
minecraft.picked_up.light_gray_concrete_powder: #3, 2213(6%)
minecraft.crafted.hopper: #4, 3076(9%)
minecraft.mined.granite_stairs: #3, 16(10%)
minecraft.mined.acacia_fence_gate: #3, 11(18%)
minecraft.picked_up.bow: #4, 591(9%)
minecraft.mined.cornflower: #4, 134(10%)
minecraft.crafted.acacia_planks: #4, 6720(10%)
minecraft.used.coarse_dirt: #3, 4346(5%)
minecraft.mined.poppy: #4, 628(9%)
minecraft.mined.white_concrete: #4, 19224(9%)
minecraft.mined.warped_door: #3, 5(13%)
minecraft.picked_up.acacia_door: #3, 16(13%)
minecraft.used.polished_blackstone_wall: #4, 1592(11%)
minecraft.used.orange_concrete_powder: #4, 3008(13%)
minecraft.crafted.spruce_door: #3, 75(6%)
minecraft.mined.green_terracotta: #3, 174(6%)
minecraft.picked_up.dead_fire_coral_block: #2, 1(4%)
minecraft.picked_up.coal_block: #4, 756(9%)
minecraft.mined.white_carpet: #4, 417(9%)
minecraft.used.stone_slab: #4, 6054(9%)
minecraft.crafted.redstone_torch: #4, 6378(9%)
minecraft.mined.farmland: #4, 289(9%)
minecraft.picked_up.grass: #4, 2112(9%)
minecraft.crafted.blue_stained_glass_pane: #3, 128(12%)
minecraft.crafted.purple_wool: #3, 84(17%)
minecraft.used.prismarine_brick_stairs: #3, 182(9%)
minecraft.mined.red_mushroom: #4, 86(9%)
minecraft.crafted.magma_cream: #2, 16(0%)
minecraft.killed.piglin: #4, 173(8%)
minecraft.dropped.bee_nest: #3, 1(20%)
minecraft.broken.netherite_shovel: #3, 1(25%)
minecraft.dropped.yellow_glazed_terracotta: #3, 6(14%)
minecraft.used.oak_planks: #4, 1394(8%)
minecraft.crafted.brick_wall: #3, 153(10%)
minecraft.dropped.cracked_stone_bricks: #3, 33(8%)
minecraft.mined.smooth_stone_slab: #4, 2454(9%)
minecraft.used.beacon: #4, 114(9%)
minecraft.picked_up.iron_sword: #4, 30(8%)
minecraft.picked_up.acacia_fence_gate: #3, 11(15%)
minecraft.mined.torch: #4, 4172(7%)
minecraft.used.acacia_stairs: #3, 195(7%)
minecraft.dropped.bow: #4, 633(8%)
