stat, rank, value, (percentage) 
minecraft.crafted.smooth_stone: #6, 1757(2%)
minecraft.picked_up.book: #6, 1221(2%)
minecraft.used.red_mushroom: #6, 22(3%)
minecraft.custom.traded_with_villager: #7, 78485(7%)
minecraft.mined.lime_terracotta: #6, 25(3%)
minecraft.crafted.nether_brick_fence: #6, 96(4%)
minecraft.mined.birch_slab: #6, 105(2%)
minecraft.killed.blaze: #6, 905(2%)
minecraft.dropped.beef: #6, 26(3%)
minecraft.killed.parrot: #6, 3(5%)
minecraft.mined.crimson_pressure_plate: #6, 1(7%)
minecraft.crafted.green_wool: #6, 75(4%)
minecraft.crafted.purple_concrete_powder: #6, 384(2%)
minecraft.crafted.light_blue_stained_glass: #6, 936(2%)
minecraft.crafted.white_bed: #7, 32(6%)
minecraft.used.azure_bluet: #6, 20(3%)
minecraft.mined.allium: #6, 14(4%)
minecraft.crafted.enchanted_book: #6, 160(2%)
minecraft.used.purple_shulker_box: #6, 17(3%)
minecraft.crafted.comparator: #7, 517(6%)
minecraft.mined.iron_block: #7, 4069(6%)
minecraft.picked_up.purple_shulker_box: #6, 16(3%)
minecraft.mined.yellow_stained_glass: #6, 41(2%)
minecraft.mined.purple_shulker_box: #6, 16(3%)
minecraft.used.blue_stained_glass: #6, 307(2%)
minecraft.mined.soul_sand: #7, 2974(6%)
minecraft.picked_up.warped_fence_gate: #6, 2(3%)
minecraft.mined.blue_orchid: #7, 52(7%)
minecraft.mined.warped_fence_gate: #6, 2(3%)
minecraft.mined.oak_slab: #7, 267(5%)
minecraft.used.jungle_sapling: #6, 50(2%)
minecraft.mined.warped_button: #6, 1(4%)
minecraft.custom.pot_flower: #7, 94(6%)
minecraft.crafted.glistering_melon_slice: #6, 320(2%)
minecraft.picked_up.dead_horn_coral_block: #6, 1(4%)
minecraft.picked_up.chainmail_helmet: #7, 7(6%)
minecraft.crafted.dark_oak_stairs: #7, 816(6%)
minecraft.used.jungle_planks: #7, 738(6%)
minecraft.used.stripped_dark_oak_wood: #6, 12(1%)
minecraft.used.emerald_block: #6, 129(1%)
minecraft.dropped.pink_tulip: #6, 2(2%)
minecraft.mined.dead_horn_coral_block: #6, 1(3%)
minecraft.crafted.bell: #6, 14(2%)
minecraft.picked_up.warped_button: #6, 1(3%)
minecraft.mined.dark_oak_planks: #7, 515(5%)
minecraft.mined.spruce_button: #7, 20(6%)
minecraft.used.warped_button: #6, 3(1%)
minecraft.used.dark_oak_stairs: #7, 837(5%)
minecraft.picked_up.cyan_stained_glass: #6, 180(1%)
minecraft.mined.purple_stained_glass: #6, 20(1%)
minecraft.dropped.red_concrete_powder: #6, 8(1%)
minecraft.dropped.emerald_block: #6, 2(1%)
minecraft.picked_up.painting: #7, 174(5%)
minecraft.dropped.pink_stained_glass: #6, 2(1%)
minecraft.dropped.gray_shulker_box: #6, 1(1%)
minecraft.dropped.bow: #7, 370(5%)
minecraft.used.purple_terracotta: #6, 47(1%)
minecraft.crafted.dark_oak_planks: #7, 9134(5%)
minecraft.dropped.brown_concrete_powder: #6, 4(1%)
minecraft.crafted.diamond_chestplate: #7, 5(5%)
minecraft.used.birch_stairs: #7, 326(6%)
minecraft.crafted.terracotta: #6, 21(0%)
minecraft.mined.bell: #7, 13(5%)
minecraft.used.bell: #7, 16(5%)
minecraft.mined.gray_concrete_powder: #7, 377(5%)
minecraft.used.oak_stairs: #7, 152(4%)
minecraft.picked_up.birch_fence_gate: #7, 22(6%)
minecraft.crafted.white_concrete_powder: #7, 13216(4%)
minecraft.used.splash_potion: #7, 65(4%)
minecraft.crafted.diamond_leggings: #7, 5(4%)
minecraft.picked_up.crimson_planks: #7, 173(5%)
minecraft.used.purple_carpet: #7, 215(4%)
minecraft.picked_up.lime_stained_glass: #7, 268(5%)
minecraft.crafted.birch_sign: #7, 225(3%)
minecraft.mined.oak_stairs: #7, 67(3%)
minecraft.crafted.purple_stained_glass: #7, 896(5%)
minecraft.used.birch_sign: #7, 255(3%)
minecraft.mined.crimson_slab: #7, 61(5%)
minecraft.used.packed_ice: #7, 1122(4%)
minecraft.crafted.lectern: #7, 42(3%)
minecraft.crafted.light_blue_dye: #7, 710(3%)
minecraft.used.warped_wart_block: #7, 522(4%)
minecraft.crafted.gray_stained_glass_pane: #7, 336(5%)
minecraft.used.light_gray_shulker_box: #7, 99(4%)
minecraft.crafted.spruce_pressure_plate: #7, 28(5%)
minecraft.mined.light_gray_shulker_box: #7, 93(4%)
minecraft.used.jungle_log: #7, 670(3%)
minecraft.dropped.oak_trapdoor: #7, 26(4%)
minecraft.mined.brown_concrete_powder: #7, 24(4%)
minecraft.used.white_terracotta: #7, 723(4%)
minecraft.picked_up.red_stained_glass: #7, 190(4%)
minecraft.used.spruce_pressure_plate: #7, 24(4%)
minecraft.crafted.purple_carpet: #7, 216(4%)
