stat, rank, value, (percentage) 
minecraft.crafted.tnt: #2, 14542(14%)
minecraft.mined.gray_wool: #3, 829(20%)
minecraft.dropped.melon: #2, 885(22%)
minecraft.picked_up.stripped_warped_stem: #2, 436(19%)
minecraft.used.light_blue_wool: #2, 1540(20%)
minecraft.picked_up.dark_oak_sapling: #2, 1632(15%)
minecraft.crafted.quartz_pillar: #3, 10632(25%)
minecraft.mined.stripped_warped_stem: #2, 448(18%)
minecraft.used.dark_oak_sign: #2, 140(13%)
minecraft.crafted.chainmail_leggings: #1, 12(32%)
minecraft.killed_by.player: #2, 151(12%)
minecraft.crafted.lime_bed: #2, 21(24%)
minecraft.dropped.golden_chestplate: #2, 54(14%)
minecraft.used.soul_lantern: #2, 459(13%)
minecraft.dropped.leather_chestplate: #2, 53(14%)
minecraft.picked_up.red_stained_glass: #3, 1048(20%)
minecraft.dropped.chicken: #2, 781(15%)
minecraft.killed_by.endermite: #1, 3(38%)
minecraft.used.egg: #3, 1703(17%)
minecraft.custom.talked_to_villager: #3, 18470(15%)
minecraft.dropped.green_bed: #1, 22(92%)
minecraft.used.dark_oak_slab: #2, 4661(13%)
minecraft.picked_up.anvil: #2, 257(12%)
minecraft.crafted.brown_terracotta: #2, 6016(20%)
minecraft.picked_up.player_head: #2, 1717(10%)
minecraft.crafted.lead: #2, 142(15%)
minecraft.used.netherite_pickaxe: #2, 810069(13%)
minecraft.used.stone_stairs: #2, 1559(13%)
minecraft.dropped.filled_map: #2, 137(13%)
minecraft.picked_up.gray_stained_glass_pane: #2, 343(17%)
minecraft.dropped.light_blue_terracotta: #1, 47(29%)
minecraft.picked_up.leather_helmet: #2, 172(12%)
minecraft.mined.azure_bluet: #2, 215(13%)
minecraft.killed.donkey: #1, 5(83%)
minecraft.picked_up.minecart: #2, 488(11%)
minecraft.picked_up.golden_shovel: #2, 22(16%)
minecraft.picked_up.birch_pressure_plate: #2, 38(22%)
minecraft.crafted.birch_fence: #2, 544(16%)
minecraft.picked_up.light_gray_stained_glass_pane: #2, 1858(12%)
minecraft.dropped.torch: #2, 2497(11%)
