stat, rank, value, (percentage) 
minecraft.crafted.filled_map: #4, 422(14%)
minecraft.mined.flower_pot: #3, 23(9%)
minecraft.picked_up.music_disc_cat: #3, 20(8%)
minecraft.used.spruce_sign: #3, 143(6%)
minecraft.used.bubble_coral_fan: #3, 16(12%)
minecraft.picked_up.golden_axe: #2, 1(25%)
minecraft.mined.potted_oxeye_daisy: #2, 1(12%)
minecraft.picked_up.quartz: #3, 11128(7%)
minecraft.mined.nether_gold_ore: #3, 611(6%)
minecraft.crafted.iron_door: #3, 72(8%)
minecraft.crafted.white_terracotta: #3, 1256(10%)
minecraft.mined.smooth_sandstone_stairs: #3, 674(8%)
minecraft.custom.fish_caught: #3, 565(9%)
minecraft.used.damaged_anvil: #3, 13(7%)
minecraft.used.redstone_block: #4, 1019(10%)
minecraft.used.music_disc_far: #2, 3(13%)
minecraft.crafted.golden_leggings: #3, 10(11%)
minecraft.killed_by.iron_golem: #3, 6(11%)
minecraft.mined.pink_bed: #3, 7(10%)
minecraft.used.cut_sandstone: #3, 2377(7%)
minecraft.picked_up.smooth_sandstone_stairs: #3, 683(7%)
minecraft.used.written_book: #3, 2480(5%)
minecraft.picked_up.brown_glazed_terracotta: #2, 66(6%)
minecraft.picked_up.pufferfish: #4, 78(10%)
minecraft.mined.potted_fern: #3, 3(14%)
minecraft.picked_up.polished_diorite_slab: #3, 157(12%)
minecraft.picked_up.glass_pane: #3, 389(6%)
minecraft.used.rotten_flesh: #3, 60(7%)
minecraft.used.gold_block: #3, 937(5%)
minecraft.picked_up.gray_glazed_terracotta: #3, 26(16%)
minecraft.dropped.cracked_polished_blackstone_bricks: #3, 60(10%)
minecraft.mined.polished_diorite_stairs: #3, 187(15%)
minecraft.picked_up.lime_glazed_terracotta: #3, 25(24%)
minecraft.picked_up.light_blue_carpet: #4, 239(12%)
minecraft.picked_up.light_gray_stained_glass_pane: #3, 845(5%)
minecraft.mined.large_fern: #4, 378(13%)
minecraft.picked_up.redstone_block: #4, 1029(9%)
minecraft.dropped.loom: #2, 5(6%)
minecraft.used.brown_glazed_terracotta: #2, 32(3%)
minecraft.dropped.chiseled_sandstone: #2, 18(2%)
minecraft.dropped.smooth_sandstone_slab: #3, 66(10%)
minecraft.dropped.beetroot: #2, 2(2%)
minecraft.custom.trigger_trapped_chest: #3, 68(14%)
minecraft.picked_up.oak_planks: #4, 1610(9%)
minecraft.crafted.red_glazed_terracotta: #3, 262(16%)
minecraft.mined.jukebox: #3, 7(8%)
minecraft.picked_up.hopper_minecart: #2, 1(4%)
minecraft.mined.cactus: #4, 208(9%)
minecraft.killed_by.skeleton: #3, 6(5%)
minecraft.picked_up.stone_pressure_plate: #4, 147(10%)
minecraft.used.magenta_terracotta: #3, 148(15%)
minecraft.mined.jungle_fence: #4, 59(12%)
minecraft.used.warped_trapdoor: #4, 394(11%)
minecraft.mined.stone_pressure_plate: #4, 54(10%)
minecraft.picked_up.jungle_trapdoor: #3, 130(6%)
minecraft.used.cooked_salmon: #3, 90(7%)
minecraft.mined.jungle_wood: #3, 116(8%)
minecraft.mined.red_carpet: #4, 191(9%)
minecraft.picked_up.wheat: #4, 6439(8%)
minecraft.killed.zombie: #4, 2781(7%)
minecraft.mined.gray_glazed_terracotta: #3, 17(13%)
minecraft.mined.iron_door: #4, 34(11%)
minecraft.picked_up.sandstone_stairs: #4, 555(11%)
minecraft.used.cyan_glazed_terracotta: #3, 33(11%)
minecraft.crafted.magenta_banner: #3, 5(22%)
minecraft.crafted.brown_glazed_terracotta: #3, 34(12%)
minecraft.mined.gray_concrete_powder: #4, 700(8%)
minecraft.used.hay_block: #4, 161(9%)
minecraft.dropped.acacia_slab: #3, 28(10%)
minecraft.killed_by.wither_skeleton: #3, 1(10%)
minecraft.broken.iron_boots: #3, 2(20%)
minecraft.picked_up.light_blue_glazed_terracotta: #3, 29(11%)
minecraft.crafted.birch_fence_gate: #4, 241(11%)
minecraft.used.wheat_seeds: #4, 6619(7%)
minecraft.broken.stone_sword: #3, 2(15%)
minecraft.picked_up.black_terracotta: #4, 1121(10%)
minecraft.mined.polished_basalt: #4, 582(8%)
minecraft.mined.red_sandstone_stairs: #3, 20(15%)
minecraft.used.armor_stand: #4, 366(8%)
minecraft.crafted.yellow_banner: #3, 12(8%)
minecraft.mined.potted_poppy: #3, 1(12%)
minecraft.picked_up.oak_button: #4, 31(9%)
minecraft.picked_up.polished_andesite_slab: #4, 875(8%)
minecraft.picked_up.green_glazed_terracotta: #3, 16(15%)
minecraft.crafted.warped_trapdoor: #4, 384(10%)
minecraft.crafted.purple_glazed_terracotta: #3, 48(15%)
minecraft.used.sandstone_slab: #4, 4224(10%)
minecraft.picked_up.green_wool: #4, 1516(11%)
minecraft.picked_up.armor_stand: #4, 310(8%)
minecraft.mined.lime_glazed_terracotta: #3, 13(18%)
minecraft.mined.attached_pumpkin_stem: #3, 4(9%)
minecraft.dropped.pink_dye: #3, 16(9%)
minecraft.picked_up.birch_fence_gate: #4, 38(11%)
minecraft.picked_up.item_frame: #4, 504(7%)
minecraft.picked_up.acacia_button: #3, 2(6%)
minecraft.crafted.sandstone: #4, 1605(8%)
minecraft.used.enchanting_table: #4, 9(8%)
minecraft.mined.white_banner: #4, 10(12%)
minecraft.broken.golden_boots: #3, 2(17%)
minecraft.mined.pink_glazed_terracotta: #3, 6(22%)
minecraft.used.cooked_beef: #4, 1499(7%)
minecraft.mined.jungle_sapling: #3, 35(11%)
minecraft.picked_up.cyan_concrete: #4, 2540(8%)
minecraft.picked_up.iron_leggings: #4, 15(7%)
minecraft.used.red_sandstone_stairs: #3, 35(10%)
minecraft.crafted.cooked_porkchop: #3, 324(3%)
minecraft.dropped.netherrack: #4, 25208(7%)
minecraft.used.diorite_slab: #3, 317(7%)
minecraft.used.jungle_stairs: #4, 339(11%)
minecraft.picked_up.brown_wool: #4, 1142(8%)
minecraft.used.acacia_leaves: #3, 165(6%)
minecraft.mined.cyan_concrete: #4, 2544(7%)
minecraft.picked_up.polished_basalt: #4, 641(7%)
minecraft.mined.white_wool: #4, 296(7%)
minecraft.picked_up.gold_ore: #4, 1889(6%)
minecraft.crafted.arrow: #3, 1088(5%)
minecraft.mined.lime_terracotta: #4, 78(9%)
minecraft.dropped.cyan_glazed_terracotta: #3, 1(17%)
minecraft.mined.smooth_red_sandstone: #3, 69(5%)
minecraft.used.white_carpet: #5, 4192(11%)
minecraft.mined.yellow_concrete_powder: #4, 47(11%)
minecraft.used.sandstone_stairs: #4, 1543(8%)
minecraft.crafted.nether_brick: #4, 6583(9%)
minecraft.mined.lime_wool: #3, 48(3%)
minecraft.picked_up.diorite_stairs: #3, 22(7%)
minecraft.picked_up.pumpkin: #5, 3312(10%)
minecraft.used.music_disc_13: #3, 1(5%)
minecraft.used.glass_pane: #5, 858(11%)
minecraft.picked_up.jungle_door: #4, 29(12%)
minecraft.mined.chiseled_sandstone: #4, 202(11%)
minecraft.used.fire_coral: #3, 2(5%)
minecraft.mined.enchanting_table: #4, 7(8%)
minecraft.crafted.cracked_nether_bricks: #3, 72(7%)
minecraft.picked_up.chiseled_sandstone: #4, 228(10%)
minecraft.crafted.smooth_stone: #4, 4475(6%)
minecraft.mined.potted_pink_tulip: #3, 1(12%)
minecraft.picked_up.magenta_banner: #3, 3(12%)
minecraft.used.polished_granite_slab: #4, 100(11%)
minecraft.mined.blue_wall_banner: #3, 1(9%)
minecraft.mined.potted_cactus: #4, 6(14%)
minecraft.dropped.brown_dye: #3, 34(3%)
