stat, rank, value, (percentage) 
minecraft.used.oak_pressure_plate: #5, 11(7%)
minecraft.used.stone_brick_slab: #5, 3443(6%)
minecraft.killed.trader_llama: #5, 28(6%)
minecraft.killed.hoglin: #4, 93(1%)
minecraft.crafted.bubble_coral_block: #4, 1(6%)
minecraft.killed.wandering_trader: #5, 14(6%)
minecraft.mined.peony: #5, 17(7%)
minecraft.crafted.green_glazed_terracotta: #4, 7(4%)
minecraft.picked_up.scute: #4, 13(3%)
minecraft.dropped.charcoal: #5, 6(9%)
minecraft.mined.bamboo_sapling: #5, 19(7%)
minecraft.dropped.stripped_oak_wood: #4, 3(2%)
minecraft.mined.gilded_blackstone: #5, 64(6%)
minecraft.dropped.iron_pickaxe: #5, 7(7%)
minecraft.used.coarse_dirt: #5, 3881(5%)
minecraft.dropped.magenta_dye: #4, 1(1%)
minecraft.dropped.cooked_cod: #5, 82(8%)
minecraft.picked_up.golden_horse_armor: #5, 4(9%)
minecraft.mined.crying_obsidian: #5, 55(5%)
minecraft.picked_up.clay: #5, 726(4%)
minecraft.picked_up.fishing_rod: #5, 13(5%)
minecraft.dropped.chainmail_helmet: #5, 7(6%)
minecraft.killed.wolf: #5, 5(7%)
minecraft.dropped.crimson_nylium: #5, 50(6%)
minecraft.picked_up.birch_log: #6, 6806(8%)
minecraft.used.gold_block: #5, 613(4%)
minecraft.used.glass_bottle: #5, 469(3%)
minecraft.crafted.blast_furnace: #5, 67(4%)
minecraft.dropped.poppy: #5, 4220(3%)
minecraft.used.polished_blackstone_brick_slab: #6, 2132(9%)
minecraft.crafted.sponge: #5, 368(6%)
minecraft.dropped.stone_axe: #5, 11(4%)
minecraft.picked_up.light_gray_banner: #5, 6(6%)
minecraft.picked_up.light_gray_concrete_powder: #5, 1137(3%)
minecraft.picked_up.white_concrete: #6, 8537(7%)
minecraft.picked_up.oak_wood: #5, 141(5%)
minecraft.used.tube_coral: #5, 3(8%)
minecraft.dropped.warped_roots: #6, 242(9%)
minecraft.mined.grass_block: #6, 67812(6%)
minecraft.used.brain_coral: #5, 3(8%)
minecraft.crafted.iron_leggings: #6, 11(7%)
minecraft.picked_up.bubble_coral_block: #5, 98(4%)
minecraft.mined.bubble_coral_block: #5, 98(4%)
minecraft.crafted.red_sandstone: #5, 421(3%)
minecraft.picked_up.spruce_sapling: #6, 1137(7%)
minecraft.killed_by.ravager: #6, 9(8%)
minecraft.dropped.blue_orchid: #5, 11(6%)
minecraft.mined.black_shulker_box: #6, 320(6%)
minecraft.used.music_disc_pigstep: #5, 2(9%)
minecraft.picked_up.black_shulker_box: #6, 324(6%)
minecraft.mined.bubble_coral_fan: #5, 15(4%)
minecraft.mined.horn_coral_fan: #5, 14(3%)
minecraft.used.prismarine_bricks: #5, 860(2%)
minecraft.picked_up.creeper_head: #5, 1(8%)
minecraft.picked_up.wheat: #6, 4574(6%)
minecraft.crafted.jungle_wood: #5, 288(3%)
minecraft.dropped.acacia_boat: #5, 1(7%)
minecraft.used.black_shulker_box: #6, 304(6%)
minecraft.custom.interact_with_blast_furnace: #6, 120(6%)
minecraft.used.polished_blackstone_brick_stairs: #6, 489(6%)
minecraft.dropped.cooked_rabbit: #5, 2(5%)
minecraft.used.glass: #6, 4386(5%)
minecraft.mined.polished_blackstone_brick_stairs: #6, 160(6%)
minecraft.picked_up.prismarine_slab: #5, 41(3%)
minecraft.dropped.diamond_leggings: #6, 7(6%)
minecraft.mined.fire_coral_block: #5, 47(2%)
minecraft.crafted.stone_bricks: #6, 13444(5%)
minecraft.used.quartz_stairs: #5, 277(1%)
minecraft.dropped.experience_bottle: #5, 54(3%)
minecraft.crafted.experience_bottle: #5, 329(2%)
minecraft.used.diamond_ore: #6, 986(5%)
minecraft.custom.animals_bred: #6, 1460(5%)
minecraft.custom.walk_under_water_one_cm: #7, 15519717(4%)
minecraft.picked_up.music_disc_wait: #5, 1(2%)
minecraft.mined.stone_bricks: #6, 3504(5%)
minecraft.killed.llama: #5, 4(2%)
minecraft.crafted.spruce_trapdoor: #6, 1728(5%)
minecraft.mined.tall_seagrass: #6, 570(5%)
minecraft.dropped.rabbit_foot: #5, 1(1%)
minecraft.picked_up.music_disc_stal: #5, 1(1%)
minecraft.mined.prismarine_stairs: #5, 4(1%)
minecraft.dropped.jungle_fence_gate: #5, 1(1%)
minecraft.picked_up.prismarine_stairs: #5, 4(1%)
minecraft.dropped.minecart: #6, 44(5%)
minecraft.picked_up.dark_oak_log: #6, 4690(5%)
