stat, rank, value, (percentage) 
minecraft.picked_up.diamond_axe: #4, 42(7%)
minecraft.killed_by.creeper: #4, 12(8%)
minecraft.dropped.blackstone_slab: #3, 84(6%)
minecraft.dropped.oak_stairs: #4, 15(13%)
minecraft.crafted.yellow_glazed_terracotta: #3, 128(10%)
minecraft.used.lime_terracotta: #4, 566(11%)
minecraft.picked_up.spruce_button: #4, 97(8%)
minecraft.dropped.cartography_table: #3, 1(17%)
minecraft.mined.light_blue_glazed_terracotta: #3, 21(11%)
minecraft.picked_up.iron_door: #4, 43(8%)
minecraft.used.magenta_concrete_powder: #4, 1742(11%)
minecraft.used.poppy: #4, 37(9%)
minecraft.dropped.purpur_block: #4, 109(10%)
minecraft.picked_up.golden_apple: #4, 50(8%)
minecraft.mined.glowstone: #4, 731(7%)
minecraft.crafted.suspicious_stew: #3, 11(7%)
minecraft.mined.cobblestone: #4, 4336(7%)
minecraft.dropped.sea_lantern: #4, 216(10%)
minecraft.used.chest_minecart: #4, 21(10%)
minecraft.mined.gray_stained_glass_pane: #4, 60(12%)
minecraft.mined.blackstone_slab: #5, 515(13%)
minecraft.picked_up.packed_ice: #3, 3950(2%)
minecraft.dropped.crimson_door: #3, 2(9%)
minecraft.picked_up.polished_granite: #4, 466(8%)
minecraft.mined.pink_concrete: #3, 520(3%)
minecraft.used.iron_door: #4, 73(7%)
minecraft.used.purpur_block: #4, 168(8%)
minecraft.picked_up.netherite_boots: #4, 37(7%)
minecraft.dropped.black_stained_glass: #3, 67(5%)
minecraft.used.crying_obsidian: #4, 1451(9%)
minecraft.dropped.green_wool: #3, 128(6%)
minecraft.used.gray_stained_glass_pane: #4, 408(9%)
minecraft.dropped.bubble_coral_fan: #3, 2(7%)
minecraft.crafted.chest_minecart: #4, 21(10%)
minecraft.dropped.pink_tulip: #3, 5(5%)
minecraft.dropped.gold_ingot: #4, 325(6%)
minecraft.crafted.torch: #4, 15687(6%)
minecraft.dropped.diamond_leggings: #4, 8(7%)
minecraft.crafted.light_blue_shulker_box: #4, 21(9%)
minecraft.dropped.cyan_shulker_box: #3, 1(10%)
minecraft.dropped.gold_nugget: #4, 1190(6%)
minecraft.crafted.red_shulker_box: #4, 17(6%)
minecraft.dropped.shroomlight: #4, 133(9%)
minecraft.dropped.oak_trapdoor: #4, 50(8%)
minecraft.used.crafting_table: #4, 470(6%)
minecraft.picked_up.dropper: #5, 401(10%)
minecraft.mined.white_stained_glass: #4, 702(7%)
minecraft.used.blackstone_slab: #4, 1093(7%)
